[00:03:03]	ChickenChaser has connected.
[16:13:10]	UU-SeC.17 entered observer.
[16:13:40]	UU-SeC.17 exited observer at their location.
[16:13:42]	UU-SeC.17 opened the '' #345 container.
[16:13:44]	UU-SeC.17 closed the '' #345 container.
[16:13:45]	UU-SeC.17 opened the '' #338 container.
[16:13:48]	UU-SeC.17 closed the '' #338 container.
[16:13:51]	UU-SeC.17 entered observer.
[16:14:22]	UU-SeC.17 has spawned a 'NPC [1966][npc_bullsquid]'.
[16:14:36]	UU-SeC.17 has spawned a 'NPC [1968][npc_houndeye]'.
[16:14:46]	UU-SeC.17 has spawned a 'NPC [1968][npc_houndeye]'.
[16:14:50]	UU-SeC.17 has spawned a 'NPC [1970][npc_houndeye]'.
[16:14:52]	UU-SeC.17 has spawned a 'NPC [1968][npc_houndeye]'.
[16:14:53]	UU-SeC.17 exited observer at their location.
[16:14:53]	UU-SeC.17 entered observer.
[16:14:54]	UU-SeC.17 exited observer at their location.
[16:14:54]	UU-SeC.17 has taken 32 damage from npc_houndeye.
[16:14:54]	UU-SeC.17 has spawned a 'NPC [1984][npc_houndeye]'.
[16:14:56]	UU-SeC.17 entered observer.
[16:14:56]	UU-SeC.17 exited observer at their location.
[16:14:58]	UU-SeC.17 has spawned a 'NPC [1968][npc_houndeye]'.
[16:14:59]	UU-SeC.17 entered observer.
[16:15:01]	UU-SeC.17 has spawned a 'NPC [1968][npc_houndeye]'.
[16:15:04]	UU-SeC.17 has spawned a 'NPC [1968][npc_houndeye]'.
[16:15:05]	UU-SeC.17 has spawned a 'NPC [1970][npc_hydra]'.
[16:15:08]	UU-SeC.17 exited observer at their location.
[16:15:10]	UU-SeC.17 has spawned a 'NPC [1968][npc_houndeye]'.
[16:15:12]	UU-SeC.17 entered observer.
[16:15:18]	UU-SeC.17 exited observer at their location.
[16:15:19]	UU-SeC.17 entered observer.
[16:15:22]	UU-SeC.17 has spawned a 'NPC [1972][npc_houndeye]'.
[16:15:58]	UU-SeC.17 exited observer at their location.
[16:15:59]	UU-SeC.17 entered observer.
[16:16:09]	UU-SeC.17 exited observer at their location.
[16:16:11]	UU-SeC.17 entered observer.
[16:16:24]	UU-SeC.17 exited observer at their location.
[16:16:24]	UU-SeC.17 entered observer.
[16:16:48]	UU-SeC.17 exited observer at their location.
[16:16:52]	UU-SeC.17 entered observer.
[16:16:53]	UU-SeC.17 exited observer at their location.
[16:16:54]	UU-SeC.17 entered observer.
[16:17:06]	UU-SeC.17 exited observer at their location.
[16:17:07]	UU-SeC.17 entered observer.
[16:17:43]	UU-SeC.17 has gained 10 tokens.
[16:17:49]	UU-SeC.17 exited observer at their location.
[16:17:50]	UU-SeC.17 entered observer.
[16:17:53]	UU-SeC.17 exited observer at their location.
[16:17:54]	UU-SeC.17 entered observer.
[16:17:55]	UU-SeC.17 exited observer at their location.
[16:18:03]	UU-SeC.17 has spawned 'models/Combine_Soldier.mdl'.
[16:18:10]	UU-SeC.17 has spawned 'models/gman_high.mdl'.
[16:18:32]	UU-SeC.17 has spawned 'models/Humans/corpse1.mdl'.
[16:18:46]	UU-SeC.17 entered observer.
[16:18:47]	UU-SeC.17 exited observer at their location.
[16:18:47]	UU-SeC.17 entered observer.
[16:18:47]	UU-SeC.17 exited observer at their location.
[16:19:00]	UU-SeC.17 entered observer.
[16:19:01]	UU-SeC.17 exited observer at their location.
[16:19:15]	UU-SeC.17 entered observer.
[16:19:18]	UU-SeC.17 exited observer at their location.
[16:19:19]	UU-SeC.17 entered observer.
[16:19:44]	UU-SeC.17 ran 'View' on item 'Paper' (#2849)
[16:20:23]	UU-SeC.17 exited observer at their location.
[16:20:24]	UU-SeC.17 entered observer.
[16:20:24]	UU-SeC.17 exited observer at their location.
[16:20:29]	UU-SeC.17 entered observer.
[16:22:43]	UU-SeC.17 has gained 10 tokens.
[16:22:51]	Bluboi has connected.
[16:23:15]	Bluboi loaded the character 'CCA.C17-UNION.i5.91462'
[16:23:16]	matt saton (STEAM_0:1:53097688) has disconnected.
[16:24:25]	Bluboi (STEAM_0:1:535256546) has disconnected.
[16:48:05]	wolfmaster666 has connected.
[16:48:29]	wolfmaster666 (STEAM_0:1:452596013) has disconnected.
[17:04:58]	Mr. Chief has connected.
[17:06:35]	Mr. Chief loaded the character 'OTA.C17-KING.i3.50919'
[17:07:03]	OTA.C17-KING.i3.50919 entered observer.
[17:07:51]	OTA.C17-KING.i3.50919 entered observer.
[17:14:36]	Mr. Chief (STEAM_0:1:129270116) has disconnected.
[17:26:11]	PirateDavey has connected.
[17:27:44]	PirateDavey loaded the character 'CCA.C17-GRID.i5.80147'
[17:29:17]	CCA.C17-GRID.i5.80147 has spawned 'models/props_c17/gravestone_cross001b.mdl'.
[17:31:28]	CCA.C17-GRID.i5.80147 has spawned 'models/props_junk/TrashBin01a.mdl'.
[17:31:41]	CCA.C17-GRID.i5.80147 opened the 'Trash Bin' #502 container.
[17:31:45]	CCA.C17-GRID.i5.80147 closed the 'Trash Bin' #502 container.
[17:40:25]	CCA.C17-GRID.i5.80147 has spawned 'models/props_junk/plasticbucket001a.mdl'.
[17:40:26]	CCA.C17-GRID.i5.80147 has gained 10 tokens.
[17:41:42]	Sir PretzelFist has connected.
[17:42:11]	[OOC] CCA.C17-GRID.i5.80147: cereal killer
[17:43:57]	Sir PretzelFist created the character 'Sir PretzelFist'
[17:43:57]	Sir PretzelFist has gained a 'Suitcase' #2852.
[17:43:57]	Sir PretzelFist has gained a 'Relocation Coupon' #2853.
[17:43:58]	Sir PretzelFist loaded the character 'Sir PretzelFist'
[17:44:22]	[OOC] CCA.C17-GRID.i5.80147: you have to get a cid
[17:44:26]	[OOC] CCA.C17-GRID.i5.80147: to get into the city
[17:44:33]	[OOC] CCA.C17-GRID.i5.80147: press tab to open the menu
[17:44:38]	[OOC] CCA.C17-GRID.i5.80147: select inventory and hand me the yellow card
[17:45:29]	Sir PretzelFist ran 'drop' on item 'Relocation Coupon' (#2853)
[17:45:29]	Sir PretzelFist has lost a 'Relocation Coupon' #2853.
[17:45:35]	CCA.C17-GRID.i5.80147 ran 'take' on item 'Relocation Coupon' (#2853)
[17:45:35]	CCA.C17-GRID.i5.80147 has gained a 'Relocation Coupon' #2853.
[17:45:44]	CCA.C17-GRID.i5.80147 has gained a 'ID Card' #2854.
[17:45:44]	CCA.C17-GRID.i5.80147 has created a new CID with the name Sir PretzelFist
[17:45:47]	CCA.C17-GRID.i5.80147 ran 'drop' on item 'ID Card' (#2854)
[17:45:47]	CCA.C17-GRID.i5.80147 has lost a 'ID Card' #2854.
[17:45:52]	[LOOC] CCA.C17-GRID.i5.80147: hold e on it
[17:46:03]	Sir PretzelFist ran 'ViewRecord' on item 'ID Card' (#2854)
[17:46:05]	Sir PretzelFist ran 'take' on item 'ID Card' (#2854)
[17:46:05]	Sir PretzelFist has gained a 'ID Card' #2854.
[17:47:57]	Sir PretzelFist (STEAM_0:0:157634705) has disconnected.
[17:50:07]	PirateDavey (STEAM_0:1:191784883) has disconnected.
[21:02:32]	Painevan has connected.
[21:03:25]	DeWees has connected.
[21:03:44]	Mr. Chief has connected.
[21:04:00]	Painevan loaded the character 'Karl Von Habsburg'
[21:11:24]	DeWees loaded the character 'Oleg Rust'
[21:12:19]	DeWees (STEAM_0:1:53156902) has disconnected.
[21:12:40]	Painevan (STEAM_0:0:68118061) has disconnected.
[21:14:50]	Mr. Chief loaded the character 'CCA.C17-JUDGE.i2.58102'
[21:21:34]	Mr. Chief (STEAM_0:1:129270116) has disconnected.
