[00:02:50]	Bean has connected.
[00:11:14]	Alex Palovichov has lost a 'Capacitors' #27392.
[00:11:15]	Alex Palovichov destroyed a 'Capacitors' #27392.
[00:11:34]	Alex Palovichov has gained a 'Capacitors' #27392.
[00:11:37]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:11:48]	Alex Palovichov has gained a 'Green Citizen Suit' #27393.
[00:11:51]	Alex Palovichov ran 'drop' on item 'Green Citizen Suit' (#27393)
[00:11:51]	Alex Palovichov has lost a 'Green Citizen Suit' #27393.
[00:11:52]	Alex Palovichov destroyed a 'Green Citizen Suit' #27393.
[00:12:09]	Alex Palovichov has gained a 'Rock' #27393.
[00:12:12]	Alex Palovichov ran 'drop' on item 'Rock' (#27393)
[00:12:12]	Alex Palovichov has lost a 'Rock' #27393.
[00:12:15]	Alex Palovichov destroyed a 'Rock' #27393.
[00:12:32]	Alex Palovichov has gained a 'Piece of Plexiglass' #27393.
[00:12:39]	Alex Palovichov has gained a 'Horse Statue' #27394.
[00:12:43]	Alex Palovichov ran 'drop' on item 'Horse Statue' (#27394)
[00:12:43]	Alex Palovichov has lost a 'Horse Statue' #27394.
[00:12:45]	Alex Palovichov destroyed a 'Horse Statue' #27394.
[00:13:07]	Alex Palovichov has gained a 'Empty Glass Bottle' #27394.
[00:13:08]	Alex Palovichov ran 'drop' on item 'Empty Glass Bottle' (#27394)
[00:13:08]	Alex Palovichov has lost a 'Empty Glass Bottle' #27394.
[00:13:12]	Alex Palovichov destroyed a 'Empty Glass Bottle' #27394.
[00:13:14]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:13:15]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:13:15]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:13:16]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:13:22]	Alex Palovichov has gained a 'Cinderblock' #27394.
[00:13:24]	Alex Palovichov ran 'drop' on item 'Cinderblock' (#27394)
[00:13:24]	Alex Palovichov has lost a 'Cinderblock' #27394.
[00:13:28]	Alex Palovichov destroyed a 'Cinderblock' #27394.
[00:13:29]	Alex Palovichov destroyed a 'Bar of Soap' #27082.
[00:13:40]	Alex Palovichov has gained a 'Empty Milk Gallon' #27394.
[00:13:42]	Alex Palovichov ran 'drop' on item 'Empty Milk Gallon' (#27394)
[00:13:42]	Alex Palovichov has lost a 'Empty Milk Gallon' #27394.
[00:13:42]	Alex Palovichov destroyed a 'Empty Milk Gallon' #27394.
[00:14:04]	Alex Palovichov has gained a 'Scrap Electronics' #27394.
[00:14:06]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#27394)
[00:14:06]	Alex Palovichov has lost a 'Scrap Electronics' #27394.
[00:14:06]	Alex Palovichov destroyed a 'Scrap Electronics' #27394.
[00:14:14]	Alex Palovichov has gained a 'Rubber Tire' #27394.
[00:14:15]	Alex Palovichov ran 'drop' on item 'Rubber Tire' (#27394)
[00:14:15]	Alex Palovichov has lost a 'Rubber Tire' #27394.
[00:14:17]	Alex Palovichov destroyed a 'Rubber Tire' #27394.
[00:14:31]	Alex Palovichov has gained a 'Scrap Plastic' #27394.
[00:14:32]	Alex Palovichov ran 'drop' on item 'Scrap Plastic' (#27394)
[00:14:32]	Alex Palovichov has lost a 'Scrap Plastic' #27394.
[00:14:33]	Alex Palovichov destroyed a 'Scrap Plastic' #27394.
[00:14:43]	Alex Palovichov has gained a 'AI-2 Medikit' #27394.
[00:14:54]	Alex Palovichov has gained a 'Reinforced Padlock' #27395.
[00:15:15]	Alex Palovichov has gained a 'Stimshot' #27396.
[00:15:22]	Alex Palovichov has gained a 'Broken LCD Monitor' #27397.
[00:15:27]	Alex Palovichov ran 'drop' on item 'Broken LCD Monitor' (#27397)
[00:15:27]	Alex Palovichov has lost a 'Broken LCD Monitor' #27397.
[00:15:29]	Alex Palovichov destroyed a 'Broken LCD Monitor' #27397.
[00:15:37]	Alex Palovichov has gained a 'Wires' #27397.
[00:15:38]	Alex Palovichov ran 'drop' on item 'Wires' (#27397)
[00:15:38]	Alex Palovichov has lost a 'Wires' #27397.
[00:15:40]	Alex Palovichov destroyed a 'Wires' #27397.
[00:15:46]	Alex Palovichov has gained a 'AA Battery' #27397.
[00:15:47]	Alex Palovichov ran 'drop' on item 'AA Battery' (#27397)
[00:15:47]	Alex Palovichov has lost a 'AA Battery' #27397.
[00:15:47]	Alex Palovichov destroyed a 'AA Battery' #27397.
[00:15:59]	Alex Palovichov has gained a 'Wires' #27397.
[00:16:00]	Alex Palovichov ran 'drop' on item 'Wires' (#27397)
[00:16:00]	Alex Palovichov has lost a 'Wires' #27397.
[00:16:01]	Alex Palovichov destroyed a 'Wires' #27397.
[00:16:08]	Alex Palovichov has gained a 'Broken Clock' #27397.
[00:16:09]	Alex Palovichov ran 'drop' on item 'Broken Clock' (#27397)
[00:16:09]	Alex Palovichov has lost a 'Broken Clock' #27397.
[00:16:09]	Alex Palovichov destroyed a 'Broken Clock' #27397.
[00:16:21]	Alex Palovichov has gained a 'Powercord' #27397.
[00:16:22]	Alex Palovichov ran 'drop' on item 'Powercord' (#27397)
[00:16:22]	Alex Palovichov has lost a 'Powercord' #27397.
[00:16:23]	Alex Palovichov destroyed a 'Powercord' #27397.
[00:16:32]	Alex Palovichov has gained a 'Notepad' #27397.
[00:16:33]	Alex Palovichov ran 'drop' on item 'Notepad' (#27397)
[00:16:33]	Alex Palovichov has lost a 'Notepad' #27397.
[00:16:34]	Alex Palovichov destroyed a 'Notepad' #27397.
[00:16:44]	Alex Palovichov has gained a 'Scrap Electronics' #27397.
[00:16:45]	Alex Palovichov ran 'drop' on item 'Scrap Electronics' (#27397)
[00:16:45]	Alex Palovichov has lost a 'Scrap Electronics' #27397.
[00:16:45]	Alex Palovichov destroyed a 'Scrap Electronics' #27397.
[00:17:06]	Alex Palovichov opened the '' #2418 container.
[00:17:08]	Alex Palovichov closed the '' #2418 container.
[00:17:12]	Alex Palovichov has gained a 'Empty Glass Bottle' #27397.
[00:17:13]	Alex Palovichov ran 'drop' on item 'Empty Glass Bottle' (#27397)
[00:17:13]	Alex Palovichov has lost a 'Empty Glass Bottle' #27397.
[00:17:13]	Alex Palovichov destroyed a 'Empty Glass Bottle' #27397.
[00:17:24]	Alex Palovichov has gained a 'Nylon Cord' #27397.
[00:17:25]	Alex Palovichov ran 'drop' on item 'Nylon Cord' (#27397)
[00:17:25]	Alex Palovichov has lost a 'Nylon Cord' #27397.
[00:17:26]	Alex Palovichov destroyed a 'Nylon Cord' #27397.
[00:17:32]	Alex Palovichov has gained a 'Scrap Plastic' #27397.
[00:17:35]	Alex Palovichov ran 'drop' on item 'Scrap Plastic' (#27397)
[00:17:35]	Alex Palovichov has lost a 'Scrap Plastic' #27397.
[00:17:36]	Alex Palovichov destroyed a 'Scrap Plastic' #27397.
[00:17:43]	Alex Palovichov has gained a 'Military Circuit Board' #27397.
[00:17:46]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:17:57]	Alex Palovichov destroyed a 'Rock' #27398.
[00:18:06]	Alex Palovichov has gained a 'Radio Case' #27398.
[00:18:08]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:18:11]	Alex Palovichov ran 'combine' on item 'Documents Case' (#24746)
[00:18:36]	Alex Palovichov has gained a 'Old Newspaper' #27399.
[00:18:38]	Alex Palovichov ran 'drop' on item 'Old Newspaper' (#27399)
[00:18:38]	Alex Palovichov has lost a 'Old Newspaper' #27399.
[00:18:38]	Alex Palovichov destroyed a 'Old Newspaper' #27399.
[00:18:57]	Alex Palovichov has gained a 'Powercord' #27399.
[00:18:58]	Alex Palovichov ran 'drop' on item 'Powercord' (#27399)
[00:18:58]	Alex Palovichov has lost a 'Powercord' #27399.
[00:18:58]	Alex Palovichov destroyed a 'Powercord' #27399.
[00:19:04]	Alex Palovichov has gained a 'Bar of Soap' #27399.
[00:19:05]	Alex Palovichov ran 'drop' on item 'Bar of Soap' (#27399)
[00:19:05]	Alex Palovichov has lost a 'Bar of Soap' #27399.
[00:19:06]	Alex Palovichov destroyed a 'Bar of Soap' #27399.
[00:19:15]	Alex Palovichov has gained a 'LCD Monitor' #27399.
[00:19:16]	Alex Palovichov ran 'drop' on item 'LCD Monitor' (#27399)
[00:19:16]	Alex Palovichov has lost a 'LCD Monitor' #27399.
[00:19:20]	Alex Palovichov ran 'take' on item 'LCD Monitor' (#27399)
[00:19:20]	Alex Palovichov has gained a 'LCD Monitor' #27399.
[00:19:38]	Alex Palovichov has gained a 'Graphics Card' #27400.
[00:19:51]	Alex Palovichov ran 'drop' on item 'Graphics Card' (#27400)
[00:19:51]	Alex Palovichov has lost a 'Graphics Card' #27400.
[00:19:52]	Alex Palovichov destroyed a 'Graphics Card' #27400.
[00:19:55]	Alex Palovichov has gained a 'Rubber Tire' #27400.
[00:19:57]	Alex Palovichov ran 'drop' on item 'Rubber Tire' (#27400)
[00:19:57]	Alex Palovichov has lost a 'Rubber Tire' #27400.
[00:19:58]	Alex Palovichov destroyed a 'Rubber Tire' #27400.
[00:20:04]	Alex Palovichov has gained a 'Citizen Filter' #27400.
[00:20:16]	Alex Palovichov has gained a 'Citizen Filter' #27401.
[00:20:25]	Alex Palovichov has gained a 'Cinderblock' #27402.
[00:20:28]	Alex Palovichov ran 'drop' on item 'Cinderblock' (#27402)
[00:20:28]	Alex Palovichov has lost a 'Cinderblock' #27402.
[00:20:28]	Alex Palovichov destroyed a 'Cinderblock' #27402.
[00:20:40]	Alex Palovichov destroyed a 'Powercord' #27402.
[00:20:48]	Alex Palovichov has gained a 'Citizen Filter' #27402.
[00:21:45]	Alex Palovichov ran 'take' on item 'Stimshot' (#27405)
[00:21:57]	Alex Palovichov ran 'equip' on item 'Citizen Filter' (#27400)
[00:21:58]	Alex Palovichov ran 'take' on item 'Stimshot' (#27405)
[00:21:58]	Alex Palovichov has gained a 'Stimshot' #27405.
[00:23:17]	Alex Palovichov used the 'Infestation Control Storage' vendor.
[00:23:19]	Alex Palovichov has gained 0 tokens.
[00:23:20]	Alex Palovichov has gained 0 tokens.
[00:23:24]	Alex Palovichov opened the '' #2385 container.
[00:23:29]	Alex Palovichov closed the '' #2385 container.
[00:23:30]	Alex Palovichov ran 'drop' on item 'LCD Monitor' (#27399)
[00:23:30]	Alex Palovichov has lost a 'LCD Monitor' #27399.
[00:23:40]	Alex Palovichov opened the '' #2385 container.
[00:23:46]	Alex Palovichov closed the '' #2385 container.
[00:23:49]	Alex Palovichov ran 'drop' on item 'Cloth Scrap' (#24884)
[00:23:49]	Alex Palovichov has lost a 'Cloth Scrap' #24884.
[00:23:55]	Alex Palovichov ran 'drop' on item 'Sewing Kit' (#25663)
[00:23:55]	Alex Palovichov has lost a 'Sewing Kit' #25663.
[00:24:16]	Alex Palovichov ran 'drop' on item 'Military Circuit Board' (#27397)
[00:24:16]	Alex Palovichov has lost a 'Military Circuit Board' #27397.
[00:24:22]	Alex Palovichov ran 'drop' on item 'Piece of Plexiglass' (#27393)
[00:24:22]	Alex Palovichov has lost a 'Piece of Plexiglass' #27393.
[00:24:39]	Alex Palovichov opened the '' #2386 container.
[00:24:39]	Alex Palovichov closed the '' #2386 container.
[00:24:40]	Alex Palovichov opened the '' #2386 container.
[00:24:49]	Alex Palovichov closed the '' #2386 container.
[00:24:54]	Alex Palovichov ran 'drop' on item 'Cloth Scrap' (#24651)
[00:24:54]	Alex Palovichov has lost a 'Cloth Scrap' #24651.
[00:25:00]	Alex Palovichov ran 'drop' on item 'Capacitors' (#27392)
[00:25:00]	Alex Palovichov has lost a 'Capacitors' #27392.
[00:25:07]	Alex Palovichov ran 'drop' on item 'Scrap Glass' (#27390)
[00:25:07]	Alex Palovichov has lost a 'Scrap Glass' #27390.
[00:25:15]	Alex Palovichov ran 'drop' on item 'Scrap Metal' (#27389)
[00:25:15]	Alex Palovichov has lost a 'Scrap Metal' #27389.
[00:25:22]	Alex Palovichov opened the '' #2384 container.
[00:25:25]	Alex Palovichov closed the '' #2384 container.
[00:25:25]	Alex Palovichov opened the '' #2396 container.
[00:25:27]	Alex Palovichov closed the '' #2396 container.
[00:25:28]	Alex Palovichov opened the '' #2395 container.
[00:25:34]	Alex Palovichov closed the '' #2395 container.
[00:25:37]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:25:38]	Alex Palovichov ran 'combine' on item 'Thermobag' (#25180)
[00:25:42]	Alex Palovichov opened the '' #2386 container.
[00:25:45]	Alex Palovichov closed the '' #2386 container.
[00:25:48]	Alex Palovichov opened the '' #2396 container.
[00:25:50]	Alex Palovichov closed the '' #2396 container.
[00:26:00]	Alex Palovichov ran 'drop' on item 'Stimshot' (#27405)
[00:26:00]	Alex Palovichov has lost a 'Stimshot' #27405.
[00:26:19]	Alex Palovichov ran 'take' on item 'Stimshot' (#27405)
[00:26:19]	Alex Palovichov has gained a 'Stimshot' #27405.
[00:26:36]	Alex Palovichov opened the '' #2386 container.
[00:26:42]	Alex Palovichov ran 'Consume' on item 'Minimum Grade Supplements (No Flavor)' (#25821)
[00:26:46]	Alex Palovichov closed the '' #2386 container.
[00:26:53]	Bean (STEAM_0:1:591779303) has disconnected.
[00:41:10]	[DG] Roach has connected.
[00:51:19]	[DG] Roach loaded the character 'Denford F. MacMillian'
[00:52:24]	Denford F. MacMillian opened the '' #240 container.
[00:52:26]	Denford F. MacMillian closed the '' #240 container.
[00:53:43]	Denford F. MacMillian ran 'drop' on item 'Fingerless Gloves' (#27078)
[00:53:43]	Denford F. MacMillian has lost a 'Fingerless Gloves' #27078.
[00:53:43]	Denford F. MacMillian ran 'drop' on item 'Fingerless Gloves' (#25219)
[00:53:43]	Denford F. MacMillian has lost a 'Fingerless Gloves' #25219.
[00:54:01]	Denford F. MacMillian destroyed a 'Fingerless Gloves' #27078.
[00:54:02]	Denford F. MacMillian destroyed a 'Fingerless Gloves' #25219.
[00:54:30]	Denford F. MacMillian used the 'Shopkeeper' vendor.
[00:55:52]	Denford F. MacMillian ran 'take' on item 'Citizen ID' (#27336)
[00:55:52]	Denford F. MacMillian has gained a 'Citizen ID' #27336.
[00:56:02]	Denford F. MacMillian opened the '' #2583 container.
[00:56:07]	Denford F. MacMillian closed the '' #2583 container.
[00:56:14]	Denford F. MacMillian ran 'drop' on item 'Electric Motor' (#26408)
[00:56:14]	Denford F. MacMillian has lost a 'Electric Motor' #26408.
[00:56:23]	Denford F. MacMillian destroyed a 'Electric Motor' #26408.
[00:56:29]	Denford F. MacMillian ran 'equip' on item 'Citizen Filter' (#27100)
[00:56:34]	[DG] Roach (STEAM_0:0:170921441) has disconnected.
[05:59:39]	_--Ashley--_ has connected.
[06:00:21]	_--Ashley--_ loaded the character 'Ashley Adams'
[06:01:53]	Ashley Adams has gained a 'Cinderblock' #27407.
[06:01:57]	Ashley Adams has gained a 'Empty Soda Bottle' #27408.
[06:01:59]	Ashley Adams ran 'drop' on item 'Cinderblock' (#27407)
[06:01:59]	Ashley Adams has lost a 'Cinderblock' #27407.
[06:02:00]	Ashley Adams ran 'drop' on item 'Empty Soda Bottle' (#27408)
[06:02:00]	Ashley Adams has lost a 'Empty Soda Bottle' #27408.
[06:02:02]	Ashley Adams ran 'drop' on item 'Empty Sparkling Consulate Water Can' (#25476)
[06:02:02]	Ashley Adams has lost a 'Empty Sparkling Consulate Water Can' #25476.
[06:02:10]	Ashley Adams destroyed a 'Cinderblock' #27407.
[06:02:11]	Ashley Adams destroyed a 'Empty Soda Bottle' #27408.
[06:02:13]	Ashley Adams destroyed a 'Empty Sparkling Consulate Water Can' #25476.
[06:02:28]	_--Ashley--_ (STEAM_0:0:25179524) has disconnected.
[06:12:17]	[DG] Roach has connected.
[06:13:49]	[DG] Roach loaded the character 'Denford F. MacMillian'
[06:15:29]	Denford F. MacMillian ran 'View' on item 'Paper' (#26871)
[06:19:00]	Denford F. MacMillian has gained a 'Standard Grade Ration' #27407.
[06:19:06]	Denford F. MacMillian ran 'Open' on item 'Standard Grade Ration' (#27407)
[06:19:06]	Denford F. MacMillian has gained a 'Standard Grade Food Product (Bread Flavor)' #27408.
[06:19:06]	Denford F. MacMillian has gained a 'Standard Grade Supplements (Lettuce Flavor)' #27409.
[06:19:06]	Denford F. MacMillian has gained a 'Consulate Water' #27410.
[06:19:06]	Denford F. MacMillian has gained 10 tokens.
[06:19:23]	Denford F. MacMillian ran 'Consume' on item 'Consulate Water' (#27410)
[06:19:25]	Denford F. MacMillian ran 'Consume' on item 'Standard Grade Food Product (Bread Flavor)' (#27408)
[06:23:05]	Denford F. MacMillian ran 'take' on item 'Scrap Metal' (#26264)
[06:23:05]	Denford F. MacMillian has gained a 'Scrap Metal' #26264.
[06:23:08]	Denford F. MacMillian ran 'take' on item 'Radio Case' (#25917)
[06:23:08]	Denford F. MacMillian has gained a 'Radio Case' #25917.
[06:23:09]	Denford F. MacMillian ran 'take' on item 'Circuit Board' (#25471)
[06:23:09]	Denford F. MacMillian has gained a 'Circuit Board' #25471.
[06:25:26]	Denford F. MacMillian has gained a 'Resin' #27410.
[06:26:01]	Denford F. MacMillian has gained a 'Light Bulb' #27411.
[06:26:09]	Denford F. MacMillian ran 'drop' on item 'Light Bulb' (#27411)
[06:26:09]	Denford F. MacMillian has lost a 'Light Bulb' #27411.
[06:26:14]	Denford F. MacMillian destroyed a 'Light Bulb' #27411.
[06:28:20]	Denford F. MacMillian has gained a 'Scrap Plastic' #27412.
[06:28:22]	Denford F. MacMillian has taken 5 damage from npc_headcrab.
[06:28:53]	Denford F. MacMillian has taken 10 damage from npc_zombie.
[06:28:55]	Denford F. MacMillian ran 'Consume' on item 'Standard Grade Supplements (Lettuce Flavor)' (#27409)
[06:29:11]	Denford F. MacMillian has taken 10 damage from npc_zombie.
[06:29:48]	Denford F. MacMillian has gained a 'Empty Flavored Consulate Water Can' #27414.
[06:29:53]	Denford F. MacMillian ran 'drop' on item 'Empty Flavored Consulate Water Can' (#27414)
[06:29:53]	Denford F. MacMillian has lost a 'Empty Flavored Consulate Water Can' #27414.
[06:29:57]	Denford F. MacMillian ran 'take' on item 'Horse Statue' (#27382)
[06:29:57]	Denford F. MacMillian has gained a 'Horse Statue' #27382.
[06:29:59]	Denford F. MacMillian ran 'drop' on item 'Scrap Plastic' (#27412)
[06:29:59]	Denford F. MacMillian has lost a 'Scrap Plastic' #27412.
[06:30:00]	Denford F. MacMillian ran 'drop' on item 'Horse Statue' (#27382)
[06:30:00]	Denford F. MacMillian has lost a 'Horse Statue' #27382.
[06:30:22]	Denford F. MacMillian has gained a 'Refined Metal' #27415.
[06:30:31]	Denford F. MacMillian has taken 15 damage from npc_barnacle.
[06:31:19]	Denford F. MacMillian has taken 15 damage from worldspawn.
[06:31:57]	Denford F. MacMillian has gained a 'Light Bulb' #27416.
[06:32:05]	Denford F. MacMillian ran 'drop' on item 'Light Bulb' (#27416)
[06:32:05]	Denford F. MacMillian has lost a 'Light Bulb' #27416.
[06:32:07]	Denford F. MacMillian has gained a 'Citizen Filter' #27417.
[06:32:14]	Denford F. MacMillian has gained a 'Powercord' #27418.
[06:32:17]	Denford F. MacMillian ran 'drop' on item 'Powercord' (#27418)
[06:32:17]	Denford F. MacMillian has lost a 'Powercord' #27418.
[06:32:27]	Denford F. MacMillian has gained a 'Paper' #27419.
[06:32:31]	Denford F. MacMillian ran 'Edit' on item 'Paper' (#27419)
[06:32:48]	Denford F. MacMillian has taken 10 damage from npc_zombie.
[06:32:50]	Denford F. MacMillian has taken 10 damage from npc_zombine.
[06:32:51]	Denford F. MacMillian has taken 89 damage from npc_zombine.
[06:32:51]	npc_zombine has killed Denford F. MacMillian.
[06:33:14]	Denford F. MacMillian ran 'take' on item 'Citizen ID' (#27336)
[06:33:28]	Denford F. MacMillian ran 'drop' on item 'Scrap Metal' (#26264)
[06:33:28]	Denford F. MacMillian has lost a 'Scrap Metal' #26264.
[06:33:33]	Denford F. MacMillian destroyed a 'Scrap Metal' #26264.
[06:35:54]	cytoplasm has connected.
[06:38:59]	_--Ashley--_ has connected.
[06:39:32]	_--Ashley--_ loaded the character 'Ashley Adams'
[06:39:37]	[OOC] Denford F. MacMillian: Sup.
[06:39:40]	[OOC] Ashley Adams: hey
[06:40:47]	[ME] Denford F. MacMillian: points to the entier fucking suit he's wearing, letting out a muffled chuckle.
[06:40:57]	cytoplasm loaded the character 'PFC Emily Brown'
[06:41:57]	cytoplasm loaded the character 'CCA.C17-HELIX.i3.39867'
[06:42:09]	[OOC] Denford F. MacMillian: Me when HELIX.
[06:42:15]	[OOC] CCA.C17-HELIX.i3.39867: L
[06:42:27]	[OOC] CCA.C17-HELIX.i3.39867: i spawned in the same place as my conscript was standing
[06:42:31]	[OOC] Denford F. MacMillian: LMFAO.
[06:42:38]	Ashley Adams used command '/Request he's right outside the nexus.'.
[06:42:54]	Ashley Adams used command '/Request or was.'.
[06:42:57]	[ME] CCA.C17-HELIX.i3.39867: would place his hand on his holster, before whipping out a USP match, pointing it directly into the individuals forehead.
[06:43:00]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[06:43:04]	[ME] CCA.C17-HELIX.i3.39867: takes a step back
[06:43:10]	[ME] Denford F. MacMillian: slowly raised his hands, he seemed confused but also calm.
[06:43:12]	[ME] CCA.C17-HELIX.i3.39867: flicks off the safety
[06:43:56]	[ME] Denford F. MacMillian: goes for his suitcase and places it onto the floor, sliding it away from him gently, it was loose and open, revealing nothing bad inside.
[06:44:03]	Denford F. MacMillian ran 'drop' on item 'Suitcase' (#26637)
[06:44:03]	Denford F. MacMillian has lost a 'Suitcase' #26637.
[06:44:03]	Denford F. MacMillian has lost a 'Citizen ID' #26932.
[06:44:03]	Denford F. MacMillian has lost a 'Relocation Coupon' #26904.
[06:44:03]	Denford F. MacMillian has lost a 'Relocation Coupon' #24192.
[06:44:03]	Denford F. MacMillian has lost a 'Citizen ID' #26930.
[06:44:03]	Denford F. MacMillian has lost a 'Citizen ID' #26931.
[06:44:03]	Denford F. MacMillian has lost a 'Relocation Coupon' #26335.
[06:44:03]	Denford F. MacMillian has lost a 'Relocation Coupon' #26116.
[06:44:03]	Denford F. MacMillian has lost a 'Citizen ID' #27336.
[06:44:04]	Denford F. MacMillian ran 'drop' on item 'Citizen ID' (#27152)
[06:44:04]	Denford F. MacMillian has lost a 'Citizen ID' #27152.
[06:44:05]	Denford F. MacMillian ran 'drop' on item 'Citizen ID' (#26929)
[06:44:05]	Denford F. MacMillian has lost a 'Citizen ID' #26929.
[06:44:07]	Denford F. MacMillian ran 'drop' on item 'Military Circuit Board' (#26950)
[06:44:07]	Denford F. MacMillian has lost a 'Military Circuit Board' #26950.
[06:44:15]	Denford F. MacMillian ran 'drop' on item 'Pipe' (#26908)
[06:44:15]	Denford F. MacMillian has lost a 'Pipe' #26908.
[06:44:16]	Denford F. MacMillian ran 'drop' on item 'Radio Case' (#25917)
[06:44:16]	Denford F. MacMillian has lost a 'Radio Case' #25917.
[06:44:16]	Denford F. MacMillian ran 'drop' on item 'Resin' (#27410)
[06:44:16]	Denford F. MacMillian has lost a 'Resin' #27410.
[06:44:20]	Denford F. MacMillian ran 'drop' on item 'Circuit Board' (#25471)
[06:44:20]	Denford F. MacMillian has lost a 'Circuit Board' #25471.
[06:44:21]	Denford F. MacMillian ran 'drop' on item 'Refined Metal' (#27415)
[06:44:21]	Denford F. MacMillian has lost a 'Refined Metal' #27415.
[06:44:39]	[ME] Denford F. MacMillian: places his hands onto the wall, showing complete and utter compliance.
[06:44:58]	[ME] CCA.C17-HELIX.i3.39867: slides the contraband away with his foot, before gripping the individuals arms and pulling them forcefully being their back. The unit would then attempt to ziptie the individual's wrists together.
[06:45:00]	[LOOC] CCA.C17-HELIX.i3.39867: comply?
[06:45:04]	[LOOC] Denford F. MacMillian: Yep.
[06:45:07]	[LOOC] Denford F. MacMillian: Denford's a goofball.
[06:45:12]	CCA.C17-HELIX.i3.39867 ran 'Use' on item 'Zip Tie' (#19364)
[06:45:16]	[LOOC] Denford F. MacMillian: Very compliant, just doesn't understand fucking limits.
[06:45:21]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[06:45:25]	CCA.C17-HELIX.i3.39867 used command '/ToggleRaise'.
[06:45:28]	CCA.C17-HELIX.i3.39867 ran 'take' on item 'Suitcase' (#26637)
[06:45:31]	CCA.C17-HELIX.i3.39867 destroyed a 'Refined Metal' #27415.
[06:45:33]	CCA.C17-HELIX.i3.39867 destroyed a 'Radio Case' #25917.
[06:45:35]	CCA.C17-HELIX.i3.39867 destroyed a 'Military Circuit Board' #26950.
[06:45:36]	CCA.C17-HELIX.i3.39867 destroyed a 'Circuit Board' #25471.
[06:45:46]	CCA.C17-HELIX.i3.39867 ran 'take' on item 'Citizen ID' (#26929)
[06:45:46]	CCA.C17-HELIX.i3.39867 has gained a 'Citizen ID' #26929.
[06:45:47]	CCA.C17-HELIX.i3.39867 ran 'take' on item 'Citizen ID' (#27152)
[06:45:47]	CCA.C17-HELIX.i3.39867 has gained a 'Citizen ID' #27152.
[06:45:49]	CCA.C17-HELIX.i3.39867 ran 'take' on item 'Pipe' (#26908)
[06:45:51]	CCA.C17-HELIX.i3.39867 ran 'take' on item 'Suitcase' (#26637)
[06:46:00]	CCA.C17-HELIX.i3.39867 ran 'drop' on item 'Stimshot' (#26985)
[06:46:00]	CCA.C17-HELIX.i3.39867 has lost a 'Stimshot' #26985.
[06:46:01]	CCA.C17-HELIX.i3.39867 ran 'drop' on item 'Zip Tie' (#19366)
[06:46:01]	CCA.C17-HELIX.i3.39867 has lost a 'Zip Tie' #19366.
[06:46:01]	CCA.C17-HELIX.i3.39867 ran 'drop' on item 'Zip Tie' (#27026)
