[13:34:03]	Bullhuss has connected.
[18:52:11]	[ME] CCA.C17-HELIX.i3.08874: takes out a PDA.
[18:52:15]	John Reece has gained a 'Empty Tin Can' #35848.
[18:52:17]	John Reece ran 'drop' on item 'Empty Tin Can' (#35848)
[18:52:17]	John Reece has lost a 'Empty Tin Can' #35848.
[18:52:22]	John Reece ran 'drop' on item 'Pliers' (#35280)
[18:52:22]	John Reece has lost a 'Pliers' #35280.
[18:52:29]	John Reece ran 'drop' on item 'Gas Analyser' (#35339)
[18:52:29]	John Reece has lost a 'Gas Analyser' #35339.
[18:52:31]	John Reece ran 'take' on item 'Gas Analyser' (#35339)
[18:52:31]	John Reece has gained a 'Gas Analyser' #35339.
[18:52:46]	CCA.C17-HELIX.i3.08874 used command '/Radio could be'.
[18:52:52]	CCA.C17-HELIX.i3.08874 used command '/Radio Got it'.
[18:53:09]	[LOOC] Jacob Desmone: we good I just gotta tab out to micro rq
[18:53:11]	John Reece has gained a 'Scrap Wood' #35849.
[18:53:13]	John Reece ran 'drop' on item 'Scrap Wood' (#35849)
[18:53:13]	John Reece has lost a 'Scrap Wood' #35849.
[18:53:53]	John Reece opened the 'Dumpster' #2549 container.
[18:53:55]	John Reece closed the 'Dumpster' #2549 container.
[18:53:56]	John Reece opened the 'Dumpster' #240 container.
[18:53:58]	John Reece closed the 'Dumpster' #240 container.
[18:54:06]	John Reece opened the 'Dumpster' #2736 container.
[18:54:06]	John Reece closed the 'Dumpster' #2736 container.
[18:54:16]	John Reece has gained a 'Bolts' #35850.
[18:54:19]	[LOOC] Jacob Desmone: zihro can defends lmao
[18:54:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[18:54:35]	John Reece has gained a 'Insulating Tape' #35851.
[18:54:38]	[LOOC] CCA.C17-HELIX.i3.08874: He's a great offender I mean defender
[18:54:45]	[LOOC] Jacob Desmone: facts
[18:54:50]	[LOOC] Jacob Desmone: LMAO
[18:55:40]	[LOOC] Jacob Desmone: uh oh zihro sucks
[18:55:44]	John Reece has gained a 'Empty Milk Gallon' #35852.
[18:55:45]	[LOOC] CCA.C17-HELIX.i3.08874: no way
[18:55:46]	John Reece opened the 'Dumpster' #2684 container.
[18:55:50]	John Reece closed the 'Dumpster' #2684 container.
[18:56:43]	[LOOC] Jacob Desmone: lmao I Had to micro for like 5 seconds to fix his dumb mistake
[18:57:06]	John Reece opened the 'Dumpster' #2736 container.
[18:57:08]	[ME] CCA.C17-HELIX.i3.08874: holsters his Stunstick on his toolbelt, before grabbing the pipe below and sliding down.
[18:57:11]	John Reece closed the 'Dumpster' #2736 container.
[18:57:28]	[Y] CCA.C17-HELIX.i3.08874: <:: Don't go all the way down! God knows I'm not pulling you up. ::>
[18:57:39]	John Reece opened the 'Dumpster' #2549 container.
[18:57:40]	John Reece closed the 'Dumpster' #2549 container.
[18:57:48]	[ME] Jacob Desmone: Grabs onto the pipe and slowly descends
[18:57:50]	John Reece opened the 'Refrigerator' #2577 container.
[18:57:51]	John Reece closed the 'Refrigerator' #2577 container.
[18:58:17]	[ME] CCA.C17-HELIX.i3.08874: vaults over the fence.
[18:58:42]	CCA.C17-HELIX.i3.08874 used command '/Radio Grid don't worry about the warning, it's just me.'.
[18:59:01]	John Reece has gained a 'Broken Clock' #35853.
[18:59:03]	[ME] Jacob Desmone: looks at the omnitors
[18:59:03]	John Reece ran 'drop' on item 'Broken Clock' (#35853)
[18:59:03]	John Reece has lost a 'Broken Clock' #35853.
[18:59:07]	[ME] Jacob Desmone: monitors*
[18:59:29]	John Reece used the 'Shopkeeper Jim' vendor.
[18:59:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[18:59:46]	John Reece used the 'Shopkeeper Jim' vendor.
[18:59:55]	[LOOC] CCA.C17-HELIX.i3.08874: just rp it
[18:59:57]	John Reece has lost 10 tokens.
[18:59:57]	John Reece has gained a 'Flashlight' #35854.
[19:00:01]	[ME] Jacob Desmone: Passes through
[19:00:01]	[LOOC] CCA.C17-HELIX.i3.08874: oh nv
[19:00:05]	John Reece ran 'drop' on item 'Small Thermos' (#35294)
[19:00:05]	John Reece has lost a 'Small Thermos' #35294.
[19:00:05]	[ME] Jacob Desmone: Looks at at the labels
[19:00:10]	John Reece ran 'View' on item 'Paper' (#33897)
[19:00:42]	[ME] CCA.C17-HELIX.i3.08874: hands him a wrench.
[19:00:46]	[LOOC] CCA.C17-HELIX.i3.08874: pretend
[19:00:48]	[ME] Jacob Desmone: Grabs the wrench
[19:01:03]	[ME] Jacob Desmone: Looks for any sign of damage or malfunction
[19:01:07]	Jacob Desmone rolled 88 (76 + 12) out of 100 on Engineering.
[19:01:07]	Jacob Desmone used command '/RollSkill Engineering'.
[19:01:19]	[ME] Jacob Desmone: Touches the steel
[19:01:24]	[ME] Jacob Desmone: Immediantly gets burnt
[19:01:26]	[Y] Jacob Desmone: Ow!
[19:01:50]	[ME] Jacob Desmone: Grabs the bottle of coolant next to the system and applies it to the exposed wires and machinery
[19:01:53]	Jacob Desmone rolled 27 (15 + 12) out of 100 on Engineering.
[19:01:53]	Jacob Desmone used command '/RollSkill Engineering'.
[19:02:01]	[ME] Jacob Desmone: Burns himself in the process but the coolant applies
[19:02:22]	[ME] Jacob Desmone: Takes out his wrench and starts prying out random sockets looking for the source
[19:02:28]	Jacob Desmone rolled 106 (94 + 12) out of 100 on Engineering.
[19:02:28]	Jacob Desmone used command '/RollSkill Engineering'.
[19:02:57]	John Reece has gained a 'Pin' #35855.
[19:03:04]	John Reece opened the 'Dumpster' #252 container.
[19:03:07]	John Reece closed the 'Dumpster' #252 container.
[19:03:08]	John Reece opened the 'Dumpster' #2548 container.
[19:03:10]	John Reece closed the 'Dumpster' #2548 container.
[19:04:00]	[ME] Jacob Desmone: Grabs some spare parts and starts fixing the machine
[19:04:02]	John Reece has taken 39 damage from worldspawn.
[19:04:06]	Jacob Desmone rolled 83 (71 + 12) out of 100 on Engineering.
[19:04:06]	Jacob Desmone used command '/RollSkill engineering'.
[19:04:21]	[ME] Jacob Desmone: Replaces the transreciever locking it in tight
[19:04:26]	John Reece ran 'AHealSelf' on item 'AI-2 Medikit' (#35312)
[19:04:28]	[ME] Jacob Desmone: Plugs the wires into the outlet
[19:04:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:04:40]	Jacob Desmone rolled 73 (61 + 12) out of 100 on Engineering.
[19:04:40]	Jacob Desmone used command '/RollSkill Engineering'.
[19:04:47]	[IT] Jacob Desmone: the machine whirrs to life as brandnew all warning signs go away
[19:04:55]	John Reece used the 'Shopkeeper Jim' vendor.
[19:05:00]	John Reece ran 'drop' on item 'Pin' (#35855)
[19:05:00]	John Reece has lost a 'Pin' #35855.
[19:05:19]	[ME] Jacob Desmone: Clears off any excess dirt
[19:05:30]	CCA.C17-HELIX.i3.08874 used command '/Radio Grid report status on the uhh.'.
[19:05:50]	CCA.C17-HELIX.i3.08874 used command '/Radio Nexus Transmission Device.'.
[19:06:02]	[ME] CCA.C17-HELIX.i3.08874: waits a moment waiting for a response.
[19:06:26]	CCA.C17-HELIX.i3.08874 used command '/Radio Okay.'.
[19:07:04]	[ME] Jacob Desmone: Keeps messing with the transreciever and locking it in in new places
[19:07:09]	Jacob Desmone rolled 47 (35 + 12) out of 100 on Engineering.
[19:07:09]	Jacob Desmone used command '/RollSkill engineering'.
[19:07:38]	[ME] Jacob Desmone: Attempting again to move around and locks it in next to the CPU this time
[19:07:42]	Jacob Desmone rolled 109 (97 + 12) out of 100 on Engineering.
[19:07:42]	Jacob Desmone used command '/RollSkill engineering'.
[19:07:58]	John Reece has gained a 'Broken Computer Monitor' #35856.
[19:08:00]	John Reece ran 'drop' on item 'Broken Computer Monitor' (#35856)
[19:08:00]	John Reece has lost a 'Broken Computer Monitor' #35856.
[19:08:01]	[ME] Jacob Desmone: Scrolls the panel for status on the antenna
[19:08:16]	CCA.C17-HELIX.i3.08874 used command '/Radio Status.'.
[19:08:17]	John Reece opened the 'Dumpster' #2684 container.
[19:08:18]	John Reece closed the 'Dumpster' #2684 container.
[19:08:34]	CCA.C17-HELIX.i3.08874 used command '/Radio Bravo-9.'.
[19:08:42]	CCA.C17-HELIX.i3.08874 used command '/Radio Gotcha.'.
[19:09:12]	[ME] CCA.C17-HELIX.i3.08874: plays a sound through a radio on their chest, blarring a large static noise.
[19:09:16]	[ME] CCA.C17-HELIX.i3.08874: turns it off.
[19:09:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:09:52]	John Reece opened the 'Dumpster' #239 container.
[19:09:54]	John Reece closed the 'Dumpster' #239 container.
[19:09:57]	[ME] Jacob Desmone: Checks the router 
[19:09:59]	John Reece ran 'combine' on item 'Suitcase' (#34441)
[19:10:02]	[IT] Jacob Desmone: Do I find anything
[19:10:13]	[ME] Jacob Desmone: Inspects the connection box
[19:10:26]	Jacob Desmone rolled 24 (12 + 12) out of 100 on Engineering.
[19:10:26]	Jacob Desmone used command '/RollSkill engineering'.
[19:10:39]	[ME] Jacob Desmone: Keeps looking
[19:10:44]	Jacob Desmone rolled 15 (3 + 12) out of 100 on Engineering.
[19:10:44]	Jacob Desmone used command '/RollSkill engineering'.
[19:10:47]	[LOOC] Jacob Desmone: fuck
[19:10:48]	[LOOC] Jacob Desmone: these rolls
[19:10:56]	[ME] Jacob Desmone: Keeps looking around for any sign of damage or issue
[19:11:06]	[ME] Jacob Desmone: Turns on his flashlight
[19:11:10]	Jacob Desmone rolled 27 (15 + 12) out of 100 on Engineering.
[19:11:10]	Jacob Desmone used command '/RollSkill Engineering'.
[19:11:24]	[ME] CCA.C17-HELIX.i3.08874: examines the technology.
[19:11:33]	CCA.C17-HELIX.i3.08874 used command '/RollAttribute engineering'.
[19:11:39]	CCA.C17-HELIX.i3.08874 rolled 87 (81 + 6) out of 100 on Engineering.
[19:11:39]	CCA.C17-HELIX.i3.08874 used command '/RollSkill engineering'.
[19:13:04]	[ME] Jacob Desmone: Removes the capictator
[19:13:17]	CCA.C17-HELIX.i3.08874 used command '/Radio Checking 1...2...3...'.
[19:13:19]	Jacob Desmone rolled 55 (43 + 12) out of 100 on Engineering.
[19:13:19]	Jacob Desmone used command '/RollSkill engineering'.
[19:13:31]	CCA.C17-HELIX.i3.08874 used command '/Radio Mhm.'.
[19:14:10]	[LOOC] CCA.C17-HELIX.i3.08874: That's CID only
[19:14:17]	[LOOC] CCA.C17-HELIX.i3.08874: you can go through
[19:14:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:14:52]	[ME] Jacob Desmone: Hands him back his tool
[19:15:01]	[ME] CCA.C17-HELIX.i3.08874: takes the tool.
[19:15:13]	[ME] Jacob Desmone: quickly shuffles over
[19:15:40]	[LOOC] CCA.C17-HELIX.i3.08874: nice IC knowlege development.
[19:15:46]	[LOOC] Jacob Desmone: Yea
[19:15:51]	[LOOC] Jacob Desmone: hex key
[19:16:14]	CCA.C17-HELIX.i3.08874 used command '/Radio Dispatch can I get uhh...'.
[19:16:23]	CCA.C17-HELIX.i3.08874 used command '/Radio Video footage download of the last hour?'.
[19:16:51]	CCA.C17-HELIX.i3.08874 used command '/Radio Preparing for visual download.'.
[19:17:56]	Jacob Desmone used command '/Apply'.
[19:18:40]	CCA.C17-HELIX.i3.08874 used command '/ViewData jacob'.
[19:19:35]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:20:35]	CCA.C17-HELIX.i3.08874 used command '/Radio Uhh, copy.'.
[19:21:00]	CCA.C17-HELIX.i3.08874 used command '/Radio Moving to identify outbreak.'.
[19:21:24]	Painevan loaded the character 'OTA.C17-ECHO.OHZ.74152'
[19:23:05]	Painevan loaded the character 'CCA.C17-HELIX.i3.08874'
[19:23:38]	CCA.C17-HELIX.i3.08874 used command '/Radio No visual on UTA suspect.'.
[19:24:05]	CCA.C17-HELIX.i3.08874 used command '/Radio Negative.'.
[19:24:07]	CCA.C17-HELIX.i3.08874 opened the 'File Cabinet' #2366 container.
[19:24:10]	CCA.C17-HELIX.i3.08874 closed the 'File Cabinet' #2366 container.
[19:24:12]	CCA.C17-HELIX.i3.08874 used the 'Box of Posters' vendor.
[19:25:14]	John Reece ran 'equip' on item 'Citizen Filter' (#35493)
[19:25:46]	CCA.C17-HELIX.i3.08874 used command '/Radio Affirmative.'.
[19:26:55]	Jacob Desmone ran 'take' on item 'Scrap Wood' (#35849)
[19:26:55]	Jacob Desmone has gained a 'Scrap Wood' #35849.
[19:27:12]	CCA.C17-HELIX.i3.08874 used command '/Radio No.'.
[19:27:53]	CCA.C17-HELIX.i3.08874 used the 'Ration Dispenser' vendor.
[19:27:55]	CCA.C17-HELIX.i3.08874 has gained 0 tokens.
[19:27:55]	CCA.C17-HELIX.i3.08874 has gained a 'CCA Grade Beverage (Lemon Flavor)' #35857.
[19:28:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:28:10]	Jacob Desmone opened the 'Trash Bin' #2551 container.
[19:28:13]	Jacob Desmone closed the 'Trash Bin' #2551 container.
[19:28:18]	CCA.C17-HELIX.i3.08874 used the 'Ration Dispenser' vendor.
[19:28:22]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'CCA Grade Beverage (Lemon Flavor)' (#35857)
[19:28:22]	CCA.C17-HELIX.i3.08874 has lost a 'CCA Grade Beverage (Lemon Flavor)' #35857.
[19:30:08]	John Reece used command '/Apply'.
[19:30:26]	[ME] CCA.C17-HELIX.i3.08874: inputs into the ration terminal.
[19:30:28]	CCA.C17-HELIX.i3.08874 used the 'Ration Dispenser' vendor.
[19:30:35]	CCA.C17-HELIX.i3.08874 used command '/ViewData john'.
[19:30:44]	CCA.C17-HELIX.i3.08874 used the 'Ration Dispenser' vendor.
[19:30:45]	CCA.C17-HELIX.i3.08874 has gained 0 tokens.
[19:30:45]	CCA.C17-HELIX.i3.08874 has gained a 'Standard Grade Ration' #35858.
[19:31:10]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Standard Grade Ration' (#35858)
[19:31:10]	CCA.C17-HELIX.i3.08874 has lost a 'Standard Grade Ration' #35858.
[19:31:12]	John Reece ran 'take' on item 'Standard Grade Ration' (#35858)
[19:31:12]	John Reece has gained a 'Standard Grade Ration' #35858.
[19:31:18]	CCA.C17-HELIX.i3.08874 used command '/Radio Mandatory search is in effect.'.
[19:31:30]	John Reece ran 'Open' on item 'Standard Grade Ration' (#35858)
[19:31:30]	John Reece has gained a 'Standard Grade Food Product (Potato Flavor)' #35859.
[19:31:30]	John Reece has gained a 'Standard Grade Supplements (Bread Flavor)' #35860.
[19:31:30]	John Reece has gained a 'Consulate Water' #35861.
[19:31:30]	John Reece has gained 10 tokens.
[19:31:32]	John Reece ran 'Consume' on item 'Standard Grade Food Product (Potato Flavor)' (#35859)
[19:31:33]	John Reece ran 'Consume' on item 'Consulate Water' (#35861)
[19:31:33]	John Reece has gained a 'Empty Consulate Water Can' #35862.
[19:31:35]	John Reece ran 'Consume' on item 'Standard Grade Supplements (Bread Flavor)' (#35860)
[19:31:40]	Jacob Desmone used command '/Apply'.
[19:31:49]	[ME] CCA.C17-HELIX.i3.08874: does computery shit.
[19:31:52]	CCA.C17-HELIX.i3.08874 used command '/ViewData jacob'.
[19:33:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:33:29]	CCA.C17-HELIX.i3.08874 used the 'Ration Dispenser' vendor.
[19:33:31]	CCA.C17-HELIX.i3.08874 has gained 0 tokens.
[19:33:31]	CCA.C17-HELIX.i3.08874 has gained a 'Loyalist Grade Ration' #35863.
[19:33:35]	CCA.C17-HELIX.i3.08874 ran 'drop' on item 'Loyalist Grade Ration' (#35863)
[19:33:35]	CCA.C17-HELIX.i3.08874 has lost a 'Loyalist Grade Ration' #35863.
[19:33:39]	[ME] Jacob Desmone: Takes the ration
[19:33:40]	Jacob Desmone ran 'take' on item 'Loyalist Grade Ration' (#35863)
[19:33:40]	Jacob Desmone has gained a 'Loyalist Grade Ration' #35863.
[19:33:51]	[ME] CCA.C17-HELIX.i3.08874: takes his drink.
[19:34:01]	CCA.C17-HELIX.i3.08874 ran 'Consume' on item 'CCA Grade Beverage (Lemon Flavor)' (#35857)
[19:35:06]	[ME] CCA.C17-HELIX.i3.08874: moves to tie the man infront of them by placing both arms behind their back and zip tying them.
[19:35:09]	CCA.C17-HELIX.i3.08874 ran 'Use' on item 'Zip Tie' (#35839)
[19:35:14]	wendigo has connected.
[19:35:30]	[ME] CCA.C17-HELIX.i3.08874: pats the man infront of them.
[19:35:38]	CCA.C17-HELIX.i3.08874 used command '/CharSearch'.
[19:36:06]	wendigo loaded the character 'Ava Carter'
[19:36:08]	[ME] CCA.C17-HELIX.i3.08874: forcibally searches the other man.
[19:36:14]	[OOC] CCA.C17-HELIX.i3.08874: Just missed the mandatory search.
[19:36:20]	[OOC] Jacob Desmone: oh lmao
[19:36:27]	[OOC] Ava Carter: L
[19:36:36]	[OOC] Jacob Desmone: I got to fix combine terminals
[19:36:58]	Ava Carter has gained a 'Circuit Board' #35864.
[19:37:06]	wendigo loaded the character 'Sona la Rona'
[19:37:09]	CCA.C17-HELIX.i3.08874 has gained a 'Metal Gas Can' #35237.
[19:37:13]	Sona la Rona ran 'take' on item 'Pliers' (#35280)
[19:37:13]	Sona la Rona has gained a 'Pliers' #35280.
[19:37:23]	CCA.C17-HELIX.i3.08874 used command '/Radio One thing, nothing major.'.
[19:37:32]	Sona la Rona ran 'take' on item 'Small Thermos' (#35294)
[19:37:32]	Sona la Rona has gained a 'Small Thermos' #35294.
[19:37:36]	[ME] CCA.C17-HELIX.i3.08874: uses his combat knife to untie the man.
[19:37:50]	CCA.C17-HELIX.i3.08874 used command '/Radio Yep.'.
[19:38:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:38:57]	matt saton has connected.
[19:39:19]	Sona la Rona ran 'take' on item 'Locker Door' (#34415)
[19:39:20]	Jacob Desmone ran 'Open' on item 'Loyalist Grade Ration' (#35863)
[19:39:20]	Jacob Desmone has gained a 'Loyalist Grade Food Product (Lemon Flavor)' #35865.
[19:39:20]	Jacob Desmone has gained a 'Loyalist Grade Supplements (Pickle Flavor)' #35866.
[19:39:20]	Jacob Desmone has gained a 'Flavored Consulate Water' #35867.
[19:39:20]	Jacob Desmone has gained 20 tokens.
[19:39:24]	Sona la Rona ran 'take' on item 'Locker Door' (#34415)
[19:39:24]	Sona la Rona has gained a 'Locker Door' #34415.
[19:39:30]	Sona la Rona has gained a 'Scrap Metal' #35868.
[19:39:30]	Sona la Rona has gained a 'Scrap Metal' #35869.
[19:39:34]	Jacob Desmone ran 'Consume' on item 'Loyalist Grade Food Product (Lemon Flavor)' (#35865)
[19:39:34]	Jacob Desmone ran 'Consume' on item 'Loyalist Grade Supplements (Pickle Flavor)' (#35866)
[19:39:35]	Jacob Desmone ran 'Consume' on item 'Flavored Consulate Water' (#35867)
[19:39:35]	Jacob Desmone has gained a 'Empty Flavored Consulate Water Can' #35870.
[19:39:38]	Sona la Rona ran 'drop' on item 'Empty Cooking Oil Bottle' (#29070)
[19:39:38]	Sona la Rona has lost a 'Empty Cooking Oil Bottle' #29070.
[19:39:50]	Sona la Rona ran 'take' on item 'White Shirt' (#34286)
[19:39:50]	Sona la Rona has gained a 'White Shirt' #34286.
[19:39:55]	Sona la Rona ran 'Equip' on item 'White Shirt' (#34286)
[19:39:58]	Jacob Desmone used the 'Shopkeeper Jim' vendor.
[19:40:03]	Jacob Desmone has lost 10 tokens.
[19:40:03]	Jacob Desmone has gained a 'Request Device' #35871.
[19:40:08]	[OOC] Sona la Rona: just found a white shirt
[19:40:13]	John Reece ran 'drop' on item 'Empty Consulate Water Can' (#35862)
[19:40:13]	John Reece has lost a 'Empty Consulate Water Can' #35862.
[19:40:13]	[OOC] Jacob Desmone: I got to work on my
[19:40:16]	[OOC] Jacob Desmone: I mean not on my
[19:40:20]	[OOC] Jacob Desmone: on the combine terminals today
[19:41:13]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#34892)
[19:41:13]	Jacob Desmone has gained a 'Scrap Metal' #34892.
[19:41:14]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35270)
[19:41:14]	Jacob Desmone has gained a 'Scrap Metal' #35270.
[19:41:14]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35374)
[19:41:14]	Jacob Desmone has gained a 'Scrap Metal' #35374.
[19:41:16]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35368)
[19:41:16]	Jacob Desmone has gained a 'Scrap Metal' #35368.
[19:41:17]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35393)
[19:41:17]	Jacob Desmone has gained a 'Scrap Metal' #35393.
[19:41:18]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35398)
[19:41:18]	Jacob Desmone has gained a 'Scrap Metal' #35398.
[19:41:19]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35269)
[19:41:19]	Jacob Desmone has gained a 'Scrap Metal' #35269.
[19:41:20]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35394)
[19:41:20]	Jacob Desmone has gained a 'Scrap Metal' #35394.
[19:41:25]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35449)
[19:41:25]	Jacob Desmone has gained a 'Scrap Metal' #35449.
[19:41:39]	[OOC] CCA.C17-HELIX.i3.08874: Wooo
[19:41:45]	[OOC] CCA.C17-HELIX.i3.08874: CPs are searchin
[19:41:49]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[19:41:52]	Sona la Rona has gained a 'Light Bulb' #35872.
[19:41:54]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
[19:41:55]	Jacob Desmone ran 'take' on item 'Electric Drill' (#34592)
[19:42:00]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#35449)
[19:42:00]	Jacob Desmone has lost a 'Scrap Metal' #35449.
[19:42:02]	Jacob Desmone ran 'take' on item 'Electric Drill' (#34592)
[19:42:04]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#35269)
[19:42:04]	Jacob Desmone has lost a 'Scrap Metal' #35269.
[19:42:04]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#35398)
[19:42:04]	Jacob Desmone has lost a 'Scrap Metal' #35398.
[19:42:06]	Jacob Desmone ran 'take' on item 'Electric Drill' (#34592)
[19:42:06]	Jacob Desmone has gained a 'Electric Drill' #34592.
[19:42:16]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[19:42:16]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
[19:42:19]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#35393)
[19:42:19]	Jacob Desmone has lost a 'Scrap Metal' #35393.
[19:42:21]	Jacob Desmone ran 'take' on item 'Pliers' (#24429)
[19:42:21]	Jacob Desmone has gained a 'Pliers' #24429.
[19:42:28]	CCA.C17-HELIX.i3.08874 used command '/Radio Yeah'.
[19:42:28]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35393)
[19:42:28]	Jacob Desmone has gained a 'Scrap Metal' #35393.
[19:42:29]	Jacob Desmone ran 'take' on item 'Wires' (#35401)
[19:42:29]	Jacob Desmone has gained a 'Wires' #35401.
[19:42:30]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35449)
[19:42:30]	Jacob Desmone has gained a 'Scrap Metal' #35449.
[19:42:33]	CCA.C17-HELIX.i3.08874 used command '/Radio Yeah.'.
[19:42:38]	Jacob Desmone ran 'drop' on item 'Wires' (#35401)
[19:42:38]	Jacob Desmone has lost a 'Wires' #35401.
[19:42:41]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35398)
[19:42:41]	Jacob Desmone has gained a 'Scrap Metal' #35398.
[19:42:42]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#35269)
[19:42:42]	Jacob Desmone has gained a 'Scrap Metal' #35269.
[19:42:42]	CCA.C17-HELIX.i3.08874 used command '/Radio At 10-20.'.
[19:42:42]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[19:42:43]	matt saton loaded the character 'CCA.C17-GRID.i3.10945'
[19:42:46]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
[19:42:52]	Jacob Desmone has gained a 'Weapon Parts' #35873.
[19:42:53]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[19:42:59]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
[19:43:05]	CCA.C17-HELIX.i3.08874 has gained 10 tokens.
[19:43:09]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[19:43:12]	Jacob Desmone has gained a 'RF Transmitter' #35196.
[19:43:13]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
[19:43:23]	Jacob Desmone opened the 'Reinforced Padlocked Crate' #2848 container.
[19:43:26]	Jacob Desmone closed the 'Reinforced Padlocked Crate' #2848 container.
[19:43:37]	Sona la Rona ran 'EquipUn' on item 'Green Citizen Suit' (#35831)
[19:43:39]	[OOC] Jacob Desmone: bro it voided
[19:43:41]	[OOC] Jacob Desmone: 2 weapon parts
[19:43:47]	[OOC] Sona la Rona: damn
[19:43:49]	Sona la Rona ran 'EquipUn' on item 'White Shirt' (#34286)
[19:43:50]	Sona la Rona ran 'Equip' on item 'White Shirt' (#34286)
[19:43:55]	Sona la Rona ran 'EquipUn' on item 'White Shirt' (#34286)
[19:43:56]	Sona la Rona ran 'Equip' on item 'White Shirt' (#34286)
[19:43:58]	Sona la Rona ran 'EquipUn' on item 'White Shirt' (#34286)
[19:43:59]	Sona la Rona ran 'Equip' on item 'White Shirt' (#34286)
[19:44:24]	Jacob Desmone opened the 'Padlocked Locker' #2847 container.
