[00:22:58]	Ollie Garner has connected.
[15:27:18]	Roach Shepherd has gained a 'Wood Scrap' #6579.
[15:27:19]	Roach Shepherd ran 'take' on item 'Wood Scrap' (#6578)
[15:27:19]	Roach Shepherd has gained a 'Wood Scrap' #6578.
[15:27:19]	CCA.C14-JUDGE.i5.22767 ran 'drop' on item 'Cooked Black Headcrab Meat' (#27614)
[15:27:19]	CCA.C14-JUDGE.i5.22767 has lost a 'Cooked Black Headcrab Meat' #27614.
[15:27:20]	CCA.C14-JUDGE.i5.22767 ran 'drop' on item 'Cooked Black Headcrab Meat' (#27613)
[15:27:20]	CCA.C14-JUDGE.i5.22767 has lost a 'Cooked Black Headcrab Meat' #27613.
[15:27:45]	CCA.C14-JUDGE.i5.22767 ran 'Open' on item 'Civil Protection Functionary Grade Ration' (#29788)
[15:27:45]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Food Product' #29789.
[15:27:45]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Supplements' #29790.
[15:27:45]	CCA.C14-JUDGE.i5.22767 has gained a 'Civil Protection Functionary Grade Drink' #29791.
[15:27:47]	CCA.C14-JUDGE.i5.22767 ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#29789)
[15:27:47]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Drink' (#29791)
[15:27:48]	CCA.C14-JUDGE.i5.22767 ran 'Consume' on item 'Civil Protection Functionary Grade Supplements' (#29790)
[15:28:09]	Madeline Wuntch has connected.
[15:28:13]	[OOC] CCA.C14-JUDGE.i5.22767: yay more people
[15:28:14]	[OOC] Angela Aleinikova: :O
[15:28:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[15:29:13]	Roach Shepherd opened the '' #2112 container.
[15:29:24]	Roach Shepherd closed the '' #2112 container.
[15:29:45]	[OOC] Roach Shepherd: Wanna know what I dislike?
[15:29:50]	[OOC] CCA.C14-JUDGE.i5.22767: what?
[15:29:54]	[OOC] Roach Shepherd: 80% I have to givre.
[15:29:56]	[OOC] Roach Shepherd: *give
[15:30:03]	[OOC] CCA.C14-JUDGE.i5.22767: well how much have you made so far?
[15:30:16]	[OOC] Roach Shepherd: I got...let me check the sheet I made for this.
[15:30:22]	Madeline Wuntch loaded the character 'CCA.C14-GRID.i2.36307'
[15:30:38]	[OOC] CCA.C14-JUDGE.i5.22767: howdy grid
[15:30:52]	[OOC] Roach Shepherd: What do GRID do again?
[15:30:59]	[OOC] Angela Aleinikova: Hello Engineer ;3
[15:31:04]	[OOC] CCA.C14-JUDGE.i5.22767: ^ that
[15:31:19]	[OOC] Roach Shepherd: Also 45T in total I got from two customers.
[15:31:20]	[OOC] CCA.C14-JUDGE.i5.22767: i love how perfectly that lined up
[15:31:44]	[OOC] CCA.C14-JUDGE.i5.22767: so you have to give them 36T
[15:31:47]	[OOC] CCA.C14-GRID.i2.36307: i have a nugget in my inventory w h a y
[15:31:51]	[OOC] CCA.C14-GRID.i2.36307: what*
[15:31:53]	[OOC] CCA.C14-JUDGE.i5.22767: don't worry
[15:31:57]	[OOC] Roach Shepherd: give me the nugget.
[15:31:57]	[OOC] CCA.C14-GRID.i2.36307: I AM WORRYING
[15:31:58]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:32:04]	[OOC] Roach Shepherd: I want to give it to the JUDGE.
[15:32:05]	[OOC] CCA.C14-JUDGE.i5.22767: stop worrying then
[15:32:10]	[OOC] CCA.C14-GRID.i2.36307: but it nugget
[15:32:13]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:32:24]	[OOC] CCA.C14-JUDGE.i5.22767: i need to actually make an item that if you give to my unit you get a surprise
[15:32:24]	[OOC] Roach Shepherd: Also rations when?
[15:32:28]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:32:32]	[OOC] CCA.C14-JUDGE.i5.22767: novv
[15:32:37]	[OOC] Roach Shepherd: novv?
[15:32:37]	[OOC] CCA.C14-JUDGE.i5.22767: actually
[15:32:43]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:32:46]	[OOC] Roach Shepherd: JUDGE speak moon runes.
[15:32:47]	[OOC] CCA.C14-JUDGE.i5.22767: I can't authorize a ration cycle
[15:32:49]	[OOC] Angela Aleinikova: when I start starving xD
[15:32:58]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:33:02]	[OOC] CCA.C14-JUDGE.i5.22767: i use vv when I'm walking and don't wanna stop to press w
[15:33:13]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:33:14]	[OOC] Roach Shepherd: ohhh
[15:33:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[15:33:19]	[OOC] CCA.C14-GRID.i2.36307: vvovv vvhat a good idea
[15:33:20]	CCA.C14-JUDGE.i5.22767 used command '/Radio Is any unit avaliable, able to authorize ration cycles?'.
[15:33:24]	[OOC] CCA.C14-JUDGE.i5.22767: mhm
[15:33:25]	[OOC] CCA.C14-GRID.i2.36307: WAIT
[15:33:28]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:33:29]	[OOC] CCA.C14-GRID.i2.36307: RADIO SOUND CHANGED
[15:33:30]	CCA.C14-JUDGE.i5.22767 ran 'Read' on item 'Civil Protection Handbook' (#18927)
[15:33:35]	[OOC] CCA.C14-GRID.i2.36307: DOUGHNUT SPAM SHIT IN THE RADIO
[15:33:43]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:33:48]	[LOOC] Angela Aleinikova: dont mind that lewd starving sounds xD
[15:33:53]	CCA.C14-GRID.i2.36307 used command '/Radio 10-2'.
[15:33:56]	[LOOC] Roach Shepherd: Ha.
[15:33:58]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:34:08]	CCA.C14-GRID.i2.36307 used command '/Radio'.
[15:34:13]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:34:14]	CCA.C14-JUDGE.i5.22767 used command '/Radio Ugh.'.
[15:34:20]	CCA.C14-GRID.i2.36307 used command '/PM judge did it change for you'.
[15:34:26]	CCA.C14-GRID.i2.36307 used command '/Radio'.
[15:34:27]	CCA.C14-JUDGE.i5.22767 used command '/PM grid i think'.
[15:34:28]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:34:28]	CCA.C14-GRID.i2.36307 used command '/Radio'.
[15:34:31]	CCA.C14-GRID.i2.36307 used command '/Radio'.
[15:34:38]	[OOC] CCA.C14-JUDGE.i5.22767: imma just run the ration cycle fuck it
[15:34:43]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:34:46]	[OOC] CCA.C14-GRID.i2.36307: i wont tell if you wont
[15:34:58]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:35:13]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:35:22]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[15:35:28]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:35:41]	[OOC] CCA.C14-JUDGE.i5.22767: come and get 'em
[15:35:43]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:35:54]	[OOC] Roach Shepherd: Citizens are just apes.
[15:35:58]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:36:01]	[OOC] Roach Shepherd: It's medical fact.
[15:36:02]	[OOC] CCA.C14-JUDGE.i5.22767: monki
[15:36:08]	[LOOC] Angela Aleinikova: imagine you come at dispenser and gets closed
[15:36:10]	[OOC] CCA.C14-GRID.i2.36307: reject humanity
[15:36:12]	[OOC] CCA.C14-GRID.i2.36307: become monke
[15:36:13]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:36:16]	[OOC] Roach Shepherd: RETURN TO MONKE.
[15:36:28]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:36:43]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:36:51]	Angela Aleinikova used command '/Apply'.
[15:36:56]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData angela'.
[15:36:58]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:37:07]	CCA.C14-JUDGE.i5.22767 opened the 'Standard Grade Rations' #1707 container.
[15:37:08]	CCA.C14-GRID.i2.36307 opened the 'Civil Protection Rations' #1709 container.
[15:37:10]	CCA.C14-JUDGE.i5.22767 has gained a 'Standard Grade Ration' #27808.
[15:37:10]	CCA.C14-GRID.i2.36307 closed the 'Civil Protection Rations' #1709 container.
[15:37:11]	CCA.C14-JUDGE.i5.22767 closed the 'Standard Grade Rations' #1707 container.
[15:37:13]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:37:22]	CCA.C14-JUDGE.i5.22767 ran 'drop' on item 'Standard Grade Ration' (#27808)
[15:37:22]	CCA.C14-JUDGE.i5.22767 has lost a 'Standard Grade Ration' #27808.
[15:37:29]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:37:35]	[ME] Angela Aleinikova: accepts the ration and moves along
[15:37:40]	Angela Aleinikova ran 'Open' on item 'Standard Grade Ration' (#27808)
[15:37:40]	Angela Aleinikova has gained a 'Standard Grade Citizen Food Product' #29788.
[15:37:40]	Angela Aleinikova has gained a 'Standard Grade Citizen Supplements' #29789.
[15:37:40]	Angela Aleinikova has gained a 'Breen's Water' #29790.
[15:37:40]	Angela Aleinikova has gained 20 tokens.
[15:37:44]	Angela Aleinikova has taken 2 damage from Angela Aleinikova.
[15:37:45]	Roach Shepherd used command '/Apply'.
[15:37:49]	Angela Aleinikova ran 'Consume' on item 'Breen's Water' (#29790)
[15:37:51]	CCA.C14-JUDGE.i5.22767 used command '/OldViewData roach'.
[15:37:51]	Angela Aleinikova ran 'Eat' on item 'Standard Grade Citizen Food Product' (#29788)
[15:37:59]	Angela Aleinikova ran 'Consume' on item 'Standard Grade Citizen Supplements' (#29789)
[15:38:04]	CCA.C14-JUDGE.i5.22767 opened the 'Standard Grade Rations' #1707 container.
[15:38:06]	CCA.C14-JUDGE.i5.22767 has gained a 'Standard Grade Ration' #28188.
[15:38:07]	CCA.C14-JUDGE.i5.22767 closed the 'Standard Grade Rations' #1707 container.
[15:38:13]	Angela Aleinikova has lost 5 tokens.
[15:38:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[15:38:17]	CCA.C14-JUDGE.i5.22767 ran 'drop' on item 'Standard Grade Ration' (#28188)
[15:38:17]	CCA.C14-JUDGE.i5.22767 has lost a 'Standard Grade Ration' #28188.
[15:38:18]	Angela Aleinikova ran 'Consume' on item 'Breen's Water' (#29788)
[15:38:25]	[ME] Roach Shepherd: would pick up the rations, nodding "Thank you."
[15:38:28]	Roach Shepherd ran 'take' on item 'Standard Grade Ration' (#28188)
[15:38:28]	Roach Shepherd has gained a 'Standard Grade Ration' #28188.
[15:38:29]	Angela Aleinikova has lost 10 tokens.
[15:38:33]	Angela Aleinikova ran 'take' on item 'Sparkling Breen's Water' (#29789)
[15:38:33]	Angela Aleinikova has gained a 'Sparkling Breen's Water' #29789.
[15:38:33]	Roach Shepherd ran 'Open' on item 'Standard Grade Ration' (#28188)
[15:38:33]	Roach Shepherd has gained a 'Standard Grade Citizen Food Product' #29790.
[15:38:33]	Roach Shepherd has gained a 'Standard Grade Citizen Supplements' #29791.
[15:38:33]	Roach Shepherd has gained a 'Breen's Water' #29792.
[15:38:33]	Roach Shepherd has gained 20 tokens.
[15:38:37]	Roach Shepherd ran 'Consume' on item 'Standard Grade Citizen Supplements' (#29791)
[15:38:38]	Angela Aleinikova ran 'Consume' on item 'Sparkling Breen's Water' (#29789)
[15:38:39]	Roach Shepherd ran 'Consume' on item 'Breen's Water' (#29792)
[15:38:53]	[LOOC] CCA.C14-JUDGE.i5.22767: monke
[15:38:57]	[LOOC] CCA.C14-GRID.i2.36307: monke
[15:39:27]	CCA.C14-GRID.i2.36307 used command '/RadioYell // WE GOT A FUCXKING MONKE CODE SWORD'.
[15:39:37]	CCA.C14-GRID.i2.36307 opened the '' #2268 container.
[15:39:37]	CCA.C14-GRID.i2.36307 closed the '' #2268 container.
[15:39:47]	CCA.C14-JUDGE.i5.22767 opened the '' #2268 container.
[15:39:47]	CCA.C14-JUDGE.i5.22767 closed the '' #2268 container.
[15:39:49]	[RS] Cayde-7 has connected.
[15:40:01]	[OOC] Angela Aleinikova: opa
[15:40:09]	[LOOC] CCA.C14-GRID.i2.36307: WITCH
[15:40:15]	[LOOC] CCA.C14-JUDGE.i5.22767: magic
[15:40:22]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[15:41:07]	[OOC] Roach Shepherd: How do you get loyalist points, if I may ask.
[15:41:15]	[OOC] CCA.C14-GRID.i2.36307: do work
[15:41:24]	Roach Shepherd has lost 10 tokens.
[15:41:25]	[OOC] CCA.C14-JUDGE.i5.22767: doing work desk tasks and turning in contraband, or helping to stop crime
[15:41:26]	[OOC] Angela Aleinikova: be good boi
[15:41:28]	[OOC] CCA.C14-GRID.i2.36307: bother a unit for a task
[15:41:29]	Roach Shepherd ran 'take' on item 'Sparkling Breen's Water' (#29791)
[15:41:29]	Roach Shepherd has gained a 'Sparkling Breen's Water' #29791.
[15:41:35]	Roach Shepherd ran 'Consume' on item 'Sparkling Breen's Water' (#29791)
[15:41:37]	[OOC] CCA.C14-GRID.i2.36307: throw stuff at us until we give you lp
[15:41:38]	[RS] Cayde-7 loaded the character 'Christopher Landry'
[15:41:44]	[OOC] Roach Shepherd: Time to bully CP for tasks.
[15:41:53]	[OOC] Roach Shepherd: *Ask nicely for tasks.
[15:41:54]	CCA.C14-JUDGE.i5.22767 used command '/Radio Unit 22767, forming PT kilo with unit 36307.'.
[15:42:01]	CCA.C14-JUDGE.i5.22767 ran 'create' on item 'Squad Identification Device' (#26719)
[15:42:05]	[OOC] Angela Aleinikova: gets slapped like the BASS
[15:42:09]	CCA.C14-JUDGE.i5.22767 ran 'setcolor' on item 'Squad Identification Device' (#26719)
[15:42:10]	CCA.C14-GRID.i2.36307 ran 'join' on item 'Squad Identification Device' (#28403)
[15:42:14]	[OOC] Christopher Landry: Epico
[15:42:18]	[OOC] CCA.C14-JUDGE.i5.22767: yup
[15:42:24]	[OOC] Angela Aleinikova: stronco
[15:43:09]	[ME] CCA.C14-JUDGE.i5.22767: grabs a broom from under the desk
[15:43:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
[15:43:18]	[ME] CCA.C14-JUDGE.i5.22767: places broom on the table.
[15:43:40]	[ME] Roach Shepherd: would pick up the broom.
[15:43:57]	[ME] Roach Shepherd: would start to clean up the side walk.
[15:44:19]	[ME] CCA.C14-JUDGE.i5.22767: slides open drawer and takes out posters and tape
[15:44:32]	[ME] CCA.C14-JUDGE.i5.22767: places the items on the table infront of the civilian.
[15:44:55]	[ME] Christopher Landry: Takes the posters and tape.
[15:44:58]	[LOOC] CCA.C14-JUDGE.i5.22767: just do 15-20 or something around that
[15:45:22]	CCA.C14-GRID.i2.36307 has gained 10 tokens.
[15:45:48]	[ME] CCA.C14-JUDGE.i5.22767: pulls out a bucket of murky water, and a rag
[15:46:00]	[ME] CCA.C14-JUDGE.i5.22767: places them on the table
[15:46:14]	[ME] Roach Shepherd: would continue to clean the streets with the broom, sweeping the streets and attempting to get rid of the mess.
[15:46:15]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:46:56]	[OOC] CCA.C14-JUDGE.i5.22767: i gotta go recycle some boxes, so if y'all finish before I'm back just ask the grid for the LP
[15:47:00]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:47:07]	[OOC] Roach Shepherd: Do we just RP it?
[15:47:13]	[OOC] CCA.C14-GRID.i2.36307: yes
[15:47:20]	Roach Shepherd rolled 9 out of 100.
[15:47:20]	Roach Shepherd used command '/Roll'.
[15:47:24]	[ME] Angela Aleinikova: takes the bucket with water inside in her's right hand, and the rag to another and moves to the closest wall to start the work
[15:47:26]	[OOC] Roach Shepherd: I'm guessing I have to roll?
[15:47:35]	[OOC] Angela Aleinikova: for what LOL
[15:47:37]	[OOC] CCA.C14-JUDGE.i5.22767: not reall, if you want to
[15:47:41]	[OOC] Roach Shepherd: c l e a n i n g .
[15:47:41]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:47:44]	[OOC] CCA.C14-JUDGE.i5.22767: not really*
[15:48:02]	[ME] Christopher Landry: attaches one of the posters to the wall with the tape.
[15:48:15]	CCA.C14-JUDGE.i5.22767 has gained 10 tokens.
