[10:35:05]	japan1793 has connected.
[20:03:55]	Andrew 'Razor' Gonzalez ran 'drop' on item 'Empty Glass Bottle' (#14320)
[20:03:55]	Andrew 'Razor' Gonzalez has lost a 'Empty Glass Bottle' #14320.
[20:03:58]	Andrew 'Razor' Gonzalez ran 'take' on item 'Empty Glass Bottle' (#14320)
[20:03:58]	Andrew 'Razor' Gonzalez has gained a 'Empty Glass Bottle' #14320.
[20:04:00]	Andrew 'Razor' Gonzalez ran 'Equip' on item 'Empty Glass Bottle' (#14320)
[20:04:02]	[ME] Chloe Cullen: takes some time to clean the tables..
[20:04:04]	Andrew 'Razor' Gonzalez ran 'EquipUn' on item 'Empty Glass Bottle' (#14320)
[20:04:33]	Drake Salvador used the 'Street Market' vendor.
[20:04:42]	Chloe Cullen used the 'John Doe' vendor.
[20:04:51]	Chloe Cullen has gained 0 tokens.
[20:04:51]	Chloe Cullen has gained a 'UU Brand Gin' #14321.
[20:04:53]	Chloe Cullen ran 'Consume' on item 'UU Brand Gin' (#14321)
[20:04:53]	Chloe Cullen has gained a 'Empty Glass Bottle' #14322.
[20:04:56]	Chloe Cullen ran 'Equip' on item 'Empty Glass Bottle' (#14322)
[20:05:12]	[LOOC] Drake Salvador: Fuck it's harder to see in here than out there
[20:05:19]	[ME] Andrew 'Razor' Gonzalez: continues to read
[20:05:20]	[LOOC] Chloe Cullen: it's a bar
[20:05:30]	[LOOC] Chloe Cullen: with beats
[20:05:42]	[LOOC] Drake Salvador: Pretty neat
[20:06:34]	[ME] Drake Salvador: walks over to the counter, leaning on it as he takes off the mask to his suit, pulling said suit down to around his waist. "Yeah." he walks over to the counter and leans on it as he looks around for a menu.
[20:06:38]	Drake Salvador ran 'EquipUn' on item 'Green Citizen Suit' (#13989)
[20:07:44]	[ME] Chloe Cullen: scowls. "I don't take that kind of talk at my bar."
[20:07:53]	Chloe Cullen ran 'EquipUn' on item 'Empty Glass Bottle' (#14322)
[20:09:40]	[ME] Andrew 'Razor' Gonzalez: puts up his glasses as he continues to read his Bible
[20:09:48]	[ME] Chloe Cullen: perked a brow at this 'Drake'. "Yeah. I wouldn't."
[20:10:20]	[LOOC] Chloe Cullen: there's invisible buttons over here and I hate it
[20:11:05]	[LOOC] Drake Salvador: Invisible buttons have made me piss myself before. Trap door in a custom-built map for an old Metro server I was in, dropped open the entire buffer zone between the station and the tunnels.
[20:11:17]	[LOOC] Drake Salvador: It was supposed to be for admins only but they found it.
[20:11:50]	[ME] Drake Salvador: leans over, glancing through the menu.
[20:11:53]	Drake Salvador ran 'View' on item 'Notepad' (#14318)
[20:12:23]	[ME] Andrew 'Razor' Gonzalez: slides the menu to Drake for better view
[20:13:41]	Drake Salvador ran 'View' on item 'Notepad' (#14318)
[20:14:01]	[ME] Drake Salvador: reaches into his pocket, pulling out coins counting up to twenty-five, setting them onto the counter.
[20:14:05]	Drake Salvador has lost 25 tokens.
[20:14:05]	Drake Salvador used command '/DropTokens 25'.
[20:14:13]	Drake Salvador ran 'View' on item 'Notepad' (#14318)
[20:14:34]	Chloe Cullen has gained 25 tokens.
[20:14:40]	Chloe Cullen used the 'John Doe' vendor.
[20:14:46]	[W] Drake Salvador: They seem grouchy...
[20:14:46]	Chloe Cullen has gained 0 tokens.
[20:14:46]	Chloe Cullen has gained a 'UU Brand Absinthe' #14323.
[20:14:49]	Chloe Cullen has gained 0 tokens.
[20:14:49]	Chloe Cullen has gained a 'UU Brand Coffee' #14324.
[20:14:51]	Chloe Cullen used the 'John Doe' vendor.
[20:15:02]	Chloe Cullen ran 'drop' on item 'UU Brand Coffee' (#14324)
[20:15:02]	Chloe Cullen has lost a 'UU Brand Coffee' #14324.
[20:15:03]	Chloe Cullen ran 'drop' on item 'UU Brand Absinthe' (#14323)
[20:15:03]	Chloe Cullen has lost a 'UU Brand Absinthe' #14323.
[20:15:06]	[W] Andrew 'Razor' Gonzalez: Eh.
[20:15:26]	[W] Andrew 'Razor' Gonzalez: It's business.
[20:15:37]	[W] Andrew 'Razor' Gonzalez: They just want their money.
[20:15:43]	[ME] Drake Salvador: sits down on the stool, opening the coffee. He takes a few gulps of the coffee, before starting to mix the absinthe into it.
[20:16:02]	Chloe Cullen has spawned 'models/props_junk/trashbin01a.mdl'.
[20:16:04]	Chloe Cullen opened the 'Trash Bin' #1540 container.
[20:16:06]	Chloe Cullen closed the 'Trash Bin' #1540 container.
[20:16:09]	[W] Drake Salvador: Still. If they want their money, they best treat us better than the Union does.
[20:16:23]	[W] Andrew 'Razor' Gonzalez: I bet they get some kind of pension.
[20:16:31]	[W] Drake Salvador: I wouldn't know.
[20:16:33]	Chloe Cullen used the 'John Doe' vendor.
[20:16:36]	Chloe Cullen used the 'John Doe' vendor.
[20:16:58]	[W] Drake Salvador: So, did they always let you have a Bible?
[20:17:34]	[W] Andrew 'Razor' Gonzalez: I had it for as long as I remember, when an officer saw it he didn't care it seemed.
[20:17:47]	[W] Andrew 'Razor' Gonzalez: Most don't give a shit, it seems.
[20:18:00]	[W] Andrew 'Razor' Gonzalez: You know that the Commander said I could run a church?
[20:18:14]	[W] Andrew 'Razor' Gonzalez: Fucking mental.
[20:18:46]	[OOC] Chloe Cullen: have to AFK for a tick
[20:18:46]	[MEW] Drake Salvador: continues to sip on his mix, nodding as he speaks. "Yeah, you told me. Maybe you can work up enough money to actually do it though? Preach Jesus in any way, even if it's through clenched teeth as the brands burn your skin?"
[20:18:58]	[LOOC] Chloe Cullen: feel free to chat
[20:18:58]	[LOOC] Drake Salvador: Nice error, huehue
[20:19:02]	[OOC] Chloe Cullen: feel free to chat
[20:19:14]	Drake Salvador used command '/PM Andrew /mew continues to sip on his mix, nodding as he speaks. Yeah, you told me. Maybe you can work up enough money to actually do it though? Preach Jesus in any way, even if it's through clenched teeth as the brands burn your skin?'.
[20:20:22]	[W] Andrew 'Razor' Gonzalez: Thing is where can you have a god forsaken fucking church in this place?
[20:20:52]	[W] Andrew 'Razor' Gonzalez: I'll be forced under their control but it's not much of a change.
[20:21:12]	[W] Drake Salvador: I wouldn't know. Perhaps approach that general store once the owner returns, see if you may set up an area there?
[20:22:26]	[W] Andrew 'Razor' Gonzalez: Perhaps, don't know if they will approve it though, with the "Workers' Union" being all about themselves.
[20:23:23]	[W] Drake Salvador: That can change. Though... forgiveness will need to be begged sooner or later if that path is taken.
[20:23:49]	[W] Andrew 'Razor' Gonzalez: Lot of people have sins they need to repent for, Drake. Even the Authority themselves.
[20:24:57]	[W] Drake Salvador: The authority carry the most sin. We must simply live with it until our time comes. I'm sure there's plenty of ways we can make the Worker's Union begin to care more about us.
[20:25:07]	[W] Drake Salvador: Though you cannot forget, they too are limited by the Union.
[20:25:59]	[W] Andrew 'Razor' Gonzalez: The Union and Humans themselves are at an endless war, Drake.
[20:26:20]	[LOOC] Andrew 'Razor' Gonzalez: void
[20:26:26]	[W] Andrew 'Razor' Gonzalez: Only a matter of time until the torch comes along in the name of the Lord.
[20:27:21]	[ME] Drake Salvador: takes a few large gulps, finishing his mixture of drinks, looking back up at her.
[20:27:22]	Drake Salvador ran 'take' on item 'UU Brand Coffee' (#14324)
[20:27:22]	Drake Salvador has gained a 'UU Brand Coffee' #14324.
[20:27:25]	Drake Salvador ran 'take' on item 'UU Brand Absinthe' (#14323)
[20:27:25]	Drake Salvador has gained a 'UU Brand Absinthe' #14323.
[20:28:51]	[ME] Andrew 'Razor' Gonzalez: flips the page again, reading again
[20:33:34]	[ME] Andrew 'Razor' Gonzalez: says this as he continues to read
[20:35:10]	[LOOC] Drake Salvador: brb gonna' feed the dogs
[20:44:46]	Sgt. Salvador (STEAM_0:0:27835911) has disconnected.
[20:44:55]	[LOOC] Chloe Cullen: dude turned and died
[20:44:59]	[LOOC] Andrew 'Razor' Gonzalez: Yep
[20:51:28]	[LOOC] Andrew 'Razor' Gonzalez: brb one moment let me grab a drink
[20:55:04]	[LOOC] Andrew 'Razor' Gonzalez: Back
[20:55:34]	[LOOC] Andrew 'Razor' Gonzalez: sometimes*
[20:56:56]	Sgt. Salvador has connected.
[20:58:39]	Sgt. Salvador loaded the character 'Drake Salvador'
[20:58:45]	[LOOC] Drake Salvador: /me poof
[20:58:52]	[LOOC] Drake Salvador: me knees
[20:59:05]	[ME] Andrew 'Razor' Gonzalez: sighs
[21:00:25]	[LOOC] Andrew 'Razor' Gonzalez: true story
[21:02:53]	[LOOC] Andrew 'Razor' Gonzalez: Also a true story on that first part
[21:03:12]	[LOOC] Chloe Cullen: I don't keep up with Catholicism 
[21:03:29]	[LOOC] Andrew 'Razor' Gonzalez: Well it's a story I know, it's not really news
[21:03:55]	[LOOC] Chloe Cullen: Not very relevant to me, unfortunately, since I ain't religious.
[21:04:01]	[LOOC] Chloe Cullen: is neat tthough
[21:04:48]	[LOOC] Andrew 'Razor' Gonzalez: Had a transgender person come to the church all beaten up and she's a devout follower now
[21:05:23]	[LOOC] Chloe Cullen: That's good. I'm glad she could find comfort.
[21:05:48]	[LOOC] Andrew 'Razor' Gonzalez: Yea, she spent a lot of money on surgery though but then again it's Florida
[21:06:04]	[LOOC] Chloe Cullen: some of us need surgery.
[21:06:18]	[LOOC] Andrew 'Razor' Gonzalez: Yeah it's just REALLY expensive
[21:06:27]	[LOOC] Chloe Cullen: Not so much anymore thankfully.
[21:07:13]	[LOOC] Drake Salvador: not had* but I knew*
[21:07:22]	[LOOC] Andrew 'Razor' Gonzalez: 1940's*
[21:11:16]	[ME] Andrew 'Razor' Gonzalez: closes his book, standing up and taking off his glasses
[21:13:31]	[LOOC] Chloe Cullen: fuck I just messed up my fresh nail polish.
[21:13:43]	[LOOC] Drake Salvador: I bite my nails.
[21:14:44]	[ME] Andrew 'Razor' Gonzalez: puts on his suit and heads out, bible in hand
[21:14:47]	Andrew 'Razor' Gonzalez ran 'Equip' on item 'Cyclopic Citizen Suit' (#14171)
[21:15:22]	[OOC] Andrew 'Razor' Gonzalez: With that, I have to go eat the food on my plate as a requirement of being a human being
[21:15:33]	Death Razor (STEAM_0:1:66880501) has disconnected.
[21:16:12]	[ME] Drake Salvador: slowly turns back to the counter with a sigh, grabbing the absinthe bottle and finishing it off. "Religion is all people have left now. Families split up, killed, all that. They gave him an option that I think he should take but... he said he can't."
[21:16:17]	Drake Salvador ran 'Consume' on item 'UU Brand Absinthe' (#14323)
[21:16:17]	Drake Salvador has gained a 'Empty Glass Bottle' #14325.
[21:21:27]	FB|| light ROOM has connected.
[21:22:44]	FB|| light ROOM loaded the character 'Ethan King'
[21:22:46]	[OOC] Ethan King: Bitch
[21:22:46]	Ethan King entered observer.
[21:22:50]	[OOC] Drake Salvador: Biiiiiitch
[21:23:04]	[OOC] Ethan King: Whats up?
[21:23:12]	Ethan King ran 'Equip' on item 'MP7' (#10532)
[21:23:23]	FB|| light ROOM loaded the character 'CCA.C08-QrM.98240'
[21:23:24]	CCA.C08-QrM.98240 entered observer.
[21:23:24]	[OOC] Drake Salvador: Just waiting for more people to get on. Doubtful but we'll see.
[21:23:29]	[OOC] CCA.C08-QrM.98240: Truly
[21:23:34]	[LOOC] Chloe Cullen: nice look
[21:23:39]	[LOOC] Chloe Cullen: fuck
[21:23:45]	[OOC] Chloe Cullen: nice look, QrM
[21:23:55]	[OOC] Chloe Cullen: havent seen that skin before
[21:24:10]	[OOC] CCA.C08-QrM.98240: Truly, QrM is my favorite role and has my favorite uniform.
[21:24:30]	[OOC] Chloe Cullen: come get a drink
[21:24:43]	[OOC] CCA.C08-QrM.98240: Sadly I can't do that.
[21:24:50]	[OOC] Chloe Cullen: Come. Get. A. Drink.
[21:25:00]	[OOC] CCA.C08-QrM.98240: I must humbly say "fuck off"
[21:25:13]	[OOC] Chloe Cullen: there's coffee
[21:25:17]	Drake Salvador ran 'Consume' on item 'UU Brand Coffee' (#14324)
[21:28:22]	[ME] Drake Salvador: taps the medal on his chest a few times. "That's what I got this for. Apparently some rebels came in and intercepted a synth that was carrying City Eight's dispatch and transporting it for repair."
[21:35:52]	Sgt. Salvador (STEAM_0:0:27835911) has disconnected.
[21:37:38]	[OOC] Chloe Cullen: yo cmere I wanna see your uniform
[21:37:41]	Chloe Cullen ran 'Equip' on item 'Green Citizen Suit' (#13042)
[21:37:46]	[OOC] CCA.C08-QrM.98240: Fine
[21:37:48]	CCA.C08-QrM.98240 exited observer at their location.
[21:37:53]	[LOOC] CCA.C08-QrM.98240: bitch cock
[21:37:57]	[LOOC] Chloe Cullen: yo that is lit
[21:38:01]	[LOOC] CCA.C08-QrM.98240: Truly
[21:38:06]	[LOOC] Chloe Cullen: what's your designation evne mean though
[21:38:16]	[LOOC] CCA.C08-QrM.98240: QuarterMaster.
[21:38:23]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:38:24]	[LOOC] Chloe Cullen: Oh you give gunnies
[21:38:29]	[LOOC] CCA.C08-QrM.98240: And other shit
[21:38:37]	[LOOC] CCA.C08-QrM.98240: Pretty much everything you see on CCA I give
[21:38:52]	[LOOC] Chloe Cullen: can I have a pulse rifle?
[21:38:55]	[LOOC] CCA.C08-QrM.98240: Also considering i'm the only QrM that is active that really rides that home.
[21:38:58]	[LOOC] CCA.C08-QrM.98240: No
[21:39:02]	[LOOC] CCA.C08-QrM.98240: You can have a HMG
[21:39:07]	[LOOC] Chloe Cullen: alright i'll take i
[21:39:09]	Chloe Cullen ran 'drop' on item 'Empty Glass Bottle' (#14322)
[21:39:09]	Chloe Cullen has lost a 'Empty Glass Bottle' #14322.
[21:39:14]	Chloe Cullen ran 'take' on item 'Empty Glass Bottle' (#14322)
[21:39:14]	Chloe Cullen has gained a 'Empty Glass Bottle' #14322.
[21:39:19]	[LOOC] Chloe Cullen: that wasnt mean tto happen
[21:39:23]	[LOOC] CCA.C08-QrM.98240: Lmao
[21:39:23]	Chloe Cullen ran 'Equip' on item 'Empty Glass Bottle' (#14322)
[21:39:34]	[LOOC] Chloe Cullen: fuck that sign
[21:39:38]	[LOOC] CCA.C08-QrM.98240: Yes, destroy public property.
[21:39:43]	[LOOC] CCA.C08-QrM.98240: You must do it my son.
[21:39:55]	[LOOC] Chloe Cullen: you're public property
[21:39:58]	[LOOC] CCA.C08-QrM.98240: Fuck
[21:40:00]	CCA.C08-QrM.98240 entered observer.
[21:40:03]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:06]	CCA.C08-QrM.98240 entered observer.
[21:40:12]	[LOOC] CCA.C08-QrM.98240: Ghost
[21:40:14]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:14]	CCA.C08-QrM.98240 entered observer.
[21:40:15]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:15]	CCA.C08-QrM.98240 entered observer.
[21:40:15]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:15]	CCA.C08-QrM.98240 entered observer.
[21:40:15]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:16]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:16]	CCA.C08-QrM.98240 entered observer.
[21:40:16]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:16]	CCA.C08-QrM.98240 entered observer.
[21:40:16]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:16]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:16]	CCA.C08-QrM.98240 entered observer.
[21:40:17]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:17]	CCA.C08-QrM.98240 entered observer.
[21:40:17]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:17]	CCA.C08-QrM.98240 entered observer.
[21:40:17]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:17]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:17]	CCA.C08-QrM.98240 entered observer.
[21:40:18]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:18]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:18]	CCA.C08-QrM.98240 entered observer.
[21:40:18]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:18]	CCA.C08-QrM.98240 entered observer.
[21:40:18]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:18]	CCA.C08-QrM.98240 entered observer.
[21:40:19]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:19]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:19]	CCA.C08-QrM.98240 entered observer.
[21:40:19]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:19]	CCA.C08-QrM.98240 entered observer.
[21:40:19]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:19]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:19]	CCA.C08-QrM.98240 entered observer.
[21:40:20]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:20]	CCA.C08-QrM.98240 entered observer.
[21:40:20]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:20]	CCA.C08-QrM.98240 entered observer.
[21:40:21]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:21]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:21]	CCA.C08-QrM.98240 entered observer.
[21:40:22]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:22]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:22]	CCA.C08-QrM.98240 entered observer.
[21:40:22]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:22]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:23]	CCA.C08-QrM.98240 entered observer.
[21:40:23]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:23]	CCA.C08-QrM.98240 entered observer.
[21:40:23]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:23]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:23]	CCA.C08-QrM.98240 entered observer.
[21:40:23]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:24]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:24]	CCA.C08-QrM.98240 entered observer.
[21:40:24]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:24]	CCA.C08-QrM.98240 entered observer.
[21:40:24]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:24]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:24]	CCA.C08-QrM.98240 entered observer.
[21:40:25]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:25]	CCA.C08-QrM.98240 entered observer.
[21:40:25]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:25]	CCA.C08-QrM.98240 entered observer.
[21:40:25]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:25]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:25]	CCA.C08-QrM.98240 entered observer.
[21:40:26]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:26]	CCA.C08-QrM.98240 entered observer.
[21:40:26]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:26]	CCA.C08-QrM.98240 entered observer.
[21:40:26]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:26]	CCA.C08-QrM.98240 has taken 7 damage from Chloe Cullen.
[21:40:26]	CCA.C08-QrM.98240 entered observer.
[21:40:27]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:27]	CCA.C08-QrM.98240 entered observer.
[21:40:27]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:27]	CCA.C08-QrM.98240 entered observer.
[21:40:27]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:28]	CCA.C08-QrM.98240 entered observer.
[21:40:33]	[LOOC] CCA.C08-QrM.98240: Lmao
[21:40:35]	CCA.C08-QrM.98240 ran 'Equip' on item 'USP Match' (#10354)
[21:40:43]	CCA.C08-QrM.98240 exited observer at their location.
[21:40:48]	Chloe Cullen opened the 'Trash Bin' #1540 container.
[21:40:50]	Chloe Cullen closed the 'Trash Bin' #1540 container.
[21:40:56]	[LOOC] Chloe Cullen: sup
[21:41:07]	[LOOC] Chloe Cullen: nice
[21:41:09]	CCA.C08-QrM.98240 entered observer.
[21:41:09]	CCA.C08-QrM.98240 exited observer at their location.
[21:41:23]	[LOOC] Chloe Cullen: yeah but I have a glass shiv
[21:41:32]	[LOOC] CCA.C08-QrM.98240: Truly the ultimate weapon
[21:42:19]	CCA.C08-QrM.98240 entered observer.
[21:43:23]	CCA.C08-QrM.98240 has gained 10 tokens.
[21:43:25]	[OOC] CCA.C08-QrM.98240: It would appear nobody will be getting on for now.
[21:43:35]	[OOC] Chloe Cullen: cum
[21:43:36]	[OOC] CCA.C08-QrM.98240: Depremsion
[21:44:08]	[OOC] CCA.C08-QrM.98240: Cum, Cum, Cum, Cum, Cum, Cum, Cum, Cum, Cum, Cum
[21:44:20]	[OOC] Chloe Cullen: ima head off
[21:44:24]	[OOC] Chloe Cullen: seeya bitch
[21:44:32]	Chloe Cullen has taken 250 damage from trigger_hurt.
[21:44:32]	trigger_hurt has killed Chloe Cullen.
[21:44:35]	Chloe Cullen has taken 250 damage from trigger_hurt.
[21:44:35]	trigger_hurt has killed Chloe Cullen.
[21:44:37]	Chloe Cullen has taken 250 damage from trigger_hurt.
[21:44:37]	trigger_hurt has killed Chloe Cullen.
[21:44:39]	Chloe Cullen has taken 250 damage from trigger_hurt.
[21:44:39]	trigger_hurt has killed Chloe Cullen.
[21:44:40]	Chloe Cullen has taken 250 damage from trigger_hurt.
[21:44:40]	trigger_hurt has killed Chloe Cullen.
[21:44:44]	Chloe Cullen has taken 250 damage from trigger_hurt.
[21:44:44]	trigger_hurt has killed Chloe Cullen.
[21:44:49]	Chloe Cullen ran 'take' on item 'Suitcase' (#14222)
[21:44:52]	Chloe Cullen ran 'take' on item 'Suitcase' (#14222)
[21:44:53]	Chloe Cullen ran 'take' on item 'Suitcase' (#14222)
[21:44:58]	Chloe Cullen has taken 250 damage from trigger_hurt.
[21:44:58]	trigger_hurt has killed Chloe Cullen.
[21:45:02]	Chloe Cullen has taken 250 damage from trigger_hurt.
[21:45:02]	trigger_hurt has killed Chloe Cullen.
[21:45:07]	[OOC] CCA.C08-QrM.98240: Aighht
[21:45:09]	LynxQueen (STEAM_0:1:70540942) has disconnected.
[21:45:13]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
