[05:57:53]	MegamanNick has connected.
[12:18:39]	CCA.C17-JUDGE.OfC.91412 ran 'drop' on item 'Citizen ID' (#35453)
[12:18:39]	CCA.C17-JUDGE.OfC.91412 has lost a 'Citizen ID' #35453.
[12:18:42]	Theban 'Simmons' Revolt ran 'take' on item 'Citizen ID' (#35453)
[12:18:42]	Theban 'Simmons' Revolt has gained a 'Citizen ID' #35453.
[12:18:50]	[OOC] Douglas Hudson: Woo thankie
[12:19:04]	CCA.C17-JUDGE.OfC.91412 has gained 10 tokens.
[12:19:17]	Douglas Hudson ran 'take' on item 'UU Lager' (#33165)
[12:19:17]	Douglas Hudson has gained a 'UU Lager' #33165.
[12:19:22]	FB|| light ROOM loaded the character 'CCA.C17-QrM.98240'
[12:19:28]	Douglas Hudson ran 'drop' on item 'UU Lager' (#33165)
[12:19:28]	Douglas Hudson has lost a 'UU Lager' #33165.
[12:19:31]	Mr. Chief loaded the character 'CAC.C17-BIOTIC.45914'
[12:19:35]	[OOC] Douglas Hudson: Ah yes the script error bottle
[12:19:47]	[OOC] CCA.C17-QrM.98240: Script error bottle, more like fuck off.
[12:19:55]	[OOC] Douglas Hudson: Agreed
[12:20:06]	[OOC] CCA.C17-QrM.98240: OOC hours by the way, do whatever you want that doesn't fuck the server.
[12:20:14]	[OOC] Douglas Hudson: Figured
[12:20:50]	[OOC] Douglas Hudson: Wait so are stoves an actual thing? I wanna see If I can cook some craby bois 
[12:21:03]	[OOC] CCA.C17-QrM.98240: You should be able to, but you need to carve the headcrabs before hand.
[12:21:21]	[OOC] Douglas Hudson: Ye ye I have
[12:21:53]	[OOC] Douglas Hudson: Although I think you'd need to have the stove entity, rather then the prop hold up
[12:22:16]	Douglas Hudson has taken 1 damage from CCA.C17-QrM.98240.
[12:22:26]	CAC.C17-BIOTIC.45914 ran 'Equip' on item 'Rock' (#31261)
[12:22:30]	Douglas Hudson ran 'drop' on item 'Raw Headcrab Meat' (#35401)
[12:22:30]	Douglas Hudson has lost a 'Raw Headcrab Meat' #35401.
[12:22:35]	Douglas Hudson ran 'take' on item 'Raw Headcrab Meat' (#35401)
[12:22:35]	Douglas Hudson has gained a 'Raw Headcrab Meat' #35401.
[12:22:39]	[OOC] Douglas Hudson: Hmmm... yeah
[12:23:03]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:03]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:03]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:03]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:03]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:04]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:04]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:04]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:04]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:04]	CAC.C17-BIOTIC.45914 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:04]	CCA.C17-QrM.98240 has killed CAC.C17-BIOTIC.45914 with weapon_ar2.
[12:23:12]	Douglas Hudson has taken 450 damage from CCA.C17-QrM.98240.
[12:23:12]	CCA.C17-QrM.98240 has killed Douglas Hudson with weapon_357.
[12:23:16]	[OOC] CCA.C17-QrM.98240: bonk
[12:23:18]	Mr. Chief loaded the character 'CCA.C17-JUDGE.OfC.91412'
[12:23:20]	[OOC] Douglas Hudson: :c
[12:23:36]	CCA.C17-QrM.98240 has taken 75 damage from CCA.C17-JUDGE.OfC.91412.
[12:23:40]	CCA.C17-QrM.98240 has taken 75 damage from CCA.C17-JUDGE.OfC.91412.
[12:23:42]	CCA.C17-JUDGE.OfC.91412 has taken 11 damage from CCA.C17-QrM.98240.
[12:23:47]	CCA.C17-JUDGE.OfC.91412 has taken 75 damage from CCA.C17-QrM.98240.
[12:23:56]	CCA.C17-QrM.98240 has taken 75 damage from CCA.C17-JUDGE.OfC.91412.
[12:23:56]	CCA.C17-JUDGE.OfC.91412 has killed CCA.C17-QrM.98240 with weapon_357.
[12:24:02]	CCA.C17-QrM.98240 used the 'Armory' vendor.
[12:24:05]	Mr. Chief loaded the character 'CAC.C17-BIOTIC.45914'
[12:24:12]	CCA.C17-QrM.98240 ran 'Equip' on item 'Pulse-Rifle' (#33905)
[12:24:13]	CCA.C17-QrM.98240 ran 'Equip' on item '357' (#33906)
[12:24:15]	CCA.C17-QrM.98240 ran 'use' on item 'Pulse Ammunition' (#35346)
[12:24:16]	CCA.C17-QrM.98240 ran 'use' on item 'Pulse Ammunition' (#35347)
[12:24:17]	CCA.C17-QrM.98240 ran 'use' on item 'Pulse Ammunition' (#35348)
[12:24:17]	CCA.C17-QrM.98240 ran 'use' on item 'Pulse Ammunition' (#35349)
[12:24:18]	CCA.C17-QrM.98240 used the 'Armory' vendor.
[12:24:18]	Douglas Hudson ran 'Equip' on item 'Pan' (#33928)
[12:24:22]	CCA.C17-QrM.98240 has gained 10 tokens.
[12:24:23]	CAC.C17-BIOTIC.45914 has taken 5 damage from prop_physics.
[12:24:24]	Douglas Hudson ran 'EquipUn' on item 'Pan' (#33928)
[12:24:24]	CCA.C17-QrM.98240 ran 'drop' on item 'Pulse-Rifle' (#33905)
[12:24:24]	CCA.C17-QrM.98240 has lost a 'Pulse-Rifle' #33905.
[12:24:25]	CCA.C17-QrM.98240 ran 'drop' on item 'KIBA Arms Ammocase' (#35328)
[12:24:25]	CCA.C17-QrM.98240 has lost a 'KIBA Arms Ammocase' #35328.
[12:24:25]	CCA.C17-QrM.98240 has lost a 'Grenade' #35330.
[12:24:25]	CCA.C17-QrM.98240 has lost a 'Zip Tie' #35337.
[12:24:25]	CCA.C17-QrM.98240 has lost a 'Zip Tie' #35335.
[12:24:25]	CCA.C17-QrM.98240 has lost a 'Combat Knife' #35334.
[12:24:25]	CCA.C17-QrM.98240 has lost a 'Combat Knife' #35332.
[12:24:25]	CCA.C17-QrM.98240 has lost a 'Grenade' #35329.
[12:24:25]	CCA.C17-QrM.98240 has lost a 'Combat Knife' #35333.
[12:24:25]	CCA.C17-QrM.98240 has lost a 'Zip Tie' #35336.
[12:24:26]	CCA.C17-QrM.98240 used the 'Armory' vendor.
[12:24:28]	Douglas Hudson ran 'Equip' on item 'Rock' (#31263)
[12:24:29]	CCA.C17-QrM.98240 has gained 0 tokens.
[12:24:33]	CCA.C17-QrM.98240 opened the '' #2483 container.
[12:24:33]	CCA.C17-QrM.98240 closed the '' #2483 container.
[12:24:45]	CCA.C17-QrM.98240 ran 'take' on item 'Pulse-Rifle' (#33905)
[12:24:45]	CCA.C17-QrM.98240 has gained a 'Pulse-Rifle' #33905.
[12:24:46]	CCA.C17-QrM.98240 ran 'take' on item 'KIBA Arms Ammocase' (#35328)
[12:24:46]	CCA.C17-QrM.98240 has gained a 'KIBA Arms Ammocase' #35328.
[12:24:46]	CCA.C17-QrM.98240 has gained a 'Grenade' #35330.
[12:24:46]	CCA.C17-QrM.98240 has gained a 'Zip Tie' #35337.
[12:24:46]	CCA.C17-QrM.98240 has gained a 'Zip Tie' #35335.
[12:24:46]	CCA.C17-QrM.98240 has gained a 'Combat Knife' #35334.
[12:24:46]	CCA.C17-QrM.98240 has gained a 'Combat Knife' #35332.
[12:24:46]	CCA.C17-QrM.98240 has gained a 'Grenade' #35329.
[12:24:46]	CCA.C17-QrM.98240 has gained a 'Combat Knife' #35333.
[12:24:46]	CCA.C17-QrM.98240 has gained a 'Zip Tie' #35336.
[12:24:59]	Douglas Hudson ran 'EquipUn' on item 'Rock' (#31263)
[12:25:09]	FB|| light ROOM loaded the character 'OTA.C17-ECHO.OWC.25097'
[12:25:26]	[OOC] Douglas Hudson: reee door is locked
[12:25:30]	[OOC] OTA.C17-ECHO.OWC.25097: WHY
[12:25:53]	Douglas Hudson has taken 44 damage from OTA.C17-ECHO.OWC.25097.
[12:26:07]	Douglas Hudson has taken 1 damage from OTA.C17-ECHO.OWC.25097.
[12:26:07]	Douglas Hudson has taken 1 damage from OTA.C17-ECHO.OWC.25097.
[12:26:41]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:41]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:41]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:41]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:41]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:41]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	CAC.C17-BIOTIC.45914 has taken 8 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	CAC.C17-BIOTIC.45914 has taken 7 damage from OTA.C17-ECHO.OWC.25097.
[12:26:42]	OTA.C17-ECHO.OWC.25097 has killed CAC.C17-BIOTIC.45914 with tfa_psmg.
[12:27:00]	Mr. Chief loaded the character 'CCA.C17-JUDGE.OfC.91412'
[12:27:03]	FB|| light ROOM loaded the character 'Theban 'Simmons' Revolt'
[12:27:13]	Theban 'Simmons' Revolt has taken 60 damage from CCA.C17-JUDGE.OfC.91412.
[12:27:53]	Douglas Hudson used command '/CharFallOver 1'.
[12:27:57]	Mr. Chief loaded the character 'CAC.C17-BIOTIC.45914'
[12:28:08]	[OOC] Douglas Hudson: UHhh UHHHHH
[12:28:09]	CAC.C17-BIOTIC.45914 has taken 5 damage from prop_physics.
[12:28:11]	[OOC] Theban 'Simmons' Revolt: UHHHHH
[12:28:17]	[OOC] Douglas Hudson: I'm in the ground now
[12:28:24]	[OOC] Theban 'Simmons' Revolt: Nice
[12:28:30]	Douglas Hudson used command '/CharFallOver 1'.
[12:29:00]	CAC.C17-BIOTIC.45914 has taken 5 damage from terminal_side_props.
[12:29:04]	Douglas Hudson used command '/CharFallOver 1'.
[12:30:46]	Theban 'Simmons' Revolt has taken 7 damage from CAC.C17-BIOTIC.45914.
[12:30:57]	Douglas Hudson ran 'Equip' on item 'Pan' (#33928)
[12:31:48]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:31:48]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:31:48]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:32:18]	Theban 'Simmons' Revolt has taken 7 damage from CAC.C17-BIOTIC.45914.
[12:32:19]	Douglas Hudson ran 'take' on item 'Pliers' (#35455)
[12:32:19]	Douglas Hudson has gained a 'Pliers' #35455.
[12:32:33]	[OOC] Theban 'Simmons' Revolt: Be back later.
[12:32:35]	[OOC] Theban 'Simmons' Revolt: Sorry
[12:32:37]	FB|| light ROOM (STEAM_0:1:17219621) has disconnected.
[12:32:49]	Douglas Hudson ran 'EquipUn' on item 'Pan' (#33928)
[12:33:53]	Douglas Hudson ran 'drop' on item 'Notepad' (#35452)
[12:33:53]	Douglas Hudson has lost a 'Notepad' #35452.
[12:34:00]	Douglas Hudson ran 'Equip' on item 'Pan' (#33928)
[12:34:12]	Douglas Hudson has taken 5 damage from npc_headcrab.
[12:34:37]	Douglas Hudson has gained a 'Raw Headcrab Meat' #35456.
[12:35:11]	Douglas Hudson has taken 10 damage from npc_zombie.
[12:35:20]	Douglas Hudson ran 'take' on item 'Pack of Nails' (#35457)
[12:35:20]	Douglas Hudson has gained a 'Pack of Nails' #35457.
[12:35:47]	Douglas Hudson has gained a 'Raw Headcrab Meat' #35458.
[12:35:55]	Douglas Hudson has taken 5 damage from npc_headcrab_fast.
[12:36:14]	Douglas Hudson has gained a 'Raw Fast Headcrab Meat' #35459.
[12:36:46]	Douglas Hudson has taken 10 damage from npc_zombie_torso.
[12:36:48]	Douglas Hudson has taken 10 damage from npc_zombie_torso.
[12:36:49]	Douglas Hudson has taken 10 damage from npc_zombie_torso.
[12:36:49]	npc_zombie_torso has killed Douglas Hudson.
[12:37:18]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[12:40:27]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:27]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:30]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:30]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:31]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:31]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:33]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:37]	Douglas Hudson has gained 20 tokens.
[12:40:47]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:47]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:49]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:50]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:50]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:50]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:40:51]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:41:51]	Douglas Hudson has taken 10 damage from npc_zombie.
[12:42:02]	Douglas Hudson ran 'take' on item 'Cloth Scrap' (#35460)
[12:42:02]	Douglas Hudson has gained a 'Cloth Scrap' #35460.
[12:42:08]	Douglas Hudson has taken 5 damage from npc_headcrab.
[12:42:28]	Douglas Hudson ran 'take' on item 'A Bar of Soap' (#35461)
[12:42:28]	Douglas Hudson has gained a 'A Bar of Soap' #35461.
[12:42:37]	Douglas Hudson has gained a 'Raw Headcrab Meat' #35462.
[12:42:56]	Douglas Hudson ran 'drop' on item 'Chainlet' (#33858)
[12:42:56]	Douglas Hudson has lost a 'Chainlet' #33858.
[12:43:06]	Douglas Hudson ran 'drop' on item 'Cloth Scrap' (#35460)
[12:43:06]	Douglas Hudson has lost a 'Cloth Scrap' #35460.
[12:44:04]	Douglas Hudson has gained 5 tokens.
[12:45:28]	Douglas Hudson has taken 5 damage from npc_fastzombie.
[12:45:29]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:45:29]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:45:32]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:45:32]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:45:32]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:45:35]	Douglas Hudson has gained 20 tokens.
[12:45:58]	Douglas Hudson ran 'take' on item 'Scrap Metal' (#35463)
[12:45:58]	Douglas Hudson has gained a 'Scrap Metal' #35463.
[12:46:23]	Douglas Hudson has taken 5 damage from npc_fastzombie.
[12:46:38]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:46:38]	Douglas Hudson has taken 3 damage from npc_fastzombie.
[12:47:20]	Douglas Hudson ran 'take' on item 'Wrench' (#35464)
[12:47:20]	Douglas Hudson has gained a 'Wrench' #35464.
[12:47:24]	Douglas Hudson ran 'Equip' on item 'Wrench' (#35464)
[12:47:28]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[12:47:28]	Douglas Hudson ran 'Equip' on item 'Wrench' (#35464)
[12:48:21]	Douglas Hudson has taken 10 damage from npc_zombie_torso.
[12:48:23]	Douglas Hudson has taken 10 damage from npc_zombie_torso.
[12:48:23]	npc_zombie_torso has killed Douglas Hudson.
[12:49:57]	Douglas Hudson ran 'Equip' on item 'Wrench' (#35464)
[12:50:12]	Douglas Hudson ran 'drop' on item 'Blue Beanie' (#35314)
[12:50:12]	Douglas Hudson has lost a 'Blue Beanie' #35314.
[12:50:59]	Douglas Hudson has taken 10 damage from npc_zombie_torso.
[12:51:01]	Douglas Hudson has taken 10 damage from npc_zombie_torso.
[12:51:04]	Douglas Hudson has taken 10 damage from npc_zombie_torso.
[12:52:10]	Douglas Hudson ran 'take' on item 'Scrap Hammer' (#35387)
[12:52:16]	Douglas Hudson ran 'EquipUn' on item 'Wrench' (#35464)
[12:52:17]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[12:52:30]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[12:52:30]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[12:52:36]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[12:53:02]	Douglas Hudson ran 'Equip' on item 'Pan' (#33928)
[12:53:09]	Douglas Hudson ran 'EquipUn' on item 'Pan' (#33928)
[12:53:55]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[12:54:19]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[12:54:19]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[12:54:27]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[12:54:28]	Douglas Hudson ran 'Equip' on item 'Empty Glass Bottle' (#34012)
[12:54:33]	Douglas Hudson destroyed a 'Combine Air Tank' #34371.
[12:54:45]	Douglas Hudson ran 'take' on item 'Nylon Cord' (#35396)
[12:54:46]	Douglas Hudson ran 'take' on item 'Scrap Metal' (#35389)
[12:54:46]	Douglas Hudson has gained a 'Scrap Metal' #35389.
[12:54:50]	Douglas Hudson ran 'take' on item 'Wires' (#35393)
[12:54:50]	Douglas Hudson has gained a 'Wires' #35393.
[12:54:51]	Douglas Hudson ran 'take' on item 'Scrap Metal' (#33065)
[12:54:51]	Douglas Hudson has gained a 'Scrap Metal' #33065.
[12:54:54]	Douglas Hudson ran 'take' on item 'Spark Plug' (#35394)
[12:54:57]	Douglas Hudson ran 'drop' on item 'A Bar of Soap' (#35461)
[12:54:57]	Douglas Hudson has lost a 'A Bar of Soap' #35461.
[12:54:59]	Douglas Hudson ran 'take' on item 'Spark Plug' (#35394)
[12:54:59]	Douglas Hudson has gained a 'Spark Plug' #35394.
[12:55:55]	Douglas Hudson ran 'EquipUn' on item 'Empty Glass Bottle' (#34012)
[12:56:07]	Douglas Hudson ran 'drop' on item 'Raw Headcrab Meat' (#35458)
[12:56:07]	Douglas Hudson has lost a 'Raw Headcrab Meat' #35458.
[12:56:08]	Douglas Hudson ran 'drop' on item 'Raw Headcrab Meat' (#35462)
[12:56:08]	Douglas Hudson has lost a 'Raw Headcrab Meat' #35462.
[12:56:09]	Douglas Hudson ran 'drop' on item 'Raw Fast Headcrab Meat' (#35459)
[12:56:09]	Douglas Hudson has lost a 'Raw Fast Headcrab Meat' #35459.
[12:56:10]	Douglas Hudson ran 'drop' on item 'Raw Headcrab Meat' (#35456)
[12:56:10]	Douglas Hudson has lost a 'Raw Headcrab Meat' #35456.
[12:56:11]	Douglas Hudson ran 'drop' on item 'Raw Headcrab Meat' (#35401)
[12:56:11]	Douglas Hudson has lost a 'Raw Headcrab Meat' #35401.
