[15:09:21]	hnbug01 has connected.
[15:28:42]	[OOC] Erwin Ramstein: I got a Datachip, we're going after a synth place.
[15:28:57]	Erwin Ramstein ran 'drop' on item 'SPAS-12' (#12450)
[15:28:57]	Erwin Ramstein has lost a 'SPAS-12' #12450.
[15:28:59]	Erwin Ramstein ran 'drop' on item '12-Gauge Shells' (#12452)
[15:28:59]	Erwin Ramstein has lost a '12-Gauge Shells' #12452.
[15:29:02]	Gabriel Schechter ran 'take' on item '12-Gauge Shells' (#12452)
[15:29:02]	Gabriel Schechter has gained a '12-Gauge Shells' #12452.
[15:29:03]	Gabriel Schechter ran 'take' on item 'SPAS-12' (#12450)
[15:29:03]	Gabriel Schechter has gained a 'SPAS-12' #12450.
[15:29:06]	Odin loaded the character 'Uriel Akkad'
[15:29:15]	[OOC] 1LT Samuel Brody: and there is definitely not an inner conflict going on in the group
[15:29:22]	matt saton has connected.
[15:29:28]	Gabriel Schechter ran 'drop' on item 'SPAS-12' (#12450)
[15:29:28]	Gabriel Schechter has lost a 'SPAS-12' #12450.
[15:29:29]	[OOC] 1LT Samuel Brody: welcome back q
[15:29:29]	Gabriel Schechter ran 'drop' on item '12-Gauge Shells' (#12452)
[15:29:29]	Gabriel Schechter has lost a '12-Gauge Shells' #12452.
[15:29:40]	Gabriel Schechter ran 'take' on item '12-Gauge Shells' (#12452)
[15:29:40]	Gabriel Schechter has gained a '12-Gauge Shells' #12452.
[15:29:42]	Gabriel Schechter ran 'take' on item 'SPAS-12' (#12450)
[15:29:42]	Gabriel Schechter has gained a 'SPAS-12' #12450.
[15:30:03]	Ｓｏｌａｒ (STEAM_0:0:162289290) has disconnected.
[15:30:13]	Odin loaded the character 'Cameron Nixon'
[15:30:14]	matt saton loaded the character 'Victor'
[15:30:22]	[OOC] Victor: uh oh! it seems i have a tiny brain
[15:34:06]	Odin has connected.
[15:34:21]	matt saton has connected.
[15:34:28]	Michλel's World has connected.
[15:35:01]	matt saton loaded the character 'Victor'
[15:35:02]	Victor entered observer.
[15:35:07]	[OOC] Victor: it's ya boi
[15:35:10]	[OOC] Victor: bad event boi
[15:35:11]	Michλel's World loaded the character '1LT Samuel Brody'
[15:35:28]	[OOC] 1LT Samuel Brody: dafuq im in the ep 2 mines wat
[15:35:47]	[OOC] Victor: yes.
[15:35:55]	Odin loaded the character 'Cameron Nixon'
[15:37:11]	[OOC] Victor: what's up
[15:37:18]	1LT Samuel Brody has taken 138 damage from worldspawn.
[15:37:18]	worldspawn has killed 1LT Samuel Brody.
[15:37:19]	[OOC] Cameron Nixon: nm
[15:37:36]	[OOC] 1LT Samuel Brody: and now im in c17
[15:37:42]	[OOC] Victor: let me get a storyline going for brody here
[15:37:45]	[OOC] Victor: because conscript
[15:37:55]	[OOC] Victor: or you could get on your loyalist lady and we could continue her story
[15:38:04]	[OOC] Victor: since we've got two loyalists here
[15:38:05]	[OOC] Victor: up to you
[15:38:13]	[OOC] Cameron Nixon: Nixon ain't a loyalist lmao
[15:38:31]	[OOC] Victor: i meant your more loyal lady
[15:38:34]	[OOC] 1LT Samuel Brody: i require storyline now
[15:38:41]	[OOC] Cameron Nixon: I have 0 female characters.
[15:38:49]	[OOC] Victor: oh then i'm just an absolutely idiot
[15:38:52]	[OOC] 1LT Samuel Brody: *gun cocking* i am not asking
[15:38:53]	[OOC] Victor: alright
[15:39:01]	[OOC] Cameron Nixon: I have erwin but he aint here, not anymore 
[15:39:12]	Victor exited observer at their location.
[15:39:15]	Victor entered observer.
[15:39:16]	Victor exited observer at their location.
[15:39:19]	Victor entered observer.
[15:39:30]	[OOC] Victor: alright so
[15:39:32]	[OOC] Victor: explanation
[15:39:38]	[OOC] Victor: the xen infestation you were here for i believe
[15:39:43]	[OOC] Victor: the xenians were insane and it got problematic
[15:39:48]	[OOC] 1LT Samuel Brody: i was there for like, 10 seconds
[15:40:02]	[OOC] Victor: well xenians were crazy and it was out of control
[15:40:07]	[OOC] Victor: so city 8 was evacuated really quickly
[15:40:17]	[OOC] Victor: we were diverting to other cities, all the citizens and cops and all that
[15:40:23]	[OOC] Victor: wait no you're a conscript you wouldn't be here
[15:40:34]	[OOC] Victor: whatever i'll just continue and give you an IV of copium
[15:40:52]	[OOC] Victor: so the train got derailed
[15:40:54]	[OOC] 1LT Samuel Brody: dafuq is copium
[15:40:59]	[OOC] Victor: you know coping?
[15:41:02]	[OOC] Victor: it's a goof for that
[15:41:05]	[OOC] 1LT Samuel Brody: o
[15:41:06]	[OOC] Victor: anyhoodie and the blowfish
[15:41:41]	Victor exited observer at their location.
[15:41:41]	Victor entered observer.
[15:41:42]	Victor exited observer at their location.
[15:41:42]	Victor entered observer.
[15:41:42]	1LT Samuel Brody has taken 27 damage from worldspawn.
[15:41:42]	Victor exited observer at their location.
[15:42:07]	[OOC] Victor: so the train got derailed, we found out it was because of a group of CCA rogues who are out in the wasteland looking for their plot device location
[15:42:16]	1LT Samuel Brody has taken 27 damage from worldspawn.
[15:42:56]	[OOC] Victor: this plot device locaiton is a synth factory they're looking for
[15:43:08]	Cameron Nixon destroyed a 'Pan' #12426.
[15:44:19]	[OOC] Victor: sorry downstais with people
[15:44:23]	[OOC] Victor: trying to focus
[15:45:02]	[OOC] Victor: they went around with these other non-loyalists to find this combine datachip on a group of old soldiers that came through and never left
[15:45:12]	[OOC] Victor: found it, and then everyone got tired and went to bed
[15:45:20]	[OOC] Victor: conscripts and OTA stayed in the city though because that's their job
[15:45:25]	[OOC] Cameron Nixon: and then a tech fixed my pulse smg 
[15:45:46]	[OOC] Victor: Victor said he would look into it
[15:46:01]	[OOC] Victor: and then victor left and the event ended
[15:46:13]	[OOC] Victor: so michael you're either gonna have to hop on a loyalist and be the antagonist to the non-loyalists
[15:46:36]	[OOC] 1LT Samuel Brody: i guess we could say that i was tasked with making sure that the civvies behaved and didnt kill any CP's?
[15:46:43]	[OOC] Victor: or your could make a non-loyalists
[15:46:46]	[OOC] Victor: nope, you're in the city guy
[15:46:53]	[OOC] 1LT Samuel Brody: cringe
[15:47:08]	Michλel's World loaded the character 'John Smith'
[15:47:22]	[OOC] John Smith: also John isnt a loyalist
[15:47:34]	[OOC] Victor: alright we'll bring you into our plotline
[15:47:45]	[OOC] Victor: do you have your bug victor?
[15:47:49]	[OOC] Cameron Nixon: yup
[15:47:52]	[OOC] Victor: epic
[15:48:14]	Victor entered observer.
[15:48:17]	[OOC] John Smith: so uh, can i get a tp to the boys
[15:48:23]	Victor exited observer at their location.
[15:48:25]	[OOC] Victor: no
[15:48:25]	Victor entered observer.
[15:48:31]	Victor exited observer at their location.
[15:48:32]	Victor entered observer.
[15:48:34]	Victor exited observer at their location.
[15:49:04]	[OOC] John Smith: i may need some more filters here soon because i have like, 15 minutes on my current filter
[15:49:13]	John Smith has gained a 'OTA Filter' #12490.
[15:49:13]	Victor used command '/CharGiveItem john OTA Filter'.
[15:49:14]	[OOC] Victor: inv
[15:49:33]	[OOC] John Smith: thanks
[15:53:11]	[LOOC] Victor: factory?*
[15:54:54]	Victor entered observer.
[15:55:09]	[ME] Cameron Nixon: *observes the Radio Set*
[15:55:39]	John Smith used command '/CharDesc'.
[15:55:47]	[OOC] Victor: plugging my laptop in
[15:56:11]	John Smith used command '/CharDesc 6'1" | Deep voice | Austrailian accent | Your average civvie'.
[15:56:29]	[OOC] Victor: trying to find a port, agh
[15:58:37]	Victor has spawned a 'Entity [247][gmod_sent_vehicle_fphysics_base]'.
[15:58:44]	Victor has spawned a 'Entity [247][gmod_sent_vehicle_fphysics_base]'.
[15:58:45]	Victor exited observer at their location.
[15:59:15]	Victor used command '/Event You hear a horn beeping outside.'.
[15:59:54]	[OOC] John Smith: yes im in the middle fuck you
[15:59:57]	[Y] Victor: Everyone in?
[16:00:35]	[ME] John Smith: would move to the back.
[16:04:14]	matt saton has connected.
[16:04:23]	Odin has connected.
[16:04:26]	Michλel's World has connected.
[16:04:40]	matt saton loaded the character 'Victor'
[16:04:41]	Victor entered observer.
[16:04:48]	Michλel's World loaded the character 'John Smith'
[16:04:49]	Victor exited observer at their location.
[16:04:53]	Victor used command '/SpawnAdd citizen'.
[16:04:54]	Victor used command '/SpawnAdd citizen'.
[16:04:54]	Victor used command '/SpawnAdd citizen'.
[16:04:55]	Victor used command '/SpawnAdd citizen'.
[16:04:55]	Victor entered observer.
[16:05:01]	[OOC] John Smith: tp to the boys?
[16:05:10]	Victor exited observer at their location.
[16:05:16]	Victor entered observer.
[16:05:33]	Odin loaded the character 'Cameron Nixon'
[16:05:38]	Victor exited observer at their location.
[16:05:50]	Victor entered observer.
[16:06:14]	Victor exited observer at their location.
[16:06:54]	Victor has spawned 'models/hla_combine_props/combine_console_main_1.mdl'.
[16:07:03]	Victor has spawned 'models/hla_combine_props/combine_monitor_small.mdl'.
[16:07:05]	Victor has spawned 'models/hla_combine_props/distillery_combine_console_1.mdl'.
[16:07:12]	Victor has spawned 'models/hla_combine_props/combine_ceiling_unit.mdl'.
[16:07:31]	Victor has spawned 'models/hla_combine_props/combine_ceiling_unit.mdl'.
[16:07:33]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:33]	Victor has spawned 'models/hla_combine_props/combine_ceiling_unit.mdl'.
[16:07:33]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:34]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:35]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:36]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:36]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:37]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:38]	Victor has spawned 'models/hla_combine_props/combine_ceiling_unit.mdl'.
[16:07:38]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:39]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:39]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:40]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:41]	John Smith ran 'equip' on item 'OTA Filter' (#12490)
[16:07:41]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:42]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:43]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:43]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:44]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:45]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:46]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:46]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:47]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:48]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:49]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:49]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:50]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:51]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:52]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:52]	[OOC] Victor: sorry, doing some last minute prep
[16:07:52]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:53]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:54]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:54]	[OOC] Victor: mkaing sure it's all good
[16:07:55]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:55]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:56]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:57]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:58]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:58]	Cameron Nixon has taken 1 damage from worldspawn.
[16:07:59]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:00]	[OOC] John Smith: the afk man is dying
[16:08:00]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:01]	Victor has spawned 'models/hla_combine_props/console_shell_normal.mdl'.
[16:08:01]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:01]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:02]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:03]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:04]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:04]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:05]	Cameron Nixon has taken 1 damage from worldspawn.
[16:08:05]	Cameron Nixon ran 'equip' on item 'Citizen Filter' (#12276)
[16:08:06]	Victor has spawned 'models/hla_combine_props/combine_generator_small.mdl'.
[16:08:08]	Victor has spawned 'models/hla_combine_props/combine_generator.mdl'.
[16:08:11]	Cameron Nixon ran 'ApplySelf' on item 'Bandage' (#12049)
[16:08:12]	Victor has spawned 'models/hla_combine_props/combine_ceiling_unit.mdl'.
[16:08:12]	Cameron Nixon ran 'ApplySelf' on item 'Bandage' (#12049)
[16:08:12]	Cameron Nixon ran 'ApplySelf' on item 'Bandage' (#12049)
[16:08:13]	Victor has spawned 'models/hla_combine_props/combine_breenconsole.mdl'.
[16:08:13]	Cameron Nixon ran 'ApplySelf' on item 'Bandage' (#12049)
[16:08:20]	[OOC] John Smith: why does have bottle
[16:08:25]	[OOC] Victor: wat
[16:08:41]	[OOC] John Smith: the no longer afk man has bottle
[16:08:41]	Victor has spawned 'models/hla_combine_props/combine_train_01a.mdl'.
[16:08:42]	Victor has spawned 'models/hla_combine_props/combine_wall_plate.mdl'.
[16:08:47]	Victor has spawned 'models/hla_combine_props/console_right_wing.mdl'.
[16:09:08]	Victor has spawned 'models/cmb-bio-computer/cmb-bio-computer.mdl'.
[16:09:10]	Victor has spawned 'models/cmb-bio-computer/cmb-bio-computer.mdl'.
[16:09:42]	Victor entered observer.
[16:09:44]	Victor exited observer at their location.
[16:09:44]	Victor entered observer.
[16:10:02]	Victor exited observer at their location.
[16:10:25]	[OOC] Cameron Nixon: I'm still blind.
[16:10:27]	Victor has spawned 'models/props_c17/hospital_surgerytable01.mdl'.
[16:10:41]	Victor has spawned 'models/vortigaunt_synth/vortigaunt_synth.mdl'.
[16:11:20]	Victor entered observer.
[16:11:27]	Victor has spawned 'models/synth/elite_brown.mdl'.
[16:11:44]	Victor exited observer at their location.
[16:11:52]	Victor has spawned 'models/props_combine/combine_interface001.mdl'.
[16:12:00]	Victor entered observer.
[16:12:06]	Victor exited observer at their location.
[16:12:13]	Victor entered observer.
[16:12:18]	Victor exited observer at their location.
[16:12:37]	[OOC] John Smith: thank you consul
[16:13:30]	[OOC] John Smith: wait if the consul is still technically in city 17 (because he's broadacasting c17 messages) wouldnt he be dead
[16:13:41]	[OOC] Victor: no, he was evacuated first thing
[16:13:57]	[OOC] John Smith: tehn why does he still say shit about c17?
[16:14:00]	Victor has spawned 'models/wscanner_single.mdl'.
[16:14:14]	[OOC] Victor: because i need to update the VC and i'm bad at my job
[16:14:21]	Victor has spawned 'models/orion_hl2_beta/wscanner_single.mdl'.
[16:14:33]	[OOC] John Smith: so am i
[16:14:50]	[OOC] John Smith: im shit at Voice Acting and managing my channel
[16:15:23]	Victor has spawned 'models/synth/elite_brown_rebel.mdl'.
[16:16:03]	Victor has spawned 'models/cmb-bio-computer/cmb-bio-computer.mdl'.
[16:16:04]	[OOC] John Smith: are you done with prep
[16:17:21]	Victor entered observer.
[16:17:25]	[OOC] Victor: alright, sorry, we should be set
[16:17:33]	Victor exited observer at their location.
[16:17:49]	Victor has spawned a 'Entity [255][gmod_sent_vehicle_fphysics_base]'.
[16:17:56]	[OOC] John Smith: we are still blind
[16:18:09]	[OOC] Victor: yes
[16:18:57]	[LOOC] Cameron Nixon: weapon_shockrifle
[16:19:52]	[IT] Victor: The computers seem fine.
[16:20:58]	[ME] Victor: fiddles around with the devices and tries to turn on the computers
[16:21:16]	[ME] Victor: presses a button, and turns on the machines.
[16:21:40]	[ME] Victor: slides the datachip into a reader card.
[16:21:50]	[LOOC] Victor: card reader
[16:21:53]	[LOOC] Victor: i'm having a fucking stroke
[16:21:57]	[LOOC] Victor: i apologize in advance for this event
[16:21:59]	[LOOC] Victor: we're on a cold streak
[16:22:02]	[LOOC] Victor: anywyas
[16:25:03]	Victor used command '/ToggleRaise'.
[16:25:23]	Victor used command '/ToggleRaise'.
[16:25:35]	[OOC] John Smith: bro imagine having a flashlight
[16:25:49]	John Smith has gained a 'Flashlight' #12490.
[16:25:49]	Victor used command '/CharGiveItem smith flashlight'.
[16:27:49]	Victor used command '/ToggleRaise'.
[16:30:15]	Victor used command '/ToggleRaise'.
[16:30:43]	[OOC] Victor: this building seems familiar, hmmm
[16:31:03]	Victor used command '/ToggleRaise'.
[16:31:05]	Victor used command '/ToggleRaise'.
[16:31:11]	Victor used command '/ToggleRaise'.
[16:31:14]	Victor used command '/ToggleRaise'.
[16:33:52]	Victor entered observer.
[16:34:19]	Victor has spawned 'models/cmb-bio-computer/cmb-bio-computer.mdl'.
[16:34:21]	Victor has spawned 'models/cmb-bio-computer/cmb-bio-computer.mdl'.
[16:34:38]	Victor exited observer at their location.
[16:36:12]	Victor used command '/ToggleRaise'.
[16:36:49]	Victor used command '/ToggleRaise'.
[16:37:45]	Victor used command '/ToggleRaise'.
[16:37:53]	Victor used command '/ToggleRaise'.
[16:38:04]	Victor used command '/ToggleRaise'.
[16:38:19]	Victor used command '/ToggleRaise'.
[16:38:25]	Victor used command '/ToggleRaise'.
[16:38:44]	[ME] Victor: tries to lift it up from the bottom with one hand.
[16:38:51]	[LOOC] Victor: Hmm.*
[16:39:32]	[ME] John Smith: would attempt to left the door with both hands, and would fail.
[16:40:42]	Victor used command '/ToggleRaise'.
[16:40:58]	[LOOC] Victor: see...*
[16:41:37]	[ME] Victor: would try to insert the datachip to the machine's slot.
[16:41:44]	[IT] Victor: A red light triple-flashes.
[16:43:12]	[LOOC] John Smith: anything*
[16:44:10]	[ME] Cameron Nixon: *He'd focus "Tazer" on the Door, sending 7 Large Plasmatic Orbs at the Door.*
[16:44:47]	[IT] Victor: The door doesn't quite seem to react, aside from the orbs making a little blue flash 
[16:45:13]	Victor used command '/ToggleRaise'.
[16:45:50]	Victor used command '/ToggleRaise'.
[16:47:42]	[Y] Cameron Nixon: Wait.
[16:47:52]	[OOC] John Smith: wait
[16:51:12]	[OOC] John Smith: brb gotta take a piss
[16:55:41]	[LOOC] Cameron Nixon: Rivets*
[16:56:38]	[IT] Victor: It does in fact have rivets, the faceplate is sealed on.
[16:57:33]	[ME] Cameron Nixon: *he'd move up to the Faceplate with an Industrial Pair of Pliers, removing the Popped Rivets from the Metal.*
[16:58:25]	[IT] Victor: You would fail, because rivets aren't removed with pliers.
[16:58:33]	[LOOC] Cameron Nixon: Yes, they are.
[16:58:43]	[LOOC] Cameron Nixon: I'm sorry but do you genuinely know, anything. About engineering.
[16:59:06]	[LOOC] Cameron Nixon: You could remove Rivets, with a burnt piece of plastic.
[16:59:24]	[LOOC] Cameron Nixon: You could remove rivets by banging the side out with a hammer, or wrench, or a blunt-ended tool.
[16:59:25]	[LOOC] Victor: rivet pliers aren't the same as regular pliers my guy
[16:59:54]	[LOOC] Cameron Nixon: What type of pliers these are, aren't stated. 
[16:59:59]	[OOC] John Smith: but did you see him say they could be banged out
[17:00:00]	[LOOC] Victor: not rivet pliers
[17:00:06]	[LOOC] Victor: based off of the model, they're flat pliers
[17:00:09]	[LOOC] Cameron Nixon: You cant say that after I've already RP'd it lmao
[17:00:19]	[LOOC] Victor: i'm not letting you RP it because they're not that type of pliers
[17:00:23]	[LOOC] Victor: look at the model in your inv
[17:00:26]	[LOOC] Victor: look up pictures of rivet pliers
[17:00:29]	[LOOC] Victor: they're different
[17:00:46]	[LOOC] Cameron Nixon: Are there any models of Rivet Pliers in your Server? :)
[17:00:56]	[OOC] John Smith: they can still be banged out with a blunt instrument dumbass
[17:01:15]	[OOC] Cameron Nixon: No one is calling any dumb also why are you using OOC lmao
[17:01:25]	[OOC] John Smith: because everyone is here
[17:01:32]	[OOC] John Smith: and im lazy
[17:01:36]	[OOC] Cameron Nixon: I mean fair but use LOOC it looks cooler
[17:01:48]	[OOC] John Smith: no
[17:01:54]	[OOC] Cameron Nixon: Well I tried
[17:02:03]	[LOOC] Victor: ther eare not, but  they're not stated to be rivet pliers guy
[17:02:14]	[LOOC] Cameron Nixon: It's also not stated to be Flat Pliers.
[17:02:16]	[OOC] John Smith: also sorry for calling you a dumbass q
[17:02:22]	[LOOC] Cameron Nixon: Your point?
[17:02:55]	[LOOC] Victor: on sec
[17:05:55]	[OOC] John Smith: q whats takin so long
[17:08:06]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:07]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:08]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:08]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:09]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:10]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:10]	Cameron Nixon ran 'drop' on item 'Citizen Filter' (#12272)
[17:08:10]	Cameron Nixon has lost a 'Citizen Filter' #12272.
[17:08:11]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:11]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:12]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:13]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:14]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:14]	Cameron Nixon has taken 1 damage from worldspawn.
[17:08:15]	Cameron Nixon ran 'equip' on item 'Citizen Filter' (#12273)
[17:08:20]	Cameron Nixon ran 'take' on item 'Citizen Filter' (#12272)
[17:08:20]	Cameron Nixon has gained a 'Citizen Filter' #12272.
[17:08:30]	Cameron Nixon ran 'ApplySelf' on item 'Bandage' (#12366)
[17:08:31]	Cameron Nixon ran 'ApplySelf' on item 'Bandage' (#12366)
[17:08:58]	[LOOC] Victor: sorry had to say goodbye
[17:09:05]	[LOOC] Cameron Nixon: All bueno
[17:09:08]	[LOOC] Victor: i'll be in my room and dedicated soon, give me as ec to get some qeso
[17:13:58]	[LOOC] Victor: sorry, got some queso
[17:17:37]	[ME] Victor: slings his rifle and tries to open the big, sliding door.
[17:18:44]	[Y] Cameron Nixon: Here.
[17:18:50]	[Y] Victor: Slovvly!
[17:19:00]	[Y] Victor: SLOVVLY, FUCK'S SAKE.
[17:19:56]	Liberty prime has connected.
[17:20:05]	[OOC] John Smith: welcome
[17:21:00]	Victor used command '/ToggleRaise'.
[17:21:08]	[LOOC] Victor: void the shot
[17:21:15]	Victor used command '/ToggleRaise'.
[17:21:28]	Victor used command '/ToggleRaise'.
[17:21:28]	Victor used command '/ToggleRaise'.
[17:21:58]	[ME] Victor: lowers his rifle.
[17:21:59]	Victor used command '/ToggleRaise'.
[17:22:13]	Liberty prime created the character 'Skott'
[17:22:13]	Skott has gained a 'Suitcase' #12491.
[17:22:13]	Skott has gained a 'Relocation Coupon' #12492.
[17:22:13]	Skott has gained a 'Green Citizen Suit' #12493.
[17:22:13]	Skott has gained a 'Citizen Filter' #12494.
[17:22:14]	Liberty prime loaded the character 'Skott'
[17:22:14]	Skott has taken 1 damage from worldspawn.
[17:22:14]	Skott has taken 1 damage from worldspawn.
[17:22:15]	Skott has taken 1 damage from worldspawn.
[17:22:16]	Skott has taken 1 damage from worldspawn.
[17:22:17]	Skott has taken 1 damage from worldspawn.
[17:22:17]	Skott has taken 1 damage from worldspawn.
[17:22:18]	Skott has taken 1 damage from worldspawn.
[17:22:19]	Skott has taken 1 damage from worldspawn.
[17:22:20]	Skott has taken 1 damage from worldspawn.
[17:22:20]	Skott has taken 1 damage from worldspawn.
[17:22:21]	Skott has taken 1 damage from worldspawn.
[17:22:22]	Skott has taken 1 damage from worldspawn.
[17:22:23]	[OOC] Skott: helo
[17:22:23]	Skott has taken 1 damage from worldspawn.
[17:22:23]	Skott has taken 1 damage from worldspawn.
[17:22:24]	Skott has taken 1 damage from worldspawn.
[17:22:25]	Skott has taken 1 damage from worldspawn.
[17:22:26]	Skott has taken 1 damage from worldspawn.
[17:22:26]	[OOC] Skott: helo
[17:22:26]	Skott has taken 1 damage from worldspawn.
[17:22:27]	Skott has taken 1 damage from worldspawn.
[17:22:28]	Skott has taken 1 damage from worldspawn.
[17:22:29]	Skott has taken 1 damage from worldspawn.
[17:22:29]	[OOC] Skott: help
[17:22:30]	Skott has taken 1 damage from worldspawn.
[17:22:30]	[OOC] Victor: Welcome!!!
[17:22:30]	Skott has taken 1 damage from worldspawn.
[17:22:31]	Skott has taken 1 damage from worldspawn.
[17:22:32]	Skott has taken 1 damage from worldspawn.
[17:22:33]	Skott has taken 1 damage from worldspawn.
[17:22:33]	[OOC] Skott: dying
[17:22:33]	Skott has taken 1 damage from worldspawn.
[17:22:34]	Skott has taken 1 damage from worldspawn.
[17:22:35]	Skott has taken 1 damage from worldspawn.
[17:22:35]	[OOC] Skott: HELP
[17:22:36]	Skott has taken 1 damage from worldspawn.
[17:22:36]	Skott has taken 1 damage from worldspawn.
[17:22:37]	Skott has taken 1 damage from worldspawn.
[17:22:38]	Skott has taken 1 damage from worldspawn.
[17:22:38]	[OOC] Skott: HELP ME
[17:22:38]	[OOC] Victor: oh, put on your suit and your filter, they're in your inv
[17:22:39]	Skott has taken 1 damage from worldspawn.
[17:22:39]	Skott has taken 1 damage from worldspawn.
