[03:18:23]	Bonkusgoosus has connected.
[13:44:50]	Jacob Desmone opened the 'Padlocked Locker' #2846 container.
[13:44:53]	Jacob Desmone closed the 'Padlocked Locker' #2846 container.
[13:45:02]	Jacob Desmone opened the 'Padlocked Locker' #2847 container.
[13:45:08]	Jacob Desmone closed the 'Padlocked Locker' #2847 container.
[13:46:19]	Jacob Desmone has gained a 'Broken Keyboard' #38455.
[13:46:26]	Jacob Desmone has gained a 'Graphics Card' #38456.
[13:46:31]	Jacob Desmone ran 'drop' on item 'Graphics Card' (#38456)
[13:46:31]	Jacob Desmone has lost a 'Graphics Card' #38456.
[13:46:33]	Jacob Desmone ran 'drop' on item 'Broken Keyboard' (#38455)
[13:46:33]	Jacob Desmone has lost a 'Broken Keyboard' #38455.
[13:46:36]	Jacob Desmone opened the 'Dumpster' #2736 container.
[13:46:38]	Jacob Desmone closed the 'Dumpster' #2736 container.
[13:46:53]	Jacob Desmone has taken 5 damage from npc_headcrab.
[13:47:17]	Jacob Desmone has taken 5 damage from npc_headcrab.
[13:47:25]	Jacob Desmone has gained a 'Pliers' #38457.
[13:47:29]	Jacob Desmone ran 'drop' on item 'Pliers' (#38457)
[13:47:29]	Jacob Desmone has lost a 'Pliers' #38457.
[13:47:31]	Jacob Desmone ran 'take' on item 'Empty Consulate Water Can' (#38418)
[13:47:31]	Jacob Desmone has gained a 'Empty Consulate Water Can' #38418.
[13:47:37]	Jacob Desmone has taken 5 damage from npc_headcrab.
[13:47:57]	Jacob Desmone has gained a 'Pliers' #38458.
[13:48:02]	Jacob Desmone ran 'drop' on item 'Pliers' (#38458)
[13:48:02]	Jacob Desmone has lost a 'Pliers' #38458.
[13:48:28]	Jacob Desmone has gained a 'Capacitors' #38459.
[13:48:37]	Jacob Desmone ran 'drop' on item 'Capacitors' (#38459)
[13:48:37]	Jacob Desmone has lost a 'Capacitors' #38459.
[13:48:47]	Richard Barley used command '/RollAttribute medical'.
[13:48:49]	Jacob Desmone has gained a 'Broken Computer Monitor' #38460.
[13:49:01]	Jacob Desmone has gained a 'Scrap Electronics' #38460.
[13:49:01]	Jacob Desmone has gained a 'Scrap Electronics' #38461.
[13:49:01]	Jacob Desmone has gained a 'Scrap Plastic' #38462.
[13:49:03]	Richard Barley used command '/RollAttribute medical'.
[13:49:05]	Jacob Desmone has gained a 'Refined Electronics' #38463.
[13:49:09]	Jacob Desmone ran 'drop' on item 'Refined Electronics' (#38463)
[13:49:09]	Jacob Desmone has lost a 'Refined Electronics' #38463.
[13:49:12]	Jacob Desmone ran 'drop' on item 'Scrap Plastic' (#38462)
[13:49:12]	Jacob Desmone has lost a 'Scrap Plastic' #38462.
[13:49:15]	Jacob Desmone has gained a 'Notepad' #38464.
[13:49:18]	Jacob Desmone ran 'Edit' on item 'Notepad' (#38464)
[13:49:19]	Richard Barley used command '/RollAttribute medical'.
[13:49:21]	Jacob Desmone ran 'drop' on item 'Notepad' (#38464)
[13:49:21]	Jacob Desmone has lost a 'Notepad' #38464.
[13:49:26]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#37041)
[13:49:26]	Jacob Desmone has gained a 'Scrap Metal' #37041.
[13:49:27]	Richard Barley used command '/RollAttribute medical'.
[13:49:36]	Jacob Desmone has gained a 'Locker Door' #38465.
[13:49:41]	[OOC] Richard Barley: how do you roll attribute. Tells me my attribute is invalid
[13:49:43]	Jacob Desmone has gained a 'Scrap Metal' #38465.
[13:49:43]	Jacob Desmone has gained a 'Scrap Metal' #38466.
[13:49:49]	[OOC] Jacob Desmone: /rollattribute attirbute
[13:49:54]	[OOC] Jacob Desmone: so strength
[13:49:57]	[OOC] Jacob Desmone: agility
[13:49:59]	[OOC] Jacob Desmone: intelligence
[13:50:01]	Richard Barley used command '/RollAttribute medical'.
[13:50:04]	[OOC] Jacob Desmone: and constituion
[13:50:15]	[OOC] Richard Barley: so all the other skills or not a roll based system?
[13:50:24]	[OOC] Richard Barley: are not*
[13:50:32]	[OOC] Jacob Desmone: was fighting
[13:50:33]	[OOC] Jacob Desmone: uhh
[13:50:35]	[OOC] Jacob Desmone: its /rollskill
[13:50:37]	Jacob Desmone has gained a 'Empty Milk Gallon' #38467.
[13:50:40]	Jacob Desmone has gained a 'Scrap Metal' #38468.
[13:50:42]	Jacob Desmone ran 'drop' on item 'Empty Milk Gallon' (#38467)
[13:50:42]	Jacob Desmone has lost a 'Empty Milk Gallon' #38467.
[13:50:47]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#37555)
[13:50:47]	Jacob Desmone has gained a 'Scrap Metal' #37555.
[13:50:48]	Richard Barley rolled 47 (37 + 10) out of 100 on Medical.
[13:50:48]	Richard Barley used command '/RollSkill medical'.
[13:50:56]	Richard Barley rolled 37 (27 + 10) out of 100 on Medical.
[13:50:56]	Richard Barley used command '/RollSkill medical'.
[13:51:01]	Richard Barley rolled 13 out of 100.
[13:51:01]	Richard Barley used command '/Roll medical'.
[13:51:03]	Jacob Desmone has gained a 'Cinderblock' #38469.
[13:51:06]	Jacob Desmone ran 'drop' on item 'Cinderblock' (#38469)
[13:51:06]	Jacob Desmone has lost a 'Cinderblock' #38469.
[13:51:08]	Richard Barley rolled 67 (57 + 10) out of 100 on Medical.
[13:51:08]	Richard Barley used command '/RollSkill medical'.
[13:51:11]	[OOC] Richard Barley: interesting
[13:51:12]	Jacob Desmone has gained a 'Rubber Tire' #38470.
[13:51:15]	Jacob Desmone ran 'drop' on item 'Rubber Tire' (#38470)
[13:51:15]	Jacob Desmone has lost a 'Rubber Tire' #38470.
[13:51:28]	Richard Barley rolled 61 (54 + 7) out of 100 on Constitution.
[13:51:28]	Richard Barley used command '/RollAttribute constitution'.
[13:51:37]	Richard Barley rolled 19 (14 + 5) out of 100 on Stamina.
[13:51:37]	Richard Barley used command '/RollSkill stamina'.
[13:51:42]	Jacob Desmone has gained a 'AI-2 Medikit' #38471.
[13:51:47]	Richard Barley rolled 106 (96 + 10) out of 100 on Medical.
[13:51:47]	Richard Barley used command '/RollSkill medical'.
[13:51:50]	Jacob Desmone has gained a 'Light Bulb' #38472.
[13:51:53]	Jacob Desmone ran 'drop' on item 'Light Bulb' (#38472)
[13:51:53]	Jacob Desmone has lost a 'Light Bulb' #38472.
[13:52:19]	Jacob Desmone has gained a 'Cables' #38473.
[13:52:27]	Jacob Desmone ran 'take' on item 'Broken Computer Monitor' (#38244)
[13:52:27]	Jacob Desmone has gained a 'Broken Computer Monitor' #38244.
[13:52:30]	Jacob Desmone has gained a 'Scrap Electronics' #38474.
[13:52:30]	Jacob Desmone has gained a 'Scrap Electronics' #38475.
[13:52:30]	Jacob Desmone has gained a 'Scrap Plastic' #38476.
[13:52:36]	Jacob Desmone has gained a 'Refined Electronics' #38477.
[13:52:39]	Jacob Desmone ran 'drop' on item 'Refined Electronics' (#38477)
[13:52:39]	Jacob Desmone has lost a 'Refined Electronics' #38477.
[13:52:44]	Jacob Desmone has gained a 'Broken Keyboard' #38478.
[13:52:46]	Jacob Desmone ran 'drop' on item 'Broken Keyboard' (#38478)
[13:52:46]	Jacob Desmone has lost a 'Broken Keyboard' #38478.
[13:52:51]	Jacob Desmone ran 'drop' on item 'Scrap Plastic' (#38476)
[13:52:51]	Jacob Desmone has lost a 'Scrap Plastic' #38476.
[13:52:55]	Jacob Desmone has gained a 'Radiator Helix' #38479.
[13:53:02]	Jacob Desmone ran 'drop' on item 'Radiator Helix' (#38479)
[13:53:02]	Jacob Desmone has lost a 'Radiator Helix' #38479.
[13:53:09]	Jacob Desmone has gained a 'Cables' #38480.
[13:53:22]	Jacob Desmone has gained a 'Horse Statue' #38481.
[13:53:25]	Jacob Desmone ran 'drop' on item 'Horse Statue' (#38481)
[13:53:25]	Jacob Desmone has lost a 'Horse Statue' #38481.
[13:53:34]	Jacob Desmone has gained a 'Gas Analyser' #38482.
[13:53:45]	Jacob Desmone ran 'drop' on item 'Gas Analyser' (#38482)
[13:53:45]	Jacob Desmone has lost a 'Gas Analyser' #38482.
[13:53:50]	Jacob Desmone ran 'take' on item 'Locker Door' (#38262)
[13:53:56]	Jacob Desmone has gained a 'Scrap Wood' #38483.
[13:54:04]	Jacob Desmone has gained a 'Scrap Plastic' #38484.
[13:54:06]	Jacob Desmone ran 'drop' on item 'Scrap Plastic' (#38484)
[13:54:06]	Jacob Desmone has lost a 'Scrap Plastic' #38484.
[13:54:08]	Jacob Desmone ran 'take' on item 'Shovel' (#38323)
[13:54:08]	Jacob Desmone has gained a 'Shovel' #38323.
[13:54:20]	Jacob Desmone ran 'Equip' on item 'Shovel' (#38323)
[13:54:28]	Jacob Desmone has gained a 'Empty Milk Gallon' #38485.
[13:54:30]	Jacob Desmone ran 'drop' on item 'Empty Milk Gallon' (#38485)
[13:54:30]	Jacob Desmone has lost a 'Empty Milk Gallon' #38485.
[13:54:59]	Jacob Desmone has taken 10 damage from npc_zombie.
[13:55:10]	Jacob Desmone ran 'AHealSelf' on item 'AI-2 Medikit' (#38471)
[13:55:17]	Jacob Desmone has gained a 'Cables' #38487.
[13:55:25]	[OOC] Richard Barley: Ill be back
[13:55:27]	Lildirtyharry04 (STEAM_0:0:247487472) has disconnected.
[13:55:40]	Jacob Desmone has taken 5 damage from npc_headcrab_fast.
[13:55:50]	Jacob Desmone has gained a 'Circuit Board' #38488.
[13:55:53]	Jacob Desmone ran 'EquipUn' on item 'Shovel' (#38323)
[13:55:54]	Jacob Desmone ran 'drop' on item 'Shovel' (#38323)
[13:55:54]	Jacob Desmone has lost a 'Shovel' #38323.
[13:55:56]	Jacob Desmone ran 'take' on item 'Empty Glass Bottle' (#38426)
[13:55:56]	Jacob Desmone has gained a 'Empty Glass Bottle' #38426.
[13:55:57]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#38426)
[13:56:21]	Jacob Desmone has taken 10 damage from npc_poisonzombie.
[13:56:27]	Jacob Desmone has taken 10 damage from npc_poisonzombie.
[13:56:39]	Jacob Desmone has taken 10 damage from npc_poisonzombie.
[13:56:47]	Jacob Desmone has gained 30 tokens.
[13:57:35]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#38491)
[13:57:35]	Jacob Desmone has gained a 'Scrap Metal' #38491.
[13:57:37]	Jacob Desmone has gained a 'Armor Scraps' #38492.
[13:57:47]	Jacob Desmone has gained a 'Broken Keyboard' #38493.
[13:57:48]	Jacob Desmone ran 'drop' on item 'Broken Keyboard' (#38493)
[13:57:48]	Jacob Desmone has lost a 'Broken Keyboard' #38493.
[13:58:02]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#38494)
[13:58:02]	Jacob Desmone has gained a 'Scrap Metal' #38494.
[13:58:16]	Jacob Desmone has gained a 'Bar of Soap' #38495.
[13:58:17]	Jacob Desmone ran 'drop' on item 'Bar of Soap' (#38495)
[13:58:17]	Jacob Desmone has lost a 'Bar of Soap' #38495.
[13:58:20]	Jacob Desmone ran 'drop' on item 'Circuit Board' (#38488)
[13:58:20]	Jacob Desmone has lost a 'Circuit Board' #38488.
[13:58:22]	Jacob Desmone ran 'EquipUn' on item 'Empty Glass Bottle' (#38426)
[13:58:23]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#38426)
[13:58:29]	Jacob Desmone ran 'take' on item 'Scrap Metal' (#37531)
[13:58:29]	Jacob Desmone has gained a 'Scrap Metal' #37531.
[13:58:30]	Jacob Desmone opened the 'Metal Cabinet' #2417 container.
[13:58:35]	Jacob Desmone closed the 'Metal Cabinet' #2417 container.
[13:58:50]	Jacob Desmone has gained a 'Capacitors' #38496.
[13:58:52]	Jacob Desmone ran 'drop' on item 'Capacitors' (#38496)
[13:58:52]	Jacob Desmone has lost a 'Capacitors' #38496.
[13:59:30]	Jacob Desmone has gained a 'Circuit Board' #38497.
[13:59:36]	Jacob Desmone ran 'drop' on item 'Circuit Board' (#38497)
[13:59:36]	Jacob Desmone has lost a 'Circuit Board' #38497.
[13:59:37]	Jacob Desmone ran 'drop' on item 'Scrap Metal' (#37531)
[13:59:37]	Jacob Desmone has lost a 'Scrap Metal' #37531.
[13:59:51]	Jacob Desmone has gained a 'Empty Chinese Takeout' #38498.
[13:59:53]	Jacob Desmone ran 'drop' on item 'Empty Chinese Takeout' (#38498)
[13:59:53]	Jacob Desmone has lost a 'Empty Chinese Takeout' #38498.
[14:00:20]	Jacob Desmone has gained a 'Scrap Wood' #38499.
[14:00:35]	Jacob Desmone has gained a 'Old Newspaper' #38501.
[14:00:37]	Jacob Desmone ran 'drop' on item 'Old Newspaper' (#38501)
[14:00:37]	Jacob Desmone has lost a 'Old Newspaper' #38501.
[14:00:38]	Jacob Desmone ran 'EquipUn' on item 'Empty Glass Bottle' (#38426)
[14:00:44]	Jacob Desmone has gained a 'Charcoal' #38502.
[14:01:04]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#38426)
[14:01:06]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[14:01:06]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[14:01:09]	Jacob Desmone has taken 5 damage from npc_fastzombie.
[14:01:10]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[14:01:10]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[14:01:13]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[14:01:13]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[14:01:13]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[14:01:13]	Jacob Desmone has taken 3 damage from npc_fastzombie.
[14:01:16]	Jacob Desmone has gained 10 tokens.
[14:01:55]	Jacob Desmone has taken 5 damage from npc_antlion.
[14:02:10]	Jacob Desmone ran 'EquipUn' on item 'Empty Glass Bottle' (#38426)
[14:02:11]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#38426)
[14:02:15]	Jacob Desmone ran 'EquipUn' on item 'Empty Glass Bottle' (#38426)
[14:02:16]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#38426)
[14:02:18]	Jacob Desmone has taken 5 damage from npc_antlion.
[14:02:20]	Jacob Desmone ran 'EquipUn' on item 'Empty Glass Bottle' (#38426)
[14:02:21]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#38426)
[14:02:23]	Jacob Desmone has taken 5 damage from npc_antlion.
[14:02:25]	Jacob Desmone ran 'EquipUn' on item 'Empty Glass Bottle' (#38426)
[14:02:26]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#38426)
[14:02:44]	Jacob Desmone has taken 5 damage from npc_antlion.
[14:02:48]	Jacob Desmone has taken 5 damage from npc_antlion.
[14:03:38]	Jacob Desmone has taken 5 damage from npc_antlion.
[14:04:25]	Jacob Desmone has taken 5 damage from npc_antlion.
[14:04:26]	Jacob Desmone has taken 5 damage from npc_antlion.
[14:04:26]	npc_antlion has killed Jacob Desmone.
[14:04:53]	Jacob Desmone ran 'Equip' on item 'Empty Glass Bottle' (#38426)
[14:05:37]	Jacob Desmone used the 'Shopkeeper Jim' vendor.
[14:05:42]	Jacob Desmone has lost 10 tokens.
[14:05:42]	Jacob Desmone has gained a 'Request Device' #38504.
[14:05:42]	Jacob Desmone has lost 10 tokens.
[14:05:42]	Jacob Desmone has gained a 'Request Device' #38505.
[14:05:43]	Jacob Desmone has lost 10 tokens.
[14:05:43]	Jacob Desmone has gained a 'Request Device' #38506.
[14:05:44]	Jacob Desmone has lost 10 tokens.
[14:05:44]	Jacob Desmone has gained a 'Request Device' #38507.
[14:05:45]	Jacob Desmone has lost 10 tokens.
[14:05:45]	Jacob Desmone has gained a 'Request Device' #38508.
[14:05:47]	Jacob Desmone has lost 10 tokens.
[14:05:47]	Jacob Desmone has gained a 'Request Device' #38509.
[14:05:50]	Jacob Desmone used the 'Shopkeeper Jim' vendor.
[14:05:53]	Jacob Desmone has lost 10 tokens.
[14:05:53]	Jacob Desmone has gained a 'Request Device' #38510.
[14:05:54]	Jacob Desmone has lost 10 tokens.
[14:05:54]	Jacob Desmone has gained a 'Request Device' #38511.
[14:05:54]	Jacob Desmone has lost 10 tokens.
[14:05:54]	Jacob Desmone has gained a 'Request Device' #38512.
[14:06:32]	Jacob Desmone ran 'drop' on item 'Armor Scraps' (#38492)
[14:06:32]	Jacob Desmone has lost a 'Armor Scraps' #38492.
[14:06:48]	Jacob Desmone opened the 'Metal Cabinet' #2810 container.
[14:06:50]	Jacob Desmone closed the 'Metal Cabinet' #2810 container.
[14:06:51]	Jacob Desmone opened the 'Metal Cabinet' #2811 container.
[14:06:53]	Jacob Desmone closed the 'Metal Cabinet' #2811 container.
[14:06:54]	Jacob Desmone opened the 'Large Refrigerator' #2808 container.
[14:06:57]	Jacob Desmone closed the 'Large Refrigerator' #2808 container.
[14:07:54]	Jacob Desmone ran 'drop' on item 'Empty Glass Bottle' (#38426)
[14:07:54]	Jacob Desmone has lost a 'Empty Glass Bottle' #38426.
[14:07:58]	Jacob Desmone ran 'drop' on item 'Charcoal' (#38502)
[14:07:58]	Jacob Desmone has lost a 'Charcoal' #38502.
[14:08:00]	Jacob Desmone ran 'drop' on item 'Cables' (#38487)
[14:08:00]	Jacob Desmone has lost a 'Cables' #38487.
[14:08:03]	Jacob Desmone ran 'take' on item 'Charcoal' (#38502)
[14:08:03]	Jacob Desmone has gained a 'Charcoal' #38502.
