[00:00:03]	[LOOC] Amahle Osthuizen: SAME
[00:03:56]	[LOOC] Amahle Osthuizen: Kiss yo homies goodnight
[00:03:58]	CCA.C08-JUDGE.i4.33637 has spawned 'models/food/burger.mdl'.
[00:04:00]	CCA.C08-UNION.i5.19267 has gained 10 tokens.
[00:04:02]	[ME] CCA.C08-HELIX.EpU.58841: begins to try to sweep it out, using the index finger.
[00:04:03]	[LOOC] Jericho Snow: kiss yo home nini
[00:04:05]	CCA.C08-JUDGE.i4.33637 has spawned 'models/maxofs2d/logo_gmod_b.mdl'.
[00:04:09]	CCA.C08-JUDGE.i1.91412 has spawned 'models/nova/w_headgear.mdl'.
[00:04:10]	[LOOC] Amahle Osthuizen: Yessum massah
[00:04:12]	[IT] Joseph Kimsler: It comes out, but it's large.
[00:04:13]	[ME] CCA.C08-UNION.i5.19267: GAG REFLEXES
[00:04:21]	CCA.C08-JUDGE.i1.91412 has spawned 'models/nova/w_headcrab.mdl'.
[00:04:28]	[ME] CCA.C08-HELIX.EpU.58841: fucking grabs it and yeet it out of his mouth.
[00:04:33]	Paweł Kalinowski opened the '' #934 container.
[00:04:33]	[ME] James Jacob: slautes
[00:04:35]	Paweł Kalinowski closed the '' #934 container.
[00:04:36]	[LOOC] James Jacob: L
[00:04:38]	[IT] Joseph Kimsler: You pull out something that's around 3 square inches in size.
[00:04:43]	CCA.C08-HELIX.EpU.58841 has gained 10 tokens.
[00:04:44]	[IT] Joseph Kimsler: It looks like bloody skin.
[00:04:51]	[ME] CCA.C08-HELIX.EpU.58841: sets it on the table.
[00:04:54]	[IT] Joseph Kimsler: It's covered in bile and blood.
[00:05:02]	CCA.C08-JUDGE.i4.33637 ran 'EquipUn' on item '.9mm Pistol' (#17408)
[00:05:03]	[IT] Joseph Kimsler: His tongue falls out.
[00:05:04]	James Jacob entered observer.
[00:05:07]	CCA.C08-JUDGE.i1.91412 has spawned 'models/maxofs2d/companion_doll.mdl'.
[00:05:08]	James Jacob exited observer at their location.
[00:05:08]	James Jacob entered observer.
[00:05:10]	James Jacob exited observer at their location.
[00:05:10]	Joseph Kimsler has spawned 'models/half-life/hornet.mdl'.
[00:05:11]	James Jacob entered observer.
[00:05:11]	James Jacob exited observer at their location.
[00:05:11]	James Jacob entered observer.
[00:05:14]	James Jacob exited observer at their location.
[00:05:14]	James Jacob entered observer.
[00:05:16]	James Jacob exited observer at their location.
[00:05:18]	Joseph Kimsler has spawned 'models/half-life/hornet.mdl'.
[00:05:27]	[IT] Joseph Kimsler: He begins foaming at the mouth and seizing.
[00:05:31]	[LOOC] Jericho Snow: xD
[00:05:39]	[LOOC] Joseph Kimsler: fallover, union
[00:05:41]	Joseph Kimsler used command '/DoorSetHidden true'.
[00:05:43]	James Jacob entered observer.
[00:05:43]	James Jacob exited observer at their location.
[00:05:46]	[LOOC] Jericho Snow: thicc*
[00:05:48]	[ME] CCA.C08-HELIX.EpU.58841: sets a medkit onto the table, activating it a bit. A needle connected to the tube pops out of a small hole.
[00:05:48]	CCA.C08-JUDGE.i1.91412 has spawned 'models/maxofs2d/balloon_mossman.mdl'.
[00:05:51]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[00:05:54]	James Jacob entered observer.
[00:05:54]	[ME] Amahle Osthuizen: Coughs
[00:05:55]	[ME] CCA.C08-UNION.i5.19267: talks without his tongue
[00:05:57]	James Jacob exited observer at their location.
[00:06:14]	[ME] CCA.C08-HELIX.EpU.58841: quickly stabs the needle into his arm, injecting whatever is in the medkit into him
[00:06:19]	[LOOC] Jericho Snow: aka aurora
[00:06:20]	CCA.C08-JUDGE.i1.91412 has spawned 'models/balloons/balloon_dog.mdl'.
[00:06:33]	[IT] Joseph Kimsler: The man slowly stops struggling.
[00:06:52]	[IT] Joseph Kimsler: He stops kicking and spitting.
[00:07:00]	CCA.C08-JUDGE.i4.33637 has gained 10 tokens.
[00:07:00]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:07:06]	[IT] Joseph Kimsler: It smells like SHIT in here.
[00:07:12]	[IT] Joseph Kimsler: Finally, the tone plays.
[00:07:14]	CCA.C08-UNION.i5.19267 has killed CCA.C08-UNION.i5.19267.
[00:07:17]	[IT] Joseph Kimsler: A flatline.
[00:07:25]	Joseph Kimsler has spawned 'models/Police.mdl'.
[00:07:31]	CCA.C08-UNION.i3.98240 [X] ran 'Eat' on item 'Civil Protection Functionary Grade Supplements' (#17567)
[00:07:32]	CCA.C08-UNION.i3.98240 [X] ran 'Drink' on item 'Civil Protection Functionary Grade Drink' (#17568)
[00:07:32]	CCA.C08-UNION.i3.98240 [X] ran 'Eat' on item 'Civil Protection Functionary Grade Food Product' (#17566)
[00:07:33]	Joseph Kimsler used command '/CharBan union.i5'.
[00:07:41]	[ME] CCA.C08-HELIX.EpU.58841: strips of any weapons n shit.
[00:07:52]	Joseph Kimsler has spawned 'models/Police.mdl'.
[00:07:59]	Joseph Kimsler has spawned 'models/ma/hla/metropolice.mdl'.
[00:08:04]	Dr. Walter Bennett loaded the character 'Walter H. Bennett'
[00:08:07]	[OOC] Walter H. Bennett: bruuuuhhh what
[00:08:08]	Joseph Kimsler entered observer.
[00:08:08]	James Jacob entered observer.
[00:08:09]	Joseph Kimsler has spawned 'models/ma/hla/metropolice.mdl'.
[00:08:09]	Joseph Kimsler entered observer.
[00:08:14]	[OOC] Joseph Kimsler: suicide is a pkj
[00:08:16]	[OOC] Walter H. Bennett: fuuuuuuuuuuuuuuckl
[00:08:23]	James Jacob exited observer at their location.
[00:08:24]	[OOC] Joseph Kimsler: you still have the whitelist
[00:08:27]	[OOC] CCA.C08-JUDGE.i4.33637: I don't think he realied it
[00:08:28]	[OOC] CCA.C08-UNION.i3.98240 [X]: Good way too die though
[00:08:28]	[OOC] Joseph Kimsler: you just have to go through training again
[00:08:29]	CCA.C08-JUDGE.i4.33637 has taken 2 damage from disTarg.
[00:08:30]	[OOC] CCA.C08-HELIX.EpU.58841: You still have the whitelist. Just make a new char
[00:08:45]	[OOC] CCA.C08-HELIX.EpU.58841: I'll train you.
[00:08:45]	[OOC] Joseph Kimsler: good way my fucking ass, his stomach melted
[00:08:58]	Mrchicken has connected.
[00:09:12]	[LOOC] Jericho Snow: also another thing is fuckin sprays, those shouldnt be enabled
[00:09:20]	[LOOC] Amahle Osthuizen: 100000000000000% agree
[00:09:21]	CCA.C08-HELIX.EpU.58841 used command '/Radio Should I keep his stomach to make a impression on the new recruits?'.
[00:09:24]	[LOOC] Joseph Kimsler: i'm trying to find a way to dsiable it, i know ;-;
[00:09:29]	CCA.C08-UNION.i3.98240 [X] used command '/Radio You're choice'.
[00:09:30]	CCA.C08-JUDGE.i4.33637 used command '/Radio Yes'.
[00:09:32]	[LOOC] Jericho Snow: eaves dropper
[00:09:35]	Mrchicken loaded the character 'Khillari Klinton'
[00:09:36]	[LOOC] Jericho Snow: hai 
[00:09:37]	[LOOC] Amahle Osthuizen: Here comes the boogaloo
[00:09:41]	[OOC] Khillari Klinton: hey gamers
[00:09:43]	CCA.C08-HELIX.EpU.58841 has gained 10 tokens.
[00:09:45]	[LOOC] Amahle Osthuizen: MATT YOU STINKY BOI
[00:09:49]	[LOOC] Jericho Snow: the boogaloo boods
[00:09:49]	James Jacob entered observer.
[00:09:50]	James Jacob exited observer at their location.
[00:10:05]	[OOC] Joseph Kimsler: you missed a unit drinking bleach and getting PKed
[00:10:06]	[OOC] Paweł Kalinowski: He
[00:10:36]	Dr. Walter Bennett created the character 'CCA.C17-RCT.65475'
[00:10:36]	CCA.C17-RCT.65475 has gained a '.9mm Pistol' #17591.
[00:10:36]	CCA.C17-RCT.65475 has gained a '9mm Pistol Bullets' #17592.
[00:10:36]	CCA.C17-RCT.65475 has gained a '9mm Pistol Bullets' #17593.
[00:10:43]	[ME] CCA.C08-HELIX.EpU.58841: takes off the vest n shit. I don't want to RP THIS ENTIRE THING
[00:10:43]	Dr. Walter Bennett loaded the character 'CCA.C17-RCT.65475'
[00:10:46]	[OOC] CCA.C17-RCT.65475: bruh
[00:10:50]	Paweł Kalinowski ran 'take' on item 'Breen's Water' (#17589)
[00:10:50]	Paweł Kalinowski has gained a 'Breen's Water' #17589.
[00:10:51]	[W] Amahle Osthuizen: I need a brick..
[00:10:51]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[00:10:59]	[W] Jericho Snow: There are plenty all around uws.
[00:11:02]	[LOOC] Jericho Snow: us* oof
[00:11:02]	[ME] CCA.C08-HELIX.EpU.58841: begins to use a scalpel, opening his chest cavitiy.
[00:11:04]	Mrchicken loaded the character 'Kevin Right'
[00:11:09]	Joseph Kimsler exited observer at their location.
[00:11:13]	Kevin Right ran 'Drink' on item 'Bleach' (#17565)
[00:11:19]	[OOC] CCA.C17-RCT.65475: so uhhhh
[00:11:21]	[W] Jericho Snow: Just need to chissle one out.
[00:11:28]	[OOC] CCA.C17-RCT.65475: dude I kinda just wanted to void that shit
[00:11:29]	Joseph Kimsler used command '/CharSetModel rct models/mo/offduty/male_04.mdl'.
[00:11:30]	Joseph Kimsler entered observer.
[00:11:33]	[OOC] CCA.C17-RCT.65475: damn I had plans for 192
[00:11:35]	James Jacob entered observer.
[00:11:39]	James Jacob exited observer at their location.
[00:11:40]	[OOC] CCA.C08-JUDGE.i1.91412: HE SAYS HE DRANK BLEACH
[00:11:40]	[LOOC] Kevin Right: i drank it and im still alive
[00:11:42]	[W] Amahle Osthuizen: So tempted to just pick up a plank and hit him with it..
[00:11:45]	[LOOC] Kevin Right: wtf
[00:11:51]	[LOOC] CCA.C08-JUDGE.i4.33637: Oh my
[00:11:52]	James Jacob entered observer.
[00:11:52]	James Jacob exited observer at their location.
[00:11:54]	[OOC] CCA.C17-RCT.65475: bryuh
[00:11:55]	James Jacob entered observer.
[00:11:55]	James Jacob exited observer at their location.
[00:12:00]	[ME] CCA.C08-HELIX.EpU.58841: soon gets his stomach out, and places it into a jar, filled with a preserving fluid that'll keep necrosis from setting in.
[00:12:00]	CCA.C08-JUDGE.i4.33637 has gained 10 tokens.
[00:12:00]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:12:00]	Kevin Right has taken 10 damage from CCA.C08-JUDGE.i1.91412.
[00:12:00]	CCA.C08-JUDGE.i1.91412 has killed Kevin Right with ix_stunstick.
[00:12:02]	CCA.C08-JUDGE.i4.33637 ran 'Equip' on item '.9mm Pistol' (#17408)
[00:12:04]	[OOC] CCA.C17-RCT.65475: well now all the character development with 92 was wasted lol
[00:12:06]	James Jacob entered observer.
[00:12:07]	James Jacob exited observer at their location.
[00:12:07]	James Jacob entered observer.
[00:12:09]	[OOC] CCA.C08-UNION.i3.98240 [X]: F
[00:12:11]	CCA.C08-HELIX.EpU.58841 used command '/Radio I'll get to the new recruit in a moment'.
[00:12:16]	[OOC] Kevin Right: wait
[00:12:16]	[OOC] CCA.C17-RCT.65475: *98
[00:12:18]	CCA.C08-UNION.i3.98240 [X] used command '/Radio Copy that'.
[00:12:19]	CCA.C08-HELIX.EpU.58841 has spawned 'models/props_lab/crematorcase.mdl'.
[00:12:19]	James Jacob exited observer at their location.
[00:12:23]	[OOC] Kevin Right: walter
[00:12:23]	CCA.C08-JUDGE.i4.33637 used command '/Radio someone else drank bleach'.
[00:12:25]	[OOC] CCA.C17-RCT.65475: yes
[00:12:29]	CCA.C08-HELIX.EpU.58841 used command '/Radio What'.
[00:12:29]	[OOC] Kevin Right: how are you a recruit again]
[00:12:32]	[OOC] CCA.C17-RCT.65475: I got pked
[00:12:37]	James Jacob entered observer.
[00:12:37]	James Jacob exited observer at their location.
[00:12:37]	CCA.C08-JUDGE.i4.33637 used command '/Radio I said to much'.
[00:12:38]	James Jacob entered observer.
[00:12:38]	James Jacob exited observer at their location.
[00:12:39]	James Jacob entered observer.
[00:12:39]	James Jacob exited observer at their location.
[00:12:39]	[OOC] Kevin Right: soft im guessing
[00:12:41]	James Jacob entered observer.
[00:12:41]	James Jacob exited observer at their location.
[00:12:43]	James Jacob entered observer.
[00:12:43]	James Jacob exited observer at their location.
[00:12:45]	[OOC] CCA.C17-RCT.65475: I fucking drank bleach.
[00:12:53]	[OOC] CCA.C17-RCT.65475: and got a hard pk
[00:12:57]	CCA.C08-JUDGE.i4.33637 used command '/Radio It was Chicken'.
[00:13:01]	[ME] Amahle Osthuizen: Would hover over the body for several seconds before raising her left leg and casually wiping the grime and filth from the bottom of her boot onto the freshly made corpses face ''Finally..'' she mutters
[00:13:01]	[OOC] CCA.C08-HELIX.EpU.58841: You keep CP whitelist if you don't go rouge or get three black marks
[00:13:15]	[OOC] Kevin Right: ethan went rouge
[00:13:19]	[LOOC] Jericho Snow: sociopath char?
[00:13:21]	[OOC] CCA.C08-HELIX.EpU.58841: it was voidede
[00:13:27]	[OOC] Kevin Right: yo
[00:13:28]	[LOOC] Amahle Osthuizen: Despises humanity char
[00:13:32]	James Jacob entered observer.
[00:13:32]	[LOOC] Jericho Snow: oh
[00:13:32]	James Jacob exited observer at their location.
[00:13:32]	James Jacob entered observer.
[00:13:32]	James Jacob exited observer at their location.
[00:13:35]	James Jacob entered observer.
[00:13:37]	James Jacob exited observer at their location.
[00:13:38]	[OOC] Kevin Right: ollie come here this force field isnt working
[00:13:39]	[LOOC] Amahle Osthuizen: Big heart just never shows it.
[00:13:40]	[LOOC] Jericho Snow: i hope that doesnt include me
[00:13:40]	[LOOC] CCA.C08-JUDGE.i4.33637: I got chicken to  drink bleach
[00:13:42]	[OOC] CCA.C08-HELIX.EpU.58841: Not right now
[00:13:43]	[OOC] CCA.C08-UNION.i3.98240 [X]: By the way, I still have no idea on how too get rid of my Blackmark
[00:13:44]	[OOC] CCA.C08-JUDGE.i1.91412: omw
[00:13:49]	[OOC] Joseph Kimsler: what's goingo n/
[00:13:52]	[OOC] Kevin Right: no like i need you now
[00:13:55]	Joseph Kimsler exited observer at their location.
[00:13:57]	[OOC] Kevin Right: nvm
[00:13:58]	[OOC] CCA.C08-JUDGE.i4.33637: Um nothing
[00:13:58]	[LOOC] Amahle Osthuizen: Plus he IC'ly annoyed her
[00:14:03]	Joseph Kimsler entered observer.
[00:14:08]	[LOOC] Jericho Snow: multiple times
[00:14:09]	[OOC] CCA.C08-JUDGE.i4.33637: I may have told someone else to drink bleach
[00:14:12]	James Jacob entered observer.
[00:14:13]	James Jacob exited observer at their location.
[00:14:23]	[OOC] CCA.C08-UNION.i3.98240 [X]: F
[00:14:25]	[LOOC] CCA.C08-HELIX.EpU.58841: can you hear me?
[00:14:31]	[OOC] CCA.C08-JUDGE.i4.33637: I'm going to bed
[00:14:35]	[OOC] CCA.C08-UNION.i3.98240 [X]: Gn
[00:14:37]	[OOC] Joseph Kimsler: goodnight
[00:14:38]	[OOC] CCA.C08-JUDGE.i1.91412: night
[00:14:40]	[OOC] CCA.C08-JUDGE.i4.33637: I can't
[00:14:43]	CCA.C08-HELIX.EpU.58841 has gained 10 tokens.
[00:14:43]	HorridEnforcer (STEAM_0:0:78553135) has disconnected.
[00:14:44]	[OOC] James Jacob: Imma also hope off 
[00:14:45]	CCA.C08-HELIX.EpU.58841 used command '/Radio New recruit is already a fuckin weirdo.'.
[00:14:55]	[ME] Amahle Osthuizen: Sighing she'd kneel down and rummage through his pockets, collecting any form of identification he could possibly have on his person at the time before taking his shoes and tossing them aside
[00:14:57]	[OOC] CCA.C08-UNION.i3.98240 [X]: I'll soon get off
[00:14:58]	[OOC] CCA.C08-JUDGE.i1.91412: goodnight
[00:14:59]	[OOC] James Jacob: *Tips Fedora*
[00:14:59]	[OOC] Kevin Right: night bb
[00:15:03]	[OOC] CCA.C08-UNION.i3.98240 [X]: Lmao
[00:15:11]	[OOC] Joseph Kimsler: found the ceommand to disabled sprays
[00:15:13]	[OOC] Joseph Kimsler: disable*
[00:15:14]	[OOC] Paweł Kalinowski: wtf
[00:15:16]	Zapper (STEAM_0:1:88228734) has disconnected.
[00:15:20]	[ME] Amahle Osthuizen: She'd then struggle to pick up the body
[00:15:22]	Amahle Osthuizen rolled 46 out of 100.
[00:15:22]	Amahle Osthuizen used command '/Roll 100'.
[00:15:25]	Mrchicken loaded the character 'Khillari Klinton'
[00:15:27]	[OOC] Khillari Klinton: q
[00:15:29]	[OOC] Joseph Kimsler: yeah
[00:15:33]	[OOC] Khillari Klinton: can i talk to joseph
[00:15:37]	CCA.C08-UNION.i3.98240 [X] ran 'Apply' on item 'Bandage' (#17520)
[00:15:43]	CCA.C17-RCT.65475 has gained 10 tokens.
[00:15:47]	[OOC] Joseph Kimsler: you can go to the HQ
[00:15:51]	Joseph Kimsler exited observer at their location.
[00:15:51]	CCA.C08-UNION.i3.98240 [X] has gained 10 tokens.
[00:15:58]	Joseph Kimsler entered observer.
[00:16:00]	Joseph Kimsler exited observer at their location.
[00:16:07]	[OOC] CCA.C17-RCT.65475: am i fucking gagged what the fuck
[00:16:08]	[ME] Amahle Osthuizen: She'd simply drop the corpse after failing to hoist it upwards, instead just grabbing onto it's leg and dragging it along before simply stating ''No'' to the question
[00:16:17]	Joseph Kimsler used command '/CharSetModel helix models/dpfilms/metropolice/medte_police.mdl'.
[00:16:18]	[OOC] CCA.C17-RCT.65475: how tf can ollie not hear me?
[00:16:27]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Yeah
[00:16:50]	Amahle Osthuizen has taken 5 damage from prop_physics.
[00:16:56]	[ME] Amahle Osthuizen: Yeet into dumpster rp
[00:16:59]	CCA.C08-HELIX.EpU.58841 used the 'Armory Operator' vendor.
[00:17:00]	CCA.C08-JUDGE.i1.91412 has gained 10 tokens.
[00:17:01]	CCA.C17-RCT.65475 used the 'Armory Operator' vendor.
[00:17:02]	CCA.C08-HELIX.EpU.58841 used the 'Armory Operator' vendor.
[00:17:02]	[LOOC] Joseph Kimsler: you already have a char on another char
[00:17:02]	[LOOC] Jericho Snow: why did your char just moan
[00:17:05]	[LOOC] Amahle Osthuizen: /me Moan
[00:17:05]	[LOOC] Joseph Kimsler: shop*
[00:17:08]	[LOOC] Joseph Kimsler: what else do yo uwnat
[00:17:16]	[LOOC] Khillari Klinton: i want a restraunt
[00:17:20]	[LOOC] Khillari Klinton: thats all
[00:17:24]	CCA.C17-RCT.65475 used the 'Armory Operator' vendor.
[00:17:30]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:17:30]	CCA.C17-RCT.65475 has gained a 'Dual .9mm Pistols' #17594.
[00:17:30]	[LOOC] Joseph Kimsler: did you drink bleach?
[00:17:31]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:17:31]	CCA.C17-RCT.65475 has gained a '.9mm Pistol' #17595.
[00:17:33]	CCA.C08-HELIX.EpU.58841 used the 'Armory Operator' vendor.
[00:17:33]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:17:33]	CCA.C17-RCT.65475 has gained a '9mm Pistol Bullets' #17596.
[00:17:33]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:17:33]	CCA.C17-RCT.65475 has gained a '9mm Pistol Bullets' #17597.
[00:17:34]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:17:34]	CCA.C17-RCT.65475 has gained a '9mm Pistol Bullets' #17598.
[00:17:35]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:17:35]	CCA.C17-RCT.65475 has gained a '9mm Pistol Bullets' #17599.
[00:17:37]	[LOOC] Joseph Kimsler: i'm not made
[00:17:39]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:17:39]	CCA.C17-RCT.65475 has gained a '9mm Pistol Bullets' #17600.
[00:17:39]	[LOOC] Joseph Kimsler: i'm just curious
[00:17:45]	[LOOC] Khillari Klinton: as a joke ooc i did
[00:17:46]	CCA.C17-RCT.65475 used the 'Armory Operator' vendor.
[00:17:49]	CCA.C08-HELIX.EpU.58841 used the 'Armory Operator' vendor.
[00:17:52]	[LOOC] Joseph Kimsler: i'm not mad, you can be honest
[00:17:54]	[LOOC] Joseph Kimsler: i just want to know
[00:17:55]	[LOOC] Khillari Klinton: but it didnt kill me
[00:17:57]	CCA.C17-RCT.65475 ran 'drop' on item '.9mm Pistol' (#17591)
[00:17:57]	CCA.C17-RCT.65475 has lost a '.9mm Pistol' #17591.
[00:17:59]	CCA.C17-RCT.65475 used the 'Armory Operator' vendor.
[00:18:00]	[LOOC] Khillari Klinton: some how
[00:18:03]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:18:03]	CCA.C17-RCT.65475 has gained a 'Zip Tie' #17601.
[00:18:04]	CCA.C17-RCT.65475 has gained 0 tokens.
[00:18:04]	CCA.C17-RCT.65475 has gained a 'Zip Tie' #17602.
[00:18:07]	[LOOC] Khillari Klinton: like it had me on 1 hp
[00:18:14]	[LOOC] Khillari Klinton: i didnt die tho
[00:18:20]	[LOOC] Joseph Kimsler: yeah, but did you drink the bleach though. like i'm asking
[00:18:28]	Paweł Kalinowski opened the '' #909 container.
[00:18:28]	[LOOC] Khillari Klinton: i said yes
[00:18:30]	Paweł Kalinowski closed the '' #909 container.
[00:18:35]	Paweł Kalinowski opened the '' #910 container.
[00:18:37]	Paweł Kalinowski closed the '' #910 container.
[00:18:37]	[LOOC] Joseph Kimsler: on kevin?
[00:18:41]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Uhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh, I guess?
[00:18:46]	Paweł Kalinowski opened the '' #941 container.
[00:18:48]	Paweł Kalinowski closed the '' #941 container.
[00:18:48]	[LOOC] CCA.C08-UNION.i3.98240 [X]: Not sure how it works.
[00:18:50]	CCA.C08-HELIX.EpU.58841 used command '/PM Joseph Since he already knows shit and I don't want to train him, I gave him the quickest summary if that's fine'.
[00:18:52]	Paweł Kalinowski opened the '' #1089 container.
[00:18:54]	Paweł Kalinowski closed the '' #1089 container.
[00:18:54]	CCA.C08-JUDGE.i1.91412 has taken 1 damage from disTarg.
[00:18:55]	[LOOC] Khillari Klinton: q why do i feel like your pking kevin
[00:18:58]	[LOOC] Joseph Kimsler: no
[00:19:00]	[LOOC] Joseph Kimsler: i'm just asking
[00:19:03]	[ME] Amahle Osthuizen: Sighs
[00:19:05]	[LOOC] Khillari Klinton: yes as a meme
[00:19:05]	Paweł Kalinowski opened the '' #1244 container.
[00:19:07]	[LOOC] CCA.C08-UNION.i3.98240 [X]: To be honest it's not hard too spark up the same conversations and have some fun with it
[00:19:07]	Paweł Kalinowski closed the '' #1244 container.
[00:19:10]	[ME] CCA.C08-HELIX.EpU.58841: grabs a new mask, I don't know where you would get one n shit.
[00:19:10]	[LOOC] Joseph Kimsler: can you please hop on kevin
[00:19:14]	Joseph Kimsler used command '/PM epu bruh'.
[00:19:14]	Paweł Kalinowski opened the '' #1428 container.
[00:19:17]	Paweł Kalinowski has gained a 'Loyalist Grade Ration' #17446.
[00:19:18]	CCA.C17-RCT.65475 used the 'Armory Operator' vendor.
