[00:50:33]	Mr.Ganar has connected.
[08:18:55]	Ashley Adams has gained a 'Power Supply Unit' #27514.
[08:19:05]	Ashley Adams has gained a 'Empty Tin Can' #27515.
[08:19:24]	Ashley Adams has gained a 'Radio Case' #27516.
[08:19:27]	Ashley Adams has gained a 'Rock' #27517.
[08:20:12]	Ashley Adams ran 'drop' on item 'Power Supply Unit' (#27514)
[08:20:12]	Ashley Adams has lost a 'Power Supply Unit' #27514.
[08:20:13]	Ashley Adams ran 'drop' on item 'Empty Tin Can' (#27515)
[08:20:13]	Ashley Adams has lost a 'Empty Tin Can' #27515.
[08:20:15]	Ashley Adams ran 'drop' on item 'Rock' (#27517)
[08:20:15]	Ashley Adams has lost a 'Rock' #27517.
[08:20:20]	Ashley Adams destroyed a 'Rock' #27517.
[08:20:23]	Ashley Adams destroyed a 'Empty Tin Can' #27515.
[08:20:23]	Ashley Adams destroyed a 'Power Supply Unit' #27514.
[08:20:40]	Ashley Adams has gained a 'A Roll of Toilet Paper' #27517.
[08:20:44]	Ashley Adams has gained a 'Broken Clock' #27518.
[08:20:47]	Ashley Adams ran 'drop' on item 'A Roll of Toilet Paper' (#27517)
[08:20:47]	Ashley Adams has lost a 'A Roll of Toilet Paper' #27517.
[08:20:48]	Ashley Adams ran 'drop' on item 'Broken Clock' (#27518)
[08:20:48]	Ashley Adams has lost a 'Broken Clock' #27518.
[08:20:52]	Ashley Adams destroyed a 'A Roll of Toilet Paper' #27517.
[08:20:53]	Ashley Adams destroyed a 'Broken Clock' #27518.
[08:21:12]	Ashley Adams has gained a 'Empty Cooking Oil Bottle' #27517.
[08:21:21]	Ashley Adams has gained a 'Boot' #27518.
[08:21:24]	Ashley Adams ran 'drop' on item 'Empty Cooking Oil Bottle' (#27517)
[08:21:24]	Ashley Adams has lost a 'Empty Cooking Oil Bottle' #27517.
[08:21:26]	Ashley Adams ran 'drop' on item 'Boot' (#27518)
[08:21:26]	Ashley Adams has lost a 'Boot' #27518.
[08:21:31]	Ashley Adams destroyed a 'Boot' #27518.
[08:21:32]	Ashley Adams destroyed a 'Empty Cooking Oil Bottle' #27517.
[08:21:35]	Ashley Adams opened the '' #252 container.
[08:21:37]	Ashley Adams closed the '' #252 container.
[08:21:38]	Ashley Adams opened the '' #2548 container.
[08:21:40]	Ashley Adams closed the '' #2548 container.
[08:21:48]	Ashley Adams opened the '' #308 container.
[08:21:50]	Ashley Adams closed the '' #308 container.
[08:21:52]	Ashley Adams opened the '' #2374 container.
[08:21:54]	Ashley Adams closed the '' #2374 container.
[08:22:43]	Ashley Adams ran 'View' on item 'Notepad' (#17310)
[08:22:54]	Ashley Adams ran 'View' on item 'Notepad' (#17310)
[08:24:04]	_--Ashley--_ (STEAM_0:0:25179524) has disconnected.
[08:49:13]	Thomas has connected.
[08:52:50]	Thomas has gained a 'Cyclopic Citizen Suit' #27517.
[08:52:50]	Thomas has gained a 'Citizen Filter' #27518.
[08:52:50]	Thomas created the character 'Thomas'
[08:52:50]	Thomas has gained a 'Suitcase' #27519.
[08:52:50]	Thomas has gained a 'Relocation Coupon' #27520.
[08:52:50]	Thomas loaded the character 'Thomas'
[08:52:55]	Thomas has taken 1 damage from worldspawn.
[08:52:56]	Thomas has taken 1 damage from worldspawn.
[08:52:57]	Thomas has taken 1 damage from worldspawn.
[08:52:58]	Thomas has taken 1 damage from worldspawn.
[08:52:58]	Thomas has taken 1 damage from worldspawn.
[08:53:02]	Thomas has taken 1 damage from worldspawn.
[08:53:03]	Thomas has taken 1 damage from worldspawn.
[08:53:03]	Thomas has taken 1 damage from worldspawn.
[08:53:04]	Thomas has taken 1 damage from worldspawn.
[08:53:05]	Thomas has taken 1 damage from worldspawn.
[08:53:06]	Thomas has taken 1 damage from worldspawn.
[08:53:06]	Thomas has taken 1 damage from worldspawn.
[08:53:25]	Thomas has taken 1 damage from worldspawn.
[08:53:26]	Thomas has taken 1 damage from worldspawn.
[08:53:26]	Thomas has taken 1 damage from worldspawn.
[08:53:27]	Thomas has taken 1 damage from worldspawn.
[08:53:28]	Thomas has taken 1 damage from worldspawn.
[08:53:29]	Thomas has taken 1 damage from worldspawn.
[08:53:29]	Thomas has taken 1 damage from worldspawn.
[08:53:30]	Thomas has taken 1 damage from worldspawn.
[08:53:31]	Thomas has taken 1 damage from worldspawn.
[08:53:32]	Thomas has taken 1 damage from worldspawn.
[08:53:32]	Thomas has taken 1 damage from worldspawn.
[08:53:33]	Thomas has taken 1 damage from worldspawn.
[08:53:34]	Thomas has taken 1 damage from worldspawn.
[08:53:35]	Thomas has taken 1 damage from worldspawn.
[08:53:35]	Thomas has taken 1 damage from worldspawn.
[08:53:36]	Thomas has taken 1 damage from worldspawn.
[08:53:37]	Thomas has taken 1 damage from worldspawn.
[08:53:38]	Thomas has taken 1 damage from worldspawn.
[08:53:38]	Thomas has taken 1 damage from worldspawn.
[08:53:39]	Thomas has taken 1 damage from worldspawn.
[08:53:40]	Thomas has taken 1 damage from worldspawn.
[08:53:41]	Thomas has taken 1 damage from worldspawn.
[08:53:41]	Thomas has taken 1 damage from worldspawn.
[08:53:42]	Thomas has taken 1 damage from worldspawn.
[08:53:43]	Thomas has taken 1 damage from worldspawn.
[08:53:44]	Thomas has taken 1 damage from worldspawn.
[08:53:44]	Thomas has taken 1 damage from worldspawn.
[08:53:45]	Thomas has taken 1 damage from worldspawn.
[08:53:46]	Thomas has taken 1 damage from worldspawn.
[08:53:47]	Thomas has taken 1 damage from worldspawn.
[08:53:48]	Thomas has taken 1 damage from worldspawn.
[08:53:48]	Thomas has taken 1 damage from worldspawn.
[08:53:49]	Thomas has taken 1 damage from worldspawn.
[08:53:50]	Thomas has taken 1 damage from worldspawn.
[08:53:51]	Thomas has taken 1 damage from worldspawn.
[08:53:51]	Thomas has taken 1 damage from worldspawn.
[08:53:52]	Thomas has taken 1 damage from worldspawn.
[08:53:53]	Thomas has taken 1 damage from worldspawn.
[08:53:54]	Thomas has taken 1 damage from worldspawn.
[08:53:54]	Thomas has taken 1 damage from worldspawn.
[08:53:55]	Thomas has taken 1 damage from worldspawn.
[08:53:56]	Thomas has taken 1 damage from worldspawn.
[08:53:57]	Thomas has taken 1 damage from worldspawn.
[08:53:57]	Thomas has taken 1 damage from worldspawn.
[08:53:58]	Thomas has taken 1 damage from worldspawn.
[08:53:59]	Thomas has taken 1 damage from worldspawn.
[08:54:00]	Thomas has taken 1 damage from worldspawn.
[08:54:00]	Thomas has taken 1 damage from worldspawn.
[08:54:01]	Thomas has taken 1 damage from worldspawn.
[08:54:02]	Thomas has taken 1 damage from worldspawn.
[08:54:02]	Thomas ran 'Equip' on item 'Cyclopic Citizen Suit' (#27517)
[08:54:03]	Thomas has taken 1 damage from worldspawn.
[08:54:03]	Thomas has taken 1 damage from worldspawn.
[08:54:04]	Thomas has taken 1 damage from worldspawn.
[08:54:05]	Thomas has taken 1 damage from worldspawn.
[08:54:06]	Thomas ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#27517)
[08:54:06]	Thomas has taken 1 damage from worldspawn.
[08:54:06]	Thomas has taken 1 damage from worldspawn.
[08:54:07]	Thomas has taken 1 damage from worldspawn.
[08:54:08]	Thomas has taken 1 damage from worldspawn.
[08:54:09]	Thomas has taken 1 damage from worldspawn.
[08:54:09]	Thomas has taken 1 damage from worldspawn.
[08:54:10]	Thomas has taken 1 damage from worldspawn.
[08:54:11]	Thomas has taken 1 damage from worldspawn.
[08:54:12]	Thomas has taken 1 damage from worldspawn.
[08:54:13]	Thomas has taken 1 damage from worldspawn.
[08:54:13]	Thomas has taken 1 damage from worldspawn.
[08:54:14]	Thomas has taken 1 damage from worldspawn.
[08:54:15]	Thomas has taken 1 damage from worldspawn.
[08:54:16]	Thomas has taken 1 damage from worldspawn.
[08:54:16]	Thomas has taken 1 damage from worldspawn.
[08:54:17]	Thomas has taken 1 damage from worldspawn.
[08:54:18]	Thomas has taken 1 damage from worldspawn.
[08:54:19]	Thomas has taken 1 damage from worldspawn.
[08:54:19]	Thomas has taken 1 damage from worldspawn.
[08:54:20]	Thomas has taken 1 damage from worldspawn.
[08:54:21]	Thomas has taken 1 damage from worldspawn.
[08:54:22]	Thomas has taken 1 damage from worldspawn.
[08:54:22]	Thomas has taken 1 damage from worldspawn.
[08:54:23]	Thomas has taken 1 damage from worldspawn.
[08:54:24]	Thomas has taken 1 damage from worldspawn.
[08:54:25]	Thomas has taken 1 damage from worldspawn.
[08:54:26]	Thomas has taken 1 damage from worldspawn.
[08:54:27]	Thomas has taken 1 damage from worldspawn.
[08:54:28]	Thomas has taken 1 damage from worldspawn.
[08:54:28]	Thomas has taken 1 damage from worldspawn.
[08:54:29]	Thomas has taken 1 damage from worldspawn.
[08:54:30]	Thomas has taken 1 damage from worldspawn.
[08:54:31]	Thomas has taken 1 damage from worldspawn.
[08:54:31]	Thomas has taken 1 damage from worldspawn.
[08:54:31]	worldspawn has killed Thomas.
[08:54:44]	Thomas ran 'Equip' on item 'Cyclopic Citizen Suit' (#27517)
[08:54:47]	Thomas has taken 1 damage from worldspawn.
[08:54:47]	Thomas has taken 1 damage from worldspawn.
[08:54:48]	Thomas has taken 1 damage from worldspawn.
[08:54:49]	Thomas has taken 1 damage from worldspawn.
[08:54:50]	Thomas ran 'EquipUn' on item 'Cyclopic Citizen Suit' (#27517)
[08:54:50]	Thomas has taken 1 damage from worldspawn.
[08:54:51]	Thomas has taken 1 damage from worldspawn.
[08:54:51]	Thomas has taken 1 damage from worldspawn.
[08:54:56]	Thomas has taken 1 damage from worldspawn.
[08:54:59]	Thomas has taken 1 damage from worldspawn.
[08:55:00]	Thomas has taken 1 damage from worldspawn.
[08:55:01]	Thomas has taken 1 damage from worldspawn.
[08:55:17]	Thomas has taken 1 damage from worldspawn.
[08:55:18]	Thomas has taken 1 damage from worldspawn.
[08:55:20]	Thomas has taken 1 damage from worldspawn.
[08:55:21]	Thomas has taken 1 damage from worldspawn.
[08:55:21]	Thomas has taken 1 damage from worldspawn.
[08:55:22]	Thomas has taken 1 damage from worldspawn.
[08:55:23]	Thomas has taken 1 damage from worldspawn.
[08:55:24]	Thomas has taken 1 damage from worldspawn.
[08:55:29]	Thomas has taken 1 damage from worldspawn.
[08:55:30]	Thomas has taken 1 damage from worldspawn.
[08:55:31]	Thomas has taken 1 damage from worldspawn.
[08:55:32]	Thomas has taken 1 damage from worldspawn.
[08:55:53]	Thomas has taken 1 damage from worldspawn.
[08:55:54]	Thomas has taken 1 damage from worldspawn.
[08:55:59]	Thomas has taken 1 damage from worldspawn.
[08:56:00]	Thomas has taken 1 damage from worldspawn.
[08:56:01]	Thomas has taken 1 damage from worldspawn.
[08:56:01]	Thomas has taken 1 damage from worldspawn.
[08:56:02]	Thomas has taken 1 damage from worldspawn.
[08:56:03]	Thomas has taken 1 damage from worldspawn.
[08:56:04]	Thomas has taken 1 damage from worldspawn.
[08:56:04]	Thomas has taken 1 damage from worldspawn.
[08:56:05]	Thomas has taken 1 damage from worldspawn.
[08:56:06]	Thomas has taken 1 damage from worldspawn.
[08:56:07]	Thomas has taken 1 damage from worldspawn.
[08:56:07]	Thomas has taken 1 damage from worldspawn.
[08:56:08]	Thomas has taken 1 damage from worldspawn.
[08:56:09]	Thomas has taken 1 damage from worldspawn.
[08:56:10]	Thomas has taken 1 damage from worldspawn.
[08:56:10]	Thomas has taken 1 damage from worldspawn.
[08:56:11]	Thomas has taken 1 damage from worldspawn.
[08:56:12]	Thomas has taken 1 damage from worldspawn.
[08:56:13]	Thomas has taken 1 damage from worldspawn.
[08:56:13]	Thomas has taken 1 damage from worldspawn.
[08:56:14]	Thomas has taken 1 damage from worldspawn.
[08:56:15]	Thomas has taken 1 damage from worldspawn.
[08:56:16]	Thomas has taken 1 damage from worldspawn.
[08:56:16]	Thomas has taken 1 damage from worldspawn.
[08:56:17]	Thomas has taken 1 damage from worldspawn.
[08:56:18]	Thomas has taken 1 damage from worldspawn.
[08:56:19]	Thomas has taken 1 damage from worldspawn.
[08:56:20]	Thomas has taken 1 damage from worldspawn.
[08:56:20]	Thomas has taken 1 damage from worldspawn.
[08:56:21]	Thomas has taken 1 damage from worldspawn.
[08:56:22]	Thomas has taken 1 damage from worldspawn.
[08:56:23]	Thomas has taken 1 damage from worldspawn.
[08:56:23]	Thomas has taken 1 damage from worldspawn.
[08:56:24]	Thomas has taken 1 damage from worldspawn.
[08:56:25]	Thomas has taken 1 damage from worldspawn.
[08:56:26]	Thomas has taken 1 damage from worldspawn.
[08:56:26]	Thomas has taken 1 damage from worldspawn.
[08:56:27]	Thomas has taken 1 damage from worldspawn.
[08:57:10]	Thomas ran 'Equip' on item 'Cyclopic Citizen Suit' (#27517)
[08:57:14]	Thomas has taken 1 damage from worldspawn.
[08:57:15]	Thomas has taken 1 damage from worldspawn.
[08:57:16]	Thomas has taken 1 damage from worldspawn.
[08:57:16]	Thomas has taken 1 damage from worldspawn.
[08:57:17]	Thomas has taken 1 damage from worldspawn.
[08:57:18]	Thomas has taken 1 damage from worldspawn.
[08:57:19]	Thomas has taken 1 damage from worldspawn.
[08:57:19]	Thomas has taken 1 damage from worldspawn.
[08:57:20]	Thomas has taken 1 damage from worldspawn.
[08:57:21]	Thomas has taken 1 damage from worldspawn.
[08:57:22]	Thomas has taken 1 damage from worldspawn.
[08:57:22]	Thomas has taken 1 damage from worldspawn.
[08:57:23]	Thomas has taken 1 damage from worldspawn.
[08:57:24]	Thomas has taken 1 damage from worldspawn.
[08:57:25]	Thomas has taken 1 damage from worldspawn.
[08:57:25]	Thomas has taken 1 damage from worldspawn.
[08:57:26]	Thomas has taken 1 damage from worldspawn.
[08:57:27]	Thomas has taken 1 damage from worldspawn.
[08:57:28]	Thomas has taken 1 damage from worldspawn.
[08:57:28]	Thomas has taken 1 damage from worldspawn.
[08:57:29]	Thomas has taken 1 damage from worldspawn.
[08:57:30]	Thomas has taken 1 damage from worldspawn.
[08:57:31]	Thomas has taken 1 damage from worldspawn.
[08:57:31]	Thomas has taken 1 damage from worldspawn.
[08:57:32]	Thomas has taken 1 damage from worldspawn.
[08:57:33]	Thomas has taken 1 damage from worldspawn.
[08:57:34]	Thomas has taken 1 damage from worldspawn.
[08:57:35]	Thomas has taken 1 damage from worldspawn.
[08:57:35]	Thomas has taken 1 damage from worldspawn.
[08:57:36]	Thomas has taken 1 damage from worldspawn.
[08:57:37]	Thomas has taken 1 damage from worldspawn.
[08:57:38]	Thomas has taken 1 damage from worldspawn.
[08:57:38]	Thomas has taken 1 damage from worldspawn.
[08:57:39]	Thomas has taken 1 damage from worldspawn.
[08:57:40]	Thomas has taken 1 damage from worldspawn.
[08:57:41]	Thomas has taken 1 damage from worldspawn.
[08:57:41]	Thomas has taken 1 damage from worldspawn.
[08:57:41]	worldspawn has killed Thomas.
[08:57:49]	Thomas (STEAM_0:1:543921205) has disconnected.
[09:27:45]	Global Defence Initiative has connected.
[09:28:58]	Global Defence Initiative loaded the character 'CAC.C17-VORTIPODE.24999'
[09:29:04]	[OOC] CAC.C17-VORTIPODE.24999: Sussy
[09:29:09]	[OOC] Douglas Hudson: bacon
[09:29:17]	[OOC] Douglas Hudson: I can see loggies
[09:29:19]	[OOC] Douglas Hudson: oh yeah
[09:29:24]	[OOC] Douglas Hudson: that song hits
[09:29:25]	[OOC] CAC.C17-VORTIPODE.24999: o gawd
[09:29:39]	CAC.C17-VORTIPODE.24999 used command '/Dispatch'.
[09:29:46]	[OOC] CAC.C17-VORTIPODE.24999: OOOO NO
[09:29:50]	[OOC] CAC.C17-VORTIPODE.24999: Look at my name
[09:29:54]	[OOC] Douglas Hudson: WHAT THE FUCK
[09:29:55]	[OOC] Douglas Hudson: HOW
[09:29:56]	[OOC] CAC.C17-VORTIPODE.24999: I figured it out
[09:31:22]	[OOC] CAC.C17-VORTIPODE.24999: Messaged Q about it
[09:31:29]	[OOC] Douglas Hudson: same
[09:31:34]	Douglas Hudson entered observer.
[09:31:38]	Douglas Hudson exited observer.
[09:31:40]	[OOC] CAC.C17-VORTIPODE.24999: Seems to be online...
[09:31:46]	[OOC] Douglas Hudson: Q?
[09:31:48]	[OOC] Douglas Hudson: mp
[09:31:51]	[OOC] Douglas Hudson: no
[09:31:58]	[OOC] CAC.C17-VORTIPODE.24999: Atleast on DMs
[09:32:06]	[OOC] Douglas Hudson: wat
[09:32:07]	[OOC] CAC.C17-VORTIPODE.24999: Not on server tho
[09:32:14]	[OOC] Douglas Hudson: oh for steam?
[09:32:21]	[OOC] CAC.C17-VORTIPODE.24999: No discord
[09:32:28]	[OOC] Douglas Hudson: discord he offline
[09:32:35]	[OOC] CAC.C17-VORTIPODE.24999: Can DRD stop server?
[09:32:42]	[OOC] CAC.C17-VORTIPODE.24999: Can we?
[09:32:43]	[OOC] Douglas Hudson: are you talking about Olive Garden?
[09:32:47]	[OOC] Douglas Hudson: they're both offline 
[09:32:48]	[OOC] CAC.C17-VORTIPODE.24999: I guess 
[09:32:54]	[OOC] CAC.C17-VORTIPODE.24999: Bruyh
[09:33:05]	[OOC] Douglas Hudson: HOW does that happen though
[09:33:09]	[OOC] CAC.C17-VORTIPODE.24999: Commands
[09:33:24]	[OOC] CAC.C17-VORTIPODE.24999: Probs when checking perms with disptach
[09:33:34]	Dilly_ loaded the character 'CCA.C17-UNION.EpU.93347'
[09:33:39]	[OOC] CAC.C17-VORTIPODE.24999: Something about the person writing the command and stuff
[09:33:44]	CAC.C17-VORTIPODE.24999 entered observer.
[09:33:44]	CAC.C17-VORTIPODE.24999 exited observer.
[09:34:08]	CCA.C17-UNION.EpU.93347 used command '/BecomeClass Elite'.
[09:34:38]	CCA.C17-UNION.EpU.93347 entered observer.
[09:34:42]	CCA.C17-UNION.EpU.93347 exited observer.
[09:35:01]	[OOC] CCA.C17-UNION.EpU.93347: should have tested other commands first
[09:35:13]	[OOC] CAC.C17-VORTIPODE.24999: Its ture
[09:35:21]	[OOC] CAC.C17-VORTIPODE.24999: could be the whole structure
[09:35:32]	[OOC] CCA.C17-UNION.EpU.93347: ye
[09:35:56]	CAC.C17-VORTIPODE.24999 entered observer.
[09:35:57]	CAC.C17-VORTIPODE.24999 exited observer.
[09:35:58]	CCA.C17-UNION.EpU.93347 entered observer.
[09:35:58]	CCA.C17-UNION.EpU.93347 exited observer.
[09:35:59]	CAC.C17-VORTIPODE.24999 entered observer.
[09:35:59]	CAC.C17-VORTIPODE.24999 exited observer.
[09:36:00]	CAC.C17-VORTIPODE.24999 entered observer.
[09:36:00]	CAC.C17-VORTIPODE.24999 exited observer.
[09:36:00]	CCA.C17-UNION.EpU.93347 entered observer.
[09:36:00]	CAC.C17-VORTIPODE.24999 entered observer.
[09:36:00]	CCA.C17-UNION.EpU.93347 exited observer.
[09:36:00]	CAC.C17-VORTIPODE.24999 exited observer.
[09:36:22]	[OOC] CCA.C17-UNION.EpU.93347: I just want some other peeps to join
[09:36:29]	[OOC] CCA.C17-UNION.EpU.93347: and watch them freak the fuck uot
[09:36:33]	[OOC] CAC.C17-VORTIPODE.24999: I dont
[09:36:38]	[OOC] CAC.C17-VORTIPODE.24999: keep this on the low 
[09:36:42]	[OOC] CAC.C17-VORTIPODE.24999: Untill Q fx
[09:36:44]	[OOC] CCA.C17-UNION.EpU.93347: well tru
[09:36:56]	[OOC] CAC.C17-VORTIPODE.24999: Then they will start trying shit
[09:37:02]	[OOC] CCA.C17-UNION.EpU.93347: just curious to see what other peeps reactions would be
[09:37:02]	[OOC] CAC.C17-VORTIPODE.24999: And we dont want'em to figure it out
[09:37:10]	[OOC] CCA.C17-UNION.EpU.93347: u right
[09:37:16]	[OOC] CAC.C17-VORTIPODE.24999: When will q be on?
[09:37:20]	[OOC] CCA.C17-UNION.EpU.93347: dunno
[09:37:30]	[OOC] CCA.C17-UNION.EpU.93347: feller stayed up til 4 or somethin
[09:37:35]	[OOC] CCA.C17-UNION.EpU.93347: pulled an alex 
[09:37:47]	[OOC] CAC.C17-VORTIPODE.24999: EH
[09:37:58]	[OOC] CAC.C17-VORTIPODE.24999: More than 4 I know that much
[09:38:02]	[OOC] CAC.C17-VORTIPODE.24999: more like 5-6
[09:38:34]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[09:38:57]	[OOC] CCA.C17-UNION.EpU.93347: bruh
[09:39:01]	[OOC] CAC.C17-VORTIPODE.24999: Yep
[09:39:20]	[OOC] CAC.C17-VORTIPODE.24999: No matter how many @'s we cannot wake
[09:39:36]	[OOC] CCA.C17-UNION.EpU.93347: / tru
[09:39:48]	CCA.C17-UNION.EpU.93347 entered observer.
[09:39:52]	CCA.C17-UNION.EpU.93347 exited observer.
[09:42:19]	CAC.C17-VORTIPODE.24999 used command '/CharFallOver 0.1'.
[09:42:27]	[LOOC] CCA.C17-UNION.EpU.93347: fucker
[09:42:30]	[LOOC] CCA.C17-UNION.EpU.93347: almost made me
[09:42:43]	CCA.C17-UNION.EpU.93347 used command '/CharFallOver 1'.
[09:42:46]	[LOOC] CCA.C17-UNION.EpU.93347: ruin
[09:43:09]	[OOC] CCA.C17-UNION.EpU.93347: huh... got access to pac tho
[09:43:24]	[OOC] CAC.C17-VORTIPODE.24999: Oh?
[09:43:34]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[09:43:38]	[OOC] CAC.C17-VORTIPODE.24999: OHHh no...
[09:44:01]	[OOC] CCA.C17-UNION.EpU.93347: ohh no?
[09:44:08]	[OOC] CAC.C17-VORTIPODE.24999: I want to
[09:44:19]	[OOC] CAC.C17-VORTIPODE.24999: But i know I wont have access to this for long
[09:44:28]	[OOC] CCA.C17-UNION.EpU.93347: Pac technically is access to everyone
[09:44:39]	[OOC] CCA.C17-UNION.EpU.93347: You'll have access to it for
[09:44:46]	[OOC] CCA.C17-UNION.EpU.93347: as long as it takes for Q to get on
[09:45:05]	[OOC] CAC.C17-VORTIPODE.24999: I know
[09:45:14]	[OOC] CAC.C17-VORTIPODE.24999: But its weird how it works when u join 
[09:45:18]	[OOC] CCA.C17-UNION.EpU.93347: which could be
[09:45:19]	[OOC] CAC.C17-VORTIPODE.24999: Cant configure shit afterwards
[09:45:34]	[OOC] CCA.C17-UNION.EpU.93347: 2 - 3 hours, or really soon
[09:45:39]	[OOC] CCA.C17-UNION.EpU.93347: since it's like 11 now
[09:45:50]	CAC.C17-VORTIPODE.24999 entered observer.
[09:45:50]	CAC.C17-VORTIPODE.24999 exited observer.
[09:45:59]	CAC.C17-VORTIPODE.24999 entered observer.
[09:46:01]	CAC.C17-VORTIPODE.24999 exited observer.
[09:46:01]	[OOC] CCA.C17-UNION.EpU.93347: could finally add areas
[09:46:05]	CAC.C17-VORTIPODE.24999 entered observer.
[09:46:07]	CAC.C17-VORTIPODE.24999 exited observer.
[09:46:08]	CAC.C17-VORTIPODE.24999 entered observer.
[09:46:12]	CAC.C17-VORTIPODE.24999 exited observer.
[09:46:25]	CAC.C17-VORTIPODE.24999 entered observer.
[09:46:26]	CAC.C17-VORTIPODE.24999 exited observer.
[09:46:40]	CAC.C17-VORTIPODE.24999 entered observer.
[09:46:41]	CAC.C17-VORTIPODE.24999 exited observer.
[09:46:49]	CAC.C17-VORTIPODE.24999 entered observer.
[09:46:49]	CAC.C17-VORTIPODE.24999 exited observer.
[09:46:52]	CAC.C17-VORTIPODE.24999 entered observer.
[09:47:00]	CAC.C17-VORTIPODE.24999 exited observer.
[09:47:01]	CAC.C17-VORTIPODE.24999 entered observer.
[09:47:02]	CAC.C17-VORTIPODE.24999 exited observer.
[09:47:10]	CAC.C17-VORTIPODE.24999 entered observer.
[09:47:16]	CAC.C17-VORTIPODE.24999 exited observer.
[09:47:23]	CCA.C17-UNION.EpU.93347 entered observer.
[09:47:24]	CCA.C17-UNION.EpU.93347 exited observer.
[09:48:05]	[LOOC] CCA.C17-UNION.EpU.93347: those little
[09:48:08]	[LOOC] CCA.C17-UNION.EpU.93347: vortigaunt eyes
[09:48:14]	[LOOC] CAC.C17-VORTIPODE.24999: Gnershk
[09:48:34]	CCA.C17-UNION.EpU.93347 has gained 10 tokens.
[09:49:33]	[OOC] CAC.C17-VORTIPODE.24999: There a server command?
[09:49:40]	[OOC] CAC.C17-VORTIPODE.24999: To stop the server?
[09:49:45]	[OOC] CCA.C17-UNION.EpU.93347: don't know
[09:49:55]	[OOC] CAC.C17-VORTIPODE.24999: That do anything?
[09:49:56]	[LOOC] CCA.C17-UNION.EpU.93347: ye
[09:50:09]	[LOOC] CAC.C17-VORTIPODE.24999: I think we should...
[09:50:22]	[LOOC] CAC.C17-VORTIPODE.24999: Then let Q know about it 
[09:50:23]	[LOOC] CCA.C17-UNION.EpU.93347: I'd say we wait
[09:50:38]	[LOOC] CAC.C17-VORTIPODE.24999: Turn off the server
[09:50:39]	[LOOC] CCA.C17-UNION.EpU.93347: not going to do anything with admin powers
[09:50:43]	[LOOC] CCA.C17-UNION.EpU.93347: unless we hear from him 
[09:50:52]	[LOOC] CAC.C17-VORTIPODE.24999: yes but...
[09:50:52]	[LOOC] CCA.C17-UNION.EpU.93347: to do so specifically
[09:51:03]	[LOOC] CCA.C17-UNION.EpU.93347: we've gone through a day
[09:51:04]	[LOOC] CAC.C17-VORTIPODE.24999: Turn it off now, let people know in gen why its off
[09:51:14]	[LOOC] CAC.C17-VORTIPODE.24999: and wait for Q
[09:51:24]	[LOOC] CAC.C17-VORTIPODE.24999: Its in Beta for a reason
[09:51:27]	[LOOC] CCA.C17-UNION.EpU.93347: eh 
[09:51:29]	[LOOC] CAC.C17-VORTIPODE.24999: This being one of them
[09:51:38]	[LOOC] CAC.C17-VORTIPODE.24999: I'll say its my call
[09:51:54]	[LOOC] CAC.C17-VORTIPODE.24999: unless u convince me otherwise
[09:51:57]	[LOOC] CCA.C17-UNION.EpU.93347: I know to restart 
